应用名称,日期,下载量预估~iPhone
原神,2024/4/12,16813
原神,2024/4/11,15802
原神,2024/4/10,14838
原神,2024/4/9,15636
原神,2024/4/8,17316
原神,2024/4/7,18136
原神,2024/4/6,18867
原神,2024/4/5,20289
原神,2024/4/4,21818
原神,2024/4/3,17924
原神,2024/4/2,16314
原神,2024/4/1,18442
原神,2024/3/31,18492
原神,2024/3/30,14764
原神,2024/3/29,14237
原神,2024/3/28,15959
原神,2024/3/27,17655
原神,2024/3/26,20277
原神,2024/3/25,20002
原神,2024/3/24,24286
原神,2024/3/23,17866
原神,2024/3/22,16797
原神,2024/3/21,17047
原神,2024/3/20,17840
原神,2024/3/19,20281
原神,2024/3/18,19754
原神,2024/3/17,24825
原神,2024/3/16,19087
原神,2024/3/15,16484
原神,2024/3/14,17688
原神,2024/3/13,17592
原神,2024/3/12,15711
原神,2024/3/11,22117
原神,2024/3/10,19700
原神,2024/3/9,17772
原神,2024/3/8,14150
原神,2024/3/7,14441
原神,2024/3/6,15772
原神,2024/3/5,15687
原神,2024/3/4,17812
原神,2024/3/3,17855
原神,2024/3/2,14863
原神,2024/3/1,15854
原神,2024/2/29,15255
原神,2024/2/28,14511
原神,2024/2/27,17104
原神,2024/2/26,17842
原神,2024/2/25,17652
原神,2024/2/24,18089
原神,2024/2/23,18141
原神,2024/2/22,17852
原神,2024/2/21,18259
原神,2024/2/20,18370
原神,2024/2/19,18455
原神,2024/2/18,17645
原神,2024/2/17,18338
原神,2024/2/16,17253
原神,2024/2/15,16119
原神,2024/2/14,18897
原神,2024/2/13,17844
原神,2024/2/12,22185
原神,2024/2/11,20399
原神,2024/2/10,20618
原神,2024/2/9,19566
原神,2024/2/8,18564
原神,2024/2/7,18953
原神,2024/2/6,15711
原神,2024/2/5,20234
原神,2024/2/4,20940
原神,2024/2/3,20274
原神,2024/2/2,30505
原神,2024/2/1,26951
原神,2024/1/31,19076
原神,2024/1/30,20259
原神,2024/1/29,23388
原神,2024/1/28,18245
原神,2024/1/27,17625
原神,2024/1/26,15883
原神,2024/1/25,15879
原神,2024/1/24,17624
原神,2024/1/23,17710
原神,2024/1/22,22839
原神,2024/1/21,20966
原神,2024/1/20,17605
原神,2024/1/19,18365
原神,2024/1/18,18451
原神,2024/1/17,20221
原神,2024/1/16,20476
原神,2024/1/15,27646
原神,2024/1/14,24571
原神,2024/1/13,22225
