"04月07日","04月06日","04月05日","04月04日","04月03日","04月02日","04月01日"
"00:00","00:40
上升:70 下降:81
新进:4 落榜:4","00:56
上升:75 下降:85
新进:2 落榜:2","00:32
上升:72 下降:91
新进:2 落榜:2","00:24
上升:77 下降:77
新进:2 落榜:2","00:32
上升:92 下降:60
新进:1 落榜:1","00:32
上升:70 下降:81
新进:2 落榜:2"
"01:00","01:00","01:00","01:00","01:00","01:00","01:00"
"02:00","02:32
上升:0 下降:31
新进:1 落榜:1","02:00","02:00","02:24
上升:0 下降:121
新进:1 落榜:1","02:32
上升:0 下降:168
新进:1 落榜:1","02:00"
"03:48
上升:68 下降:91
新进:2 落榜:2","03:00","03:32
上升:70 下降:88
新进:2 落榜:2","03:40
上升:34 下降:121
新进:5 落榜:5","03:00","03:00","03:32
上升:59 下降:98
新进:5 落榜:5"
"04:00","04:00","04:00","04:00","04:16
上升:91 下降:72
新进:4 落榜:4","04:00","04:00"
"05:40
上升:0 下降:7
新进:1 落榜:1","05:00","05:00","05:00","05:00","05:00","05:00"
"06:24
上升:45 下降:81
新进:2 落榜:2","06:24
上升:56 下降:77
新进:2 落榜:2","06:24
上升:66 下降:89
新进:3 落榜:3","06:40
上升:58 下降:99
新进:1 落榜:1","06:24
上升:86 下降:51
新进:1 落榜:1","06:32
上升:64 下降:88
新进:1 落榜:1","06:24
上升:50 下降:74
新进:2 落榜:2"
"07:00","07:00","07:00","07:00","07:00","07:00","07:00"
"08:00","08:00","08:00","08:00","08:00","08:00","08:00"
"09:24
上升:65 下降:89
新进:2 落榜:2","09:40
上升:61 下降:87
新进:1 落榜:1","09:00","09:40
上升:62 下降:83
新进:2 落榜:2","09:00","09:32
上升:61 下降:88
新进:1 落榜:1","09:40
上升:50 下降:96
新进:3 落榜:3"
"10:00","10:00","10:16
上升:74 下降:84
新进:3 落榜:3","10:00","10:00","10:00","10:00"
"11:00","11:00","11:16
上升:28 下降:0
新进:1 落榜:1","11:00","11:00","11:00","11:00"
"12:32
上升:69 下降:90
新进:3 落榜:3","12:24
上升:68 下降:89
新进:2 落榜:2","12:32
上升:57 下降:100
新进:5 落榜:5","12:32
上升:57 下降:104
新进:3 落榜:3","12:00","12:40
上升:61 下降:101
新进:1 落榜:1","12:48
上升:58 下降:114
新进:5 落榜:5"
"13:00","13:00","13:00","13:00","13:08
上升:44 下降:141
新进:3 落榜:3","13:00","13:00"
"14:00","14:00","14:00","14:00","14:00","14:00","14:00"
"15:32
上升:60 下降:101
新进:3 落榜:3","15:32
上升:64 下降:86
新进:3 落榜:3","15:32
上升:62 下降:98
新进:3 落榜:3","15:32
上升:51 下降:115
新进:4 落榜:4","15:48
上升:51 下降:132
新进:3 落榜:3","15:32
上升:47 下降:103
新进:4 落榜:4","15:32
上升:53 下降:115
新进:2 落榜:2"
"16:00","16:00","16:00","16:00","16:00","16:00","16:00"
"17:00","17:24
上升:0 下降:136
新进:1 落榜:1","17:00","17:00","17:00","17:00","17:00"
"18:24
上升:67 下降:80
新进:2 落榜:2","18:32
上升:60 下降:81
新进:2 落榜:2","18:48
上升:67 下降:80
新进:2 落榜:2","18:24
上升:68 下降:87
新进:4 落榜:4","18:32
上升:64 下降:89
新进:3 落榜:3","18:32
上升:66 下降:89
新进:3 落榜:3","18:24
上升:57 下降:102
新进:3 落榜:3"
"19:00","19:00","19:00","19:00","19:00","19:00","19:00"
"20:00","20:00","20:00","20:00","20:00","20:00","20:00"
"21:40
上升:72 下降:75
新进:2 落榜:2","21:32
上升:63 下降:73
新进:1 落榜:1","21:00","21:40
上升:68 下降:79
新进:1 落榜:1","21:40
上升:68 下降:90
新进:4 落榜:4","21:32
上升:48 下降:104
新进:3 落榜:3","21:32
上升:51 下降:100
新进:1 落榜:1"
"22:00","22:00","22:40
上升:66 下降:80
新进:3 落榜:3","22:00","22:00","22:00","22:00"
"23:00","23:00","23:00","23:00","23:00","23:00","23:00"
