应用名称,日期,一星,二星,三星,四星,五星
BOSS直聘,2024/1/10,177131,52429,135131,315585,5671224
BOSS直聘,2024/1/11,177258,52445,135195,315709,5673989
BOSS直聘,2024/1/12,177391,52483,135262,315866,5676641
BOSS直聘,2024/1/13,177475,52518,135326,316015,5679226
BOSS直聘,2024/1/14,177571,52540,135381,316154,5681417
BOSS直聘,2024/1/15,177679,52567,135436,316302,5683587
BOSS直聘,2024/1/16,177767,52588,135484,316450,5685868
BOSS直聘,2024/1/17,177876,52630,135547,316603,5688621
BOSS直聘,2024/1/18,178004,52651,135627,316759,5691063
BOSS直聘,2024/1/19,178094,52681,135683,316896,5693302
BOSS直聘,2024/1/20,178175,52712,135737,317018,5695432
BOSS直聘,2024/1/21,178248,52730,135787,317133,5697236
BOSS直聘,2024/1/22,178332,52759,135833,317237,5698923
BOSS直聘,2024/1/23,178391,52778,135859,317319,5700289
BOSS直聘,2024/1/24,178486,52795,135935,317459,5702740
BOSS直聘,2024/1/25,178562,52822,135980,317564,5704502
BOSS直聘,2024/1/26,178626,52846,136036,317659,5706184
BOSS直聘,2024/1/27,178670,52858,136063,317727,5707460
BOSS直聘,2024/1/28,178734,52874,136126,317842,5709118
BOSS直聘,2024/1/29,178798,52889,136155,317927,5710525
BOSS直聘,2024/1/30,178865,52908,136181,317997,5712121
BOSS直聘,2024/1/31,178949,52924,136236,318080,5713784
BOSS直聘,2024/2/1,179018,52940,136275,318154,5715473
BOSS直聘,2024/2/2,179090,52958,136315,318233,5716993
BOSS直聘,2024/2/3,179168,52974,136349,318311,5718617
BOSS直聘,2024/2/4,179229,52984,136389,318396,5719956
BOSS直聘,2024/2/5,179298,52994,136421,318483,5721383
BOSS直聘,2024/2/6,179350,53005,136455,318552,5722659
BOSS直聘,2024/2/7,179397,53021,136492,318625,5724087
BOSS直聘,2024/2/8,179443,53037,136528,318688,5725292
BOSS直聘,2024/2/9,179487,53041,136554,318762,5726484
BOSS直聘,2024/2/10,179529,53052,136578,318788,5727215
BOSS直聘,2024/2/11,179578,53065,136600,318843,5728220
BOSS直聘,2024/2/12,179635,53084,136643,318912,5729559
BOSS直聘,2024/2/13,179713,53100,136674,318998,5731095
BOSS直聘,2024/2/14,179791,53126,136701,319092,5732979
BOSS直聘,2024/2/15,179881,53140,136758,319214,5735226
BOSS直聘,2024/2/16,179985,53184,136814,319282,5737243
BOSS直聘,2024/2/17,180128,53223,136920,319462,5741288
BOSS直聘,2024/2/18,180294,53275,137012,319723,5746316
BOSS直聘,2024/2/19,180288,53248,136886,319494,5744679
BOSS直聘,2024/2/20,180461,53295,136998,319580,5747627
BOSS直聘,2024/2/21,180638,53334,137082,319743,5751793
BOSS直聘,2024/2/22,180755,53369,137118,319888,5754690
BOSS直聘,2024/2/23,180908,53407,137187,320079,5758342
BOSS直聘,2024/2/24,181069,53444,137254,320249,5761623
BOSS直聘,2024/2/25,181276,53495,137397,320529,5766939
BOSS直聘,2024/2/26,181470,53558,137520,320806,5772115
BOSS直聘,2024/2/27,181533,53550,137466,320695,5772450
BOSS直聘,2024/2/28,181709,53595,137554,320883,5776692
BOSS直聘,2024/2/29,181866,53634,137616,321052,5780173
BOSS直聘,2024/3/1,182072,53677,137645,321194,5783939
BOSS直聘,2024/3/2,182250,53716,137732,321389,5787745
BOSS直聘,2024/3/3,182515,53776,137889,321723,5793213
BOSS直聘,2024/3/4,182765,53861,138048,322048,5798478
BOSS直聘,2024/3/5,182737,53838,137959,321871,5797918
BOSS直聘,2024/3/6,182928,53874,138037,322060,5801335
BOSS直聘,2024/3/7,183160,53919,138138,322222,5805325
BOSS直聘,2024/3/8,183412,54002,138302,322598,5811062
BOSS直聘,2024/3/9,183671,54079,138468,322917,5816257
BOSS直聘,2024/3/10,183873,54148,138604,323190,5820884
BOSS直聘,2024/3/11,184049,54221,138735,323420,5825457
BOSS直聘,2024/3/12,184328,54270,138895,323685,5829916
BOSS直聘,2024/3/13,184602,54343,139030,324015,5835307
BOSS直聘,2024/3/14,184940,54413,139209,324393,5841302
BOSS直聘,2024/3/15,185179,54467,139367,324703,5846887
BOSS直聘,2024/3/16,185455,54533,139499,324961,5851814
BOSS直聘,2024/3/17,185679,54599,139590,325194,5855781
BOSS直聘,2024/3/18,185869,54643,139702,325436,5859731
BOSS直聘,2024/3/19,186101,54716,139813,325701,5864665
BOSS直聘,2024/3/20,186349,54781,139945,325992,5869695
BOSS直聘,2024/3/21,186567,54835,140077,326233,5874549
BOSS直聘,2024/3/22,186808,54893,140199,326503,5879399
BOSS直聘,2024/3/23,187051,54933,140334,326765,5883948
BOSS直聘,2024/3/24,187231,54983,140449,326955,5887637
BOSS直聘,2024/3/25,187416,55028,140545,327191,5891208
BOSS直聘,2024/3/26,187644,55092,140698,327449,5895941
BOSS直聘,2024/3/27,187899,55151,140846,327714,5900620
BOSS直聘,2024/3/28,188133,55211,140957,327958,5905213
BOSS直聘,2024/3/29,188329,55270,141092,328189,5909559
BOSS直聘,2024/3/30,188513,55332,141201,328437,5913565
BOSS直聘,2024/3/31,188651,55381,141326,328627,5917013
BOSS直聘,2024/4/1,188830,55428,141441,328828,5920417
BOSS直聘,2024/4/2,189035,55496,141548,329051,5924939
BOSS直聘,2024/4/3,189246,55541,141675,329305,5929438
BOSS直聘,2024/4/4,189444,55599,141790,329531,5933101
BOSS直聘,2024/4/5,189579,55637,141869,329738,5935928
BOSS直聘,2024/4/6,189730,55687,141956,329928,5938953
BOSS直聘,2024/4/7,189887,55737,142072,330113,5942505
BOSS直聘,2024/4/8,190065,55782,142161,330318,5945744
BOSS直聘,2024/4/9,190175,55809,142230,330439,5948091
BOSS直聘,2024/4/10,190352,55850,142330,330684,5951878
