应用名称,日期,一星,二星,三星,四星,五星
QQ音乐,2024/1/8,88775,28471,47244,108454,1468129
QQ音乐,2024/1/9,88797,28474,47246,108443,1468112
QQ音乐,2024/1/10,88818,28475,47246,108445,1468121
QQ音乐,2024/1/11,88842,28476,47249,108447,1468129
QQ音乐,2024/1/12,88857,28476,47249,108456,1468142
QQ音乐,2024/1/13,88876,28478,47252,108457,1468152
QQ音乐,2024/1/14,88901,28479,47259,108467,1468184
QQ音乐,2024/1/15,88928,28487,47263,108476,1468224
QQ音乐,2024/1/16,88936,28486,47263,108476,1468222
QQ音乐,2024/1/17,88961,28487,47266,108474,1468236
QQ音乐,2024/1/18,88984,28489,47272,108477,1468253
QQ音乐,2024/1/19,89008,28491,47274,108479,1468275
QQ音乐,2024/1/20,89031,28496,47278,108490,1468298
QQ音乐,2024/1/21,89048,28500,47284,108494,1468317
QQ音乐,2024/1/22,89071,28507,47293,108502,1468361
QQ音乐,2024/1/23,89080,28510,47296,108509,1468379
QQ音乐,2024/1/24,89098,28510,47304,108516,1468389
QQ音乐,2024/1/25,89132,28517,47308,108526,1468427
QQ音乐,2024/1/26,89153,28520,47312,108538,1468461
QQ音乐,2024/1/27,89164,28523,47313,108543,1468470
QQ音乐,2024/1/28,89183,28524,47320,108551,1468502
QQ音乐,2024/1/29,89198,28526,47323,108561,1468507
QQ音乐,2024/1/30,89218,28531,47328,108568,1468525
QQ音乐,2024/1/31,89237,28534,47335,108582,1468548
QQ音乐,2024/2/1,89267,28535,47339,108591,1468583
QQ音乐,2024/2/2,89289,28542,47342,108605,1468622
QQ音乐,2024/2/3,89313,28543,47349,108612,1468651
QQ音乐,2024/2/4,89333,28546,47353,108620,1468673
QQ音乐,2024/2/5,89357,28548,47353,108626,1468690
QQ音乐,2024/2/6,89381,28553,47356,108632,1468719
QQ音乐,2024/2/7,89411,28557,47358,108640,1468751
QQ音乐,2024/2/8,89435,28557,47366,108649,1468781
QQ音乐,2024/2/9,89456,28560,47372,108663,1468820
QQ音乐,2024/2/10,89466,28565,47375,108665,1468831
QQ音乐,2024/2/11,89479,28568,47378,108669,1468842
QQ音乐,2024/2/12,89496,28566,47383,108674,1468853
QQ音乐,2024/2/13,89505,28571,47387,108681,1468876
QQ音乐,2024/2/14,89531,28576,47392,108692,1468903
QQ音乐,2024/2/15,89539,28578,47392,108699,1468925
QQ音乐,2024/2/16,89535,28576,47391,108675,1468719
QQ音乐,2024/2/17,89547,28577,47393,108682,1468745
QQ音乐,2024/2/18,89558,28578,47401,108693,1468777
QQ音乐,2024/2/19,89575,28580,47405,108699,1468789
QQ音乐,2024/2/20,89601,28587,47411,108704,1468817
QQ音乐,2024/2/21,89618,28600,47418,108728,1468869
QQ音乐,2024/2/22,89629,28602,47426,108733,1468900
QQ音乐,2024/2/23,89637,28604,47427,108736,1468925
QQ音乐,2024/2/24,89670,28610,47436,108743,1468977
QQ音乐,2024/2/25,89677,28611,47436,108744,1468995
QQ音乐,2024/2/26,89691,28613,47436,108746,1469029
QQ音乐,2024/2/27,89709,28616,47438,108749,1469036
QQ音乐,2024/2/28,89708,28618,47439,108745,1469047
QQ音乐,2024/2/29,89720,28624,47444,108750,1469064
QQ音乐,2024/3/1,89730,28625,47445,108751,1469049
QQ音乐,2024/3/2,89743,28626,47447,108759,1469061
QQ音乐,2024/3/3,89765,28627,47451,108766,1469099
QQ音乐,2024/3/4,89791,28633,47456,108771,1469127
QQ音乐,2024/3/5,89812,28634,47456,108772,1469142
QQ音乐,2024/3/6,89830,28638,47457,108774,1469147
QQ音乐,2024/3/7,89851,28643,47459,108778,1469170
QQ音乐,2024/3/8,89871,28647,47462,108782,1469177
QQ音乐,2024/3/9,89891,28651,47466,108787,1469203
QQ音乐,2024/3/10,89911,28655,47469,108789,1469247
QQ音乐,2024/3/11,89920,28659,47473,108791,1469273
QQ音乐,2024/3/12,89901,28652,47470,108777,1469084
QQ音乐,2024/3/13,89905,28653,47474,108777,1469095
QQ音乐,2024/3/14,89925,28661,47478,108781,1469116
QQ音乐,2024/3/15,89939,28667,47480,108783,1469133
QQ音乐,2024/3/16,89957,28669,47482,108789,1469155
QQ音乐,2024/3/17,89974,28668,47486,108798,1469186
QQ音乐,2024/3/18,89997,28675,47497,108803,1469229
QQ音乐,2024/3/19,90013,28678,47500,108812,1469249
QQ音乐,2024/3/20,90032,28683,47502,108819,1469261
QQ音乐,2024/3/21,90043,28684,47509,108818,1469279
QQ音乐,2024/3/22,90154,28725,47649,109358,1479139
QQ音乐,2024/3/23,90179,28728,47670,109472,1481325
QQ音乐,2024/3/24,90202,28732,47679,109518,1482223
QQ音乐,2024/3/25,90232,28737,47686,109556,1482822
QQ音乐,2024/3/26,90242,28738,47692,109562,1482847
QQ音乐,2024/3/27,90259,28739,47696,109568,1482864
QQ音乐,2024/3/28,90283,28744,47699,109573,1482872
QQ音乐,2024/3/29,90300,28745,47701,109578,1482880
QQ音乐,2024/3/30,90318,28748,47706,109585,1482901
QQ音乐,2024/3/31,90341,28752,47713,109593,1482928
QQ音乐,2024/4/1,90364,28753,47718,109596,1482959
QQ音乐,2024/4/2,90383,28753,47721,109600,1482972
QQ音乐,2024/4/3,90396,28758,47722,109600,1482983
QQ音乐,2024/4/4,90412,28759,47724,109605,1482995
QQ音乐,2024/4/5,90438,28761,47733,109611,1483032
QQ音乐,2024/4/6,90460,28764,47736,109612,1483076
QQ音乐,2024/4/7,90471,28764,47742,109616,1483105
QQ音乐,2024/4/8,90471,28764,47742,109616,1483105
