应用名称,日期,一星,二星,三星,四星,五星
世界之外,2024/1/8,0,0,0,0,0
世界之外,2024/1/9,0,0,0,0,0
世界之外,2024/1/10,0,0,0,0,0
世界之外,2024/1/11,0,0,0,0,0
世界之外,2024/1/12,0,0,0,0,0
世界之外,2024/1/13,0,0,0,0,0
世界之外,2024/1/14,0,0,0,0,0
世界之外,2024/1/15,0,0,0,0,0
世界之外,2024/1/16,0,0,0,0,0
世界之外,2024/1/17,16,6,13,23,195
世界之外,2024/1/18,25,8,18,34,673
世界之外,2024/1/19,104,35,69,143,1386
世界之外,2024/1/20,179,60,126,255,2125
世界之外,2024/1/21,232,87,164,381,2857
世界之外,2024/1/22,304,107,219,530,3977
世界之外,2024/1/23,365,116,274,637,5014
世界之外,2024/1/24,422,142,315,719,5750
世界之外,2024/1/25,485,163,353,801,6436
世界之外,2024/1/26,579,185,382,852,6871
世界之外,2024/1/27,1505,245,435,921,7154
世界之外,2024/1/28,1687,278,493,1002,7496
世界之外,2024/1/29,1790,297,525,1079,7737
世界之外,2024/1/30,1847,303,552,1129,7922
世界之外,2024/1/31,1916,323,563,1111,7738
世界之外,2024/2/1,1974,336,567,1144,7807
世界之外,2024/2/2,2033,341,568,1148,7859
世界之外,2024/2/3,2029,336,590,1192,8036
世界之外,2024/2/4,2068,346,616,1253,8233
世界之外,2024/2/5,2113,352,630,1297,8330
世界之外,2024/2/6,2148,358,641,1328,8423
世界之外,2024/2/7,2174,361,652,1348,8486
世界之外,2024/2/8,2242,370,666,1373,8530
世界之外,2024/2/9,2275,378,677,1392,8585
世界之外,2024/2/10,2328,385,688,1414,8646
世界之外,2024/2/11,2333,388,690,1419,8662
世界之外,2024/2/12,2378,394,699,1439,8737
世界之外,2024/2/13,2403,398,708,1465,8776
世界之外,2024/2/14,2429,402,716,1472,8820
世界之外,2024/2/15,2445,408,724,1488,8873
世界之外,2024/2/16,2438,407,725,1486,8854
世界之外,2024/2/17,2464,415,739,1521,8736
世界之外,2024/2/18,2489,418,756,1537,8796
世界之外,2024/2/19,2500,421,761,1553,8848
世界之外,2024/2/20,2517,424,765,1570,8891
世界之外,2024/2/21,2528,430,773,1594,8942
世界之外,2024/2/22,2546,432,781,1609,8999
世界之外,2024/2/23,2550,432,783,1614,9029
世界之外,2024/2/24,2572,437,791,1628,9094
世界之外,2024/2/25,2588,440,799,1644,9133
世界之外,2024/2/26,2596,440,802,1650,9170
世界之外,2024/2/27,2598,444,805,1651,9201
世界之外,2024/2/28,2607,446,808,1652,9219
世界之外,2024/2/29,2615,446,808,1665,9245
世界之外,2024/3/1,2618,447,810,1669,9258
世界之外,2024/3/2,2626,449,815,1677,9276
世界之外,2024/3/3,2632,450,818,1689,9305
世界之外,2024/3/4,2646,451,821,1696,9323
世界之外,2024/3/5,2649,451,828,1697,9335
世界之外,2024/3/6,2652,452,830,1700,9350
世界之外,2024/3/7,2712,456,839,1712,9355
世界之外,2024/3/8,2771,456,843,1714,9368
世界之外,2024/3/9,2787,456,847,1715,9382
世界之外,2024/3/10,2810,458,854,1725,9405
世界之外,2024/3/11,2818,459,858,1733,9428
世界之外,2024/3/12,2822,456,861,1736,9443
世界之外,2024/3/13,2832,459,865,1736,9451
世界之外,2024/3/14,2873,461,869,1741,9478
世界之外,2024/3/15,2900,465,871,1746,9502
世界之外,2024/3/16,2928,468,877,1747,9547
世界之外,2024/3/17,2970,470,877,1754,9591
世界之外,2024/3/18,3013,472,878,1762,9629
世界之外,2024/3/19,3026,475,878,1763,9650
世界之外,2024/3/20,3043,476,880,1765,9665
世界之外,2024/3/21,3077,480,881,1767,9697
世界之外,2024/3/22,3100,483,881,1769,9730
世界之外,2024/3/23,3134,492,889,1776,9812
世界之外,2024/3/24,3158,494,894,1779,9869
世界之外,2024/3/25,3179,499,897,1790,9939
世界之外,2024/3/26,3193,500,897,1796,9968
世界之外,2024/3/27,3210,503,901,1801,9991
世界之外,2024/3/28,3214,504,903,1808,10025
世界之外,2024/3/29,3225,506,907,1812,10048
世界之外,2024/3/30,3233,506,908,1817,10064
世界之外,2024/3/31,3238,507,912,1823,10091
世界之外,2024/4/1,3244,507,916,1828,10121
世界之外,2024/4/2,3248,509,916,1831,10140
世界之外,2024/4/3,3257,509,918,1836,10161
世界之外,2024/4/4,3260,511,920,1843,10184
世界之外,2024/4/5,3266,513,924,1853,10228
世界之外,2024/4/6,3271,513,931,1861,10260
世界之外,2024/4/7,3273,516,933,1868,10289
世界之外,2024/4/8,3275,516,934,1871,10296
