应用名称,日期,一星,二星,三星,四星,五星
以闪亮之名,2024/1/12,3837,751,1449,4426,48722
以闪亮之名,2024/1/13,3841,753,1453,4439,48796
以闪亮之名,2024/1/14,3849,756,1457,4451,48906
以闪亮之名,2024/1/15,3853,756,1460,4455,48987
以闪亮之名,2024/1/16,3857,758,1463,4462,49088
以闪亮之名,2024/1/17,3859,760,1468,4472,49194
以闪亮之名,2024/1/18,3862,763,1470,4480,49278
以闪亮之名,2024/1/19,3864,764,1472,4487,49355
以闪亮之名,2024/1/20,3867,764,1474,4493,49421
以闪亮之名,2024/1/21,3869,766,1474,4497,49476
以闪亮之名,2024/1/22,3871,768,1477,4505,49532
以闪亮之名,2024/1/23,3872,768,1480,4515,49644
以闪亮之名,2024/1/24,3876,770,1483,4521,49729
以闪亮之名,2024/1/25,3880,770,1486,4525,49784
以闪亮之名,2024/1/26,3882,771,1488,4528,49855
以闪亮之名,2024/1/27,3883,770,1490,4535,49903
以闪亮之名,2024/1/28,3886,774,1492,4544,49974
以闪亮之名,2024/1/29,3887,776,1492,4550,50054
以闪亮之名,2024/1/30,3886,779,1493,4557,50138
以闪亮之名,2024/1/31,3886,781,1500,4563,50237
以闪亮之名,2024/2/1,3895,780,1503,4573,50329
以闪亮之名,2024/2/2,3896,782,1506,4578,50405
以闪亮之名,2024/2/3,3899,783,1507,4591,50493
以闪亮之名,2024/2/4,3898,785,1507,4596,50579
以闪亮之名,2024/2/5,3904,787,1510,4605,50751
以闪亮之名,2024/2/6,3906,786,1513,4611,50864
以闪亮之名,2024/2/7,3912,785,1516,4616,50927
以闪亮之名,2024/2/8,3914,787,1518,4615,51007
以闪亮之名,2024/2/9,3918,790,1518,4628,51094
以闪亮之名,2024/2/10,3917,792,1519,4629,51141
以闪亮之名,2024/2/11,3917,792,1517,4637,51219
以闪亮之名,2024/2/12,3917,792,1519,4643,51301
以闪亮之名,2024/2/13,3921,793,1520,4648,51396
以闪亮之名,2024/2/14,3923,794,1521,4654,51460
以闪亮之名,2024/2/15,3924,795,1522,4662,51544
以闪亮之名,2024/2/16,3924,795,1520,4666,51587
以闪亮之名,2024/2/17,3924,795,1521,4668,51647
以闪亮之名,2024/2/18,3926,797,1521,4670,51716
以闪亮之名,2024/2/19,3929,797,1523,4676,51784
以闪亮之名,2024/2/20,3929,798,1522,4680,51840
以闪亮之名,2024/2/21,3933,797,1523,4687,51884
以闪亮之名,2024/2/22,3937,798,1526,4686,52028
以闪亮之名,2024/2/23,3936,798,1528,4691,52082
以闪亮之名,2024/2/24,3936,799,1528,4697,52193
以闪亮之名,2024/2/25,3936,798,1529,4702,52302
以闪亮之名,2024/2/26,3938,798,1530,4708,52384
以闪亮之名,2024/2/27,3937,800,1533,4710,52449
以闪亮之名,2024/2/28,3936,801,1534,4717,52510
以闪亮之名,2024/2/29,3937,800,1534,4722,52571
以闪亮之名,2024/3/1,3940,800,1534,4728,52659
以闪亮之名,2024/3/2,3942,803,1536,4737,52746
以闪亮之名,2024/3/3,3944,804,1537,4744,52827
以闪亮之名,2024/3/4,3943,805,1538,4748,52898
以闪亮之名,2024/3/5,3943,806,1538,4759,52966
以闪亮之名,2024/3/6,3944,806,1539,4763,53026
以闪亮之名,2024/3/7,3944,808,1540,4770,53094
以闪亮之名,2024/3/8,3946,808,1541,4772,53148
以闪亮之名,2024/3/9,3952,809,1541,4775,53217
以闪亮之名,2024/3/10,3955,808,1543,4781,53305
以闪亮之名,2024/3/11,3960,809,1547,4793,53377
以闪亮之名,2024/3/12,3960,810,1550,4794,53423
以闪亮之名,2024/3/13,3963,811,1551,4802,53487
以闪亮之名,2024/3/14,3964,812,1554,4807,53559
以闪亮之名,2024/3/15,3968,813,1553,4810,53623
以闪亮之名,2024/3/16,3969,815,1555,4812,53706
以闪亮之名,2024/3/17,3975,816,1555,4818,53791
以闪亮之名,2024/3/18,3979,819,1559,4826,53884
以闪亮之名,2024/3/19,3980,821,1560,4829,53964
以闪亮之名,2024/3/20,3985,822,1561,4836,54043
以闪亮之名,2024/3/21,3985,823,1565,4844,54107
以闪亮之名,2024/3/22,3985,825,1564,4848,54185
以闪亮之名,2024/3/23,3985,825,1565,4850,54271
以闪亮之名,2024/3/24,3988,827,1566,4858,54397
以闪亮之名,2024/3/25,3996,830,1566,4872,54650
以闪亮之名,2024/3/26,3995,831,1566,4884,54748
以闪亮之名,2024/3/27,3995,831,1567,4893,54852
以闪亮之名,2024/3/28,4000,830,1572,4898,54946
以闪亮之名,2024/3/29,4001,831,1573,4899,55040
以闪亮之名,2024/3/30,4004,831,1576,4901,55126
以闪亮之名,2024/3/31,4004,832,1578,4914,55199
以闪亮之名,2024/4/1,4006,833,1578,4922,55303
以闪亮之名,2024/4/2,4009,835,1581,4929,55388
以闪亮之名,2024/4/3,4020,837,1581,4938,55464
以闪亮之名,2024/4/4,4026,839,1587,4946,55669
以闪亮之名,2024/4/5,4028,842,1589,4960,55803
以闪亮之名,2024/4/6,4035,845,1590,4971,55940
以闪亮之名,2024/4/7,4041,845,1591,4982,56085
以闪亮之名,2024/4/8,4045,845,1591,4984,56130
以闪亮之名,2024/4/9,4048,847,1593,4994,56277
以闪亮之名,2024/4/10,4052,849,1595,5000,56365
以闪亮之名,2024/4/11,4050,849,1596,5002,56431
以闪亮之名,2024/4/12,4053,849,1597,5010,56534
