应用名称,日期,一星,二星,三星,四星,五星
优酷视频,2024/1/10,464964,191088,416406,1132439,21618433
优酷视频,2024/1/11,464981,191088,416406,1132437,21618307
优酷视频,2024/1/12,464993,191088,416407,1132433,21618260
优酷视频,2024/1/13,465000,191089,416405,1132431,21618243
优酷视频,2024/1/14,465016,191095,416408,1132435,21618216
优酷视频,2024/1/15,465043,191096,416412,1132428,21618260
优酷视频,2024/1/16,465056,191098,416411,1132427,21618189
优酷视频,2024/1/17,465074,191101,416415,1132426,21618095
优酷视频,2024/1/18,465101,191108,416415,1132427,21617983
优酷视频,2024/1/19,465123,191109,416413,1132426,21617953
优酷视频,2024/1/20,465152,191109,416417,1132431,21617907
优酷视频,2024/1/21,465173,191113,416421,1132441,21617908
优酷视频,2024/1/22,465187,191111,416421,1132442,21617905
优酷视频,2024/1/23,465205,191111,416422,1132443,21617909
优酷视频,2024/1/24,465212,191105,416423,1132441,21617858
优酷视频,2024/1/25,465225,191108,416426,1132443,21617850
优酷视频,2024/1/26,465240,191108,416427,1132441,21617844
优酷视频,2024/1/27,465265,191109,416429,1132443,21617824
优酷视频,2024/1/28,465281,191109,416436,1132444,21617836
优酷视频,2024/1/29,465312,191112,416440,1132447,21617838
优酷视频,2024/1/30,465339,191112,416440,1132451,21617824
优酷视频,2024/1/31,465356,191115,416441,1132452,21617813
优酷视频,2024/2/1,465371,191115,416440,1132449,21617754
优酷视频,2024/2/2,465394,191120,416439,1132448,21617748
优酷视频,2024/2/3,465410,191123,416440,1132453,21617728
优酷视频,2024/2/4,465430,191126,416444,1132455,21617709
优酷视频,2024/2/5,465446,191127,416450,1132458,21617686
优酷视频,2024/2/6,465470,191136,416451,1132461,21617699
优酷视频,2024/2/7,465489,191141,416451,1132465,21617656
优酷视频,2024/2/8,465522,191142,416455,1132468,21617643
优酷视频,2024/2/9,465535,191144,416455,1132465,21617703
优酷视频,2024/2/10,465546,191146,416455,1132466,21617759
优酷视频,2024/2/11,465568,191149,416457,1132466,21617972
优酷视频,2024/2/12,465575,191149,416458,1132468,21618099
优酷视频,2024/2/13,465596,191150,416461,1132472,21618094
优酷视频,2024/2/14,465621,191152,416460,1132478,21618057
优酷视频,2024/2/15,465639,191155,416464,1132478,21618061
优酷视频,2024/2/16,465629,191146,416446,1132417,21616644
优酷视频,2024/2/17,465652,191150,416447,1132425,21616637
优酷视频,2024/2/18,465665,191151,416449,1132429,21616649
优酷视频,2024/2/19,465684,191155,416450,1132436,21616633
优酷视频,2024/2/20,465694,191156,416451,1132435,21616599
优酷视频,2024/2/21,465704,191158,416455,1132438,21616586
优酷视频,2024/2/22,465711,191162,416460,1132439,21616585
优酷视频,2024/2/23,465730,191164,416461,1132444,21616568
优酷视频,2024/2/24,465742,191165,416459,1132448,21616558
优酷视频,2024/2/25,465764,191168,416459,1132447,21616591
优酷视频,2024/2/26,465784,191169,416459,1132446,21616576
优酷视频,2024/2/27,465791,191171,416459,1132447,21616563
优酷视频,2024/2/28,465796,191174,416461,1132441,21616519
优酷视频,2024/2/29,465801,191174,416463,1132441,21616514
优酷视频,2024/3/1,465809,191165,416454,1132406,21615746
优酷视频,2024/3/2,465825,191167,416454,1132400,21615698
优酷视频,2024/3/3,465856,191176,416457,1132405,21615705
优酷视频,2024/3/4,465861,191178,416460,1132404,21615705
优酷视频,2024/3/5,465886,191177,416458,1132400,21615600
优酷视频,2024/3/6,465897,191180,416459,1132401,21615594
优酷视频,2024/3/7,465912,191180,416461,1132401,21615296
优酷视频,2024/3/8,465915,191181,416460,1132388,21615117
优酷视频,2024/3/9,465926,191178,416462,1132389,21615092
优酷视频,2024/3/10,465946,191179,416464,1132384,21615026
优酷视频,2024/3/11,465970,191183,416470,1132390,21615028
优酷视频,2024/3/12,465934,191172,416440,1132304,21613474
优酷视频,2024/3/13,465971,191174,416439,1132298,21613357
优酷视频,2024/3/14,465987,191173,416441,1132289,21613248
优酷视频,2024/3/15,465989,191174,416442,1132289,21613240
优酷视频,2024/3/16,466015,191178,416448,1132291,21613164
优酷视频,2024/3/17,466018,191180,416450,1132292,21613164
优酷视频,2024/3/18,466039,191181,416452,1132294,21613134
优酷视频,2024/3/19,466049,191181,416455,1132289,21613096
优酷视频,2024/3/20,466059,191184,416455,1132286,21613050
优酷视频,2024/3/21,466068,191182,416452,1132282,21613018
优酷视频,2024/3/22,466084,191183,416453,1132279,21612998
优酷视频,2024/3/23,466096,191184,416456,1132280,21612972
优酷视频,2024/3/24,466114,191184,416465,1132285,21612957
优酷视频,2024/3/25,466147,191196,416476,1132296,21612923
优酷视频,2024/3/26,466151,191196,416477,1132296,21612894
优酷视频,2024/3/27,466152,191197,416477,1132297,21612891
优酷视频,2024/3/28,466169,191196,416478,1132298,21612851
优酷视频,2024/3/29,466173,191195,416479,1132298,21612845
优酷视频,2024/3/30,466180,191196,416481,1132298,21612842
优酷视频,2024/3/31,466193,191196,416481,1132298,21612832
优酷视频,2024/4/1,466206,191197,416481,1132298,21612825
优酷视频,2024/4/2,466218,191199,416481,1132295,21612824
优酷视频,2024/4/3,466224,191200,416483,1132294,21612816
优酷视频,2024/4/4,466233,191200,416486,1132297,21612778
优酷视频,2024/4/5,466259,191200,416492,1132295,21612716
优酷视频,2024/4/6,466269,191202,416492,1132297,21612689
优酷视频,2024/4/7,466273,191202,416492,1132298,21612693
优酷视频,2024/4/8,466289,191206,416494,1132300,21612682
优酷视频,2024/4/9,466296,191208,416494,1132300,21612669
优酷视频,2024/4/10,466305,191208,416492,1132301,21612662
