应用名称,日期,一星,二星,三星,四星,五星
元梦之星,2024/1/11,14372,2014,2819,5366,65090
元梦之星,2024/1/12,14472,2030,2837,5390,65450
元梦之星,2024/1/13,14591,2045,2858,5404,66633
元梦之星,2024/1/14,14811,2086,2905,5486,71072
元梦之星,2024/1/15,15022,2117,2947,5553,74313
元梦之星,2024/1/16,15117,2145,2975,5583,72848
元梦之星,2024/1/17,15168,2150,2954,5543,69712
元梦之星,2024/1/18,14998,2118,2869,5418,68644
元梦之星,2024/1/19,15118,2140,2898,5452,69143
元梦之星,2024/1/20,15274,2166,2932,5496,69925
元梦之星,2024/1/21,15492,2201,2967,5580,71012
元梦之星,2024/1/22,15696,2229,3007,5647,72716
元梦之星,2024/1/23,15801,2252,3012,5686,73776
元梦之星,2024/1/24,15944,2277,3049,5737,75307
元梦之星,2024/1/25,16313,2360,3176,5969,76462
元梦之星,2024/1/26,17117,2646,3641,6935,81022
元梦之星,2024/1/27,17367,2706,3735,7108,81571
元梦之星,2024/1/28,17733,2799,3848,7312,82818
元梦之星,2024/1/29,17998,2854,3914,7456,83553
元梦之星,2024/1/30,18209,2919,3996,7581,84314
元梦之星,2024/1/31,18417,2988,4052,7666,85005
元梦之星,2024/2/1,18622,3020,4108,7744,85369
元梦之星,2024/2/2,18770,3052,4164,7814,85553
元梦之星,2024/2/3,35958,3244,4265,7919,86179
元梦之星,2024/2/4,39528,3323,4330,8009,86763
元梦之星,2024/2/5,40321,3390,4395,8086,87304
元梦之星,2024/2/6,42323,3834,5052,9200,92578
元梦之星,2024/2/7,43342,4028,5323,9630,94280
元梦之星,2024/2/8,43917,4144,5475,9852,95247
元梦之星,2024/2/9,44427,4222,5594,10032,96146
元梦之星,2024/2/10,44900,4326,5722,10229,97329
元梦之星,2024/2/11,45253,4414,5813,10386,98160
元梦之星,2024/2/12,45576,4476,5880,10481,99150
元梦之星,2024/2/13,45873,4549,5988,10624,100000
元梦之星,2024/2/14,46151,4602,6070,10746,101033
元梦之星,2024/2/15,46380,4653,6138,10825,101787
元梦之星,2024/2/16,46543,4669,6173,10825,81163
元梦之星,2024/2/17,46767,4703,6228,10896,81471
元梦之星,2024/2/18,48445,4757,6281,10962,81772
元梦之星,2024/2/19,50567,4819,6338,11122,83120
元梦之星,2024/2/20,52033,4918,6482,11319,86363
元梦之星,2024/2/21,52962,4962,6535,11359,86851
元梦之星,2024/2/22,54947,4976,6414,11248,86044
元梦之星,2024/2/23,55897,4999,6403,11230,86261
元梦之星,2024/2/24,57124,5014,6413,11189,86493
元梦之星,2024/2/25,58526,5092,6472,11249,87192
元梦之星,2024/2/26,59419,5131,6505,11298,87658
元梦之星,2024/2/27,59857,5135,6523,11303,87550
元梦之星,2024/2/28,59839,5129,6526,11307,87574
元梦之星,2024/2/29,59924,5139,6535,11310,87638
元梦之星,2024/3/1,59927,5143,6493,11236,87541
元梦之星,2024/3/2,60203,5166,6529,11268,87735
元梦之星,2024/3/3,60719,5206,6571,11307,88082
元梦之星,2024/3/4,61025,5232,6592,11343,88357
元梦之星,2024/3/5,61175,5243,6603,11354,88483
元梦之星,2024/3/6,61298,5252,6610,11363,88583
元梦之星,2024/3/7,61431,5266,6616,11380,88678
元梦之星,2024/3/8,61513,5280,6630,11384,88784
元梦之星,2024/3/9,61695,5286,6640,11407,88924
元梦之星,2024/3/10,62005,5300,6661,11438,89248
元梦之星,2024/3/11,62263,5319,6693,11471,89532
元梦之星,2024/3/12,62314,5328,6700,11469,89539
元梦之星,2024/3/13,62397,5330,6704,11476,89587
元梦之星,2024/3/14,63414,5583,7117,11992,92718
元梦之星,2024/3/15,63494,5601,7170,12037,92906
元梦之星,2024/3/16,63753,5668,7275,12174,93691
元梦之星,2024/3/17,64146,5765,7412,12366,94622
元梦之星,2024/3/18,64443,5805,7476,12462,95161
元梦之星,2024/3/19,64569,5817,7497,12486,95310
元梦之星,2024/3/20,64503,5821,7494,12463,95235
元梦之星,2024/3/21,64613,5838,7512,12476,95374
元梦之星,2024/3/22,64725,5851,7521,12482,95430
元梦之星,2024/3/23,64694,5856,7527,12505,95545
元梦之星,2024/3/24,64892,5904,7568,12572,95899
元梦之星,2024/3/25,65045,5930,7609,12606,96139
元梦之星,2024/3/26,65115,5938,7618,12627,96227
元梦之星,2024/3/27,65175,5946,7628,12637,96285
元梦之星,2024/3/28,65235,5955,7640,12647,96360
元梦之星,2024/3/29,65340,5962,7649,12661,96454
元梦之星,2024/3/30,65430,5977,7655,12675,96581
元梦之星,2024/3/31,65609,6007,7677,12708,96791
元梦之星,2024/4/1,65800,6040,7727,12755,97045
元梦之星,2024/4/2,65845,6045,7740,12763,97119
元梦之星,2024/4/3,65912,6047,7745,12770,97179
元梦之星,2024/4/4,65979,6058,7756,12803,97287
元梦之星,2024/4/5,66104,6078,7783,12857,97516
元梦之星,2024/4/6,66255,6097,7810,12884,97728
元梦之星,2024/4/7,66378,6116,7820,12904,97867
元梦之星,2024/4/8,66399,6118,7823,12908,97904
元梦之星,2024/4/9,66483,6124,7831,12919,97981
元梦之星,2024/4/10,66535,6125,7835,12926,98033
元梦之星,2024/4/11,66535,6125,7835,12926,98033
