应用名称,日期,一星,二星,三星,四星,五星
剪映,2024/1/11,86192,65453,156519,524868,14121669
剪映,2024/1/12,86231,65472,156562,525030,14126456
剪映,2024/1/13,86274,65494,156637,525207,14130666
剪映,2024/1/14,86346,65539,156775,525626,14139850
剪映,2024/1/15,86418,65589,156887,525998,14148684
剪映,2024/1/16,86473,65609,156970,526272,14155594
剪映,2024/1/17,86488,65610,156958,526152,14154636
剪映,2024/1/18,86537,65641,157014,526374,14160302
剪映,2024/1/19,86588,65673,157090,526627,14166258
剪映,2024/1/20,86641,65711,157156,526901,14172040
剪映,2024/1/21,86693,65748,157248,527201,14178266
剪映,2024/1/22,86738,65795,157334,527482,14184641
剪映,2024/1/23,86770,65819,157395,527701,14189776
剪映,2024/1/24,86831,65843,157476,527959,14195520
剪映,2024/1/25,86892,65866,157550,528210,14201168
剪映,2024/1/26,86943,65893,157611,528483,14206731
剪映,2024/1/27,86987,65918,157674,528617,14210088
剪映,2024/1/28,87041,65956,157789,528942,14217004
剪映,2024/1/29,87113,66001,157877,529240,14223502
剪映,2024/1/30,87165,66033,157989,529519,14229092
剪映,2024/1/31,87237,66062,158077,529810,14235284
剪映,2024/2/1,87306,66083,158174,530148,14241362
剪映,2024/2/2,87346,66110,158262,530416,14246933
剪映,2024/2/3,87404,66154,158360,530771,14254022
剪映,2024/2/4,87462,66181,158474,531085,14260629
剪映,2024/2/5,87522,66218,158554,531398,14267737
剪映,2024/2/6,87577,66249,158646,531723,14274615
剪映,2024/2/7,87651,66285,158740,532090,14281401
剪映,2024/2/8,87701,66320,158811,532328,14286048
剪映,2024/2/9,87777,66373,158934,532694,14293567
剪映,2024/2/10,87905,66459,159236,533703,14314277
剪映,2024/2/11,87923,66463,159244,533677,14315286
剪映,2024/2/12,87989,66490,159332,534064,14322906
剪映,2024/2/13,88038,66538,159407,534383,14329562
剪映,2024/2/14,88143,66589,159532,534873,14339371
剪映,2024/2/15,88201,66634,159648,535262,14346899
剪映,2024/2/16,88177,66598,159576,535072,14342947
剪映,2024/2/17,88303,66680,159779,535700,14355842
剪映,2024/2/18,88383,66717,159894,536067,14363129
剪映,2024/2/19,88465,66752,159989,536429,14370732
剪映,2024/2/20,88531,66793,160082,536759,14377766
剪映,2024/2/21,88604,66841,160193,537093,14385045
剪映,2024/2/22,88672,66875,160309,537479,14393366
剪映,2024/2/23,88701,66899,160363,537662,14397511
剪映,2024/2/24,88808,66948,160515,538134,14407441
剪映,2024/2/25,88874,66993,160639,538576,14416675
剪映,2024/2/26,88937,67028,160725,538833,14422884
剪映,2024/2/27,88982,67052,160795,539024,14427883
剪映,2024/2/28,89031,67076,160842,539180,14432990
剪映,2024/2/29,89068,67105,160901,539393,14438151
剪映,2024/3/1,89101,67138,160961,539551,14443279
剪映,2024/3/2,89147,67170,161018,539793,14448612
剪映,2024/3/3,89219,67202,161123,540159,14455338
剪映,2024/3/4,89282,67240,161211,540457,14462049
剪映,2024/3/5,89328,67265,161267,540628,14467404
剪映,2024/3/6,89359,67282,161292,540776,14471962
剪映,2024/3/7,89407,67318,161358,540992,14478616
剪映,2024/3/8,89463,67339,161437,541212,14484834
剪映,2024/3/9,89502,67358,161488,541364,14489159
剪映,2024/3/10,89641,67452,161762,542312,14507271
剪映,2024/3/11,89724,67514,161926,542830,14517547
剪映,2024/3/12,89757,67532,161974,542990,14522503
剪映,2024/3/13,89818,67566,162050,543252,14529930
剪映,2024/3/14,89880,67609,162165,543565,14539027
剪映,2024/3/15,89943,67655,162249,543874,14547524
剪映,2024/3/16,90003,67694,162349,544239,14555964
剪映,2024/3/17,90101,67747,162526,544818,14566499
剪映,2024/3/18,90175,67802,162675,545300,14576600
剪映,2024/3/19,90247,67835,162753,545610,14584455
剪映,2024/3/20,90311,67865,162851,545880,14592379
剪映,2024/3/21,90368,67892,162931,546151,14599834
剪映,2024/3/22,90423,67918,163012,546440,14607768
剪映,2024/3/23,90498,67954,163147,546845,14617009
剪映,2024/3/24,90587,68021,163315,547468,14628060
剪映,2024/3/25,90675,68078,163464,547995,14638559
剪映,2024/3/26,90736,68117,163557,548273,14646863
剪映,2024/3/27,90789,68153,163645,548614,14654691
剪映,2024/3/28,90858,68193,163730,548905,14662928
剪映,2024/3/29,90926,68227,163827,549172,14670762
剪映,2024/3/30,90999,68276,163944,549572,14678996
剪映,2024/3/31,91088,68343,164131,550114,14689149
剪映,2024/4/1,91180,68402,164278,550554,14699083
剪映,2024/4/2,91247,68443,164356,550860,14706790
剪映,2024/4/3,91295,68472,164449,551163,14714290
剪映,2024/4/4,91373,68498,164555,551543,14721899
剪映,2024/4/5,91470,68557,164750,552195,14732284
剪映,2024/4/6,91592,68626,164947,552844,14743180
剪映,2024/4/7,91674,68684,165095,553335,14753296
剪映,2024/4/8,91707,68706,165144,553506,14757549
剪映,2024/4/9,91796,68753,165259,553902,14768374
剪映,2024/4/10,91858,68793,165376,554163,14776472
剪映,2024/4/11,91858,68793,165376,554163,14776472
