应用名称,日期,一星,二星,三星,四星,五星
原神,2024/1/11,127792,29717,44197,101805,956870
原神,2024/1/12,127827,29720,44216,101820,957086
原神,2024/1/13,127869,29735,44224,101841,957298
原神,2024/1/14,127932,29747,44248,101913,957859
原神,2024/1/15,127983,29756,44273,101962,958403
原神,2024/1/16,128001,29766,44273,101987,958595
原神,2024/1/17,128051,29768,44285,102015,958864
原神,2024/1/18,128095,29774,44294,102046,959091
原神,2024/1/19,128124,29781,44304,102072,959371
原神,2024/1/20,128207,29784,44313,102094,959613
原神,2024/1/21,128899,29801,44326,102136,959785
原神,2024/1/22,130679,29854,44355,102179,960028
原神,2024/1/23,131983,29891,44390,102212,960121
原神,2024/1/24,132458,29914,44426,102263,960368
原神,2024/1/25,132920,29924,44452,102319,960722
原神,2024/1/26,133168,29938,44476,102363,961097
原神,2024/1/27,133285,29951,44496,102400,961411
原神,2024/1/28,133520,29967,44520,102466,961931
原神,2024/1/29,133679,29975,44545,102527,962289
原神,2024/1/30,133803,29985,44567,102560,962577
原神,2024/1/31,134183,29995,44579,102686,962337
原神,2024/2/1,136245,30261,44926,103499,967199
原神,2024/2/2,136554,30300,44961,103593,967676
原神,2024/2/3,136402,30292,45018,103683,968356
原神,2024/2/4,136582,30312,45061,103772,968954
原神,2024/2/5,136726,30336,45099,103852,969442
原神,2024/2/6,136838,30349,45125,103908,969872
原神,2024/2/7,136985,30360,45149,103968,970387
原神,2024/2/8,137124,30378,45164,104040,970731
原神,2024/2/9,137243,30393,45195,104110,971339
原神,2024/2/10,137344,30422,45227,104177,971986
原神,2024/2/11,137421,30429,45257,104231,972416
原神,2024/2/12,137469,30436,45276,104280,972766
原神,2024/2/13,137499,30439,45289,104336,973103
原神,2024/2/14,137585,30450,45305,104361,973142
原神,2024/2/15,137648,30466,45324,104397,973498
原神,2024/2/16,137653,30448,45303,104392,973215
原神,2024/2/17,137717,30455,45315,104425,973534
原神,2024/2/18,137783,30469,45337,104476,973846
原神,2024/2/19,137829,30483,45345,104523,974152
原神,2024/2/20,137902,30499,45361,104543,974309
原神,2024/2/21,137971,30509,45376,104564,974518
原神,2024/2/22,138038,30509,45383,104589,974725
原神,2024/2/23,138069,30513,45391,104613,974966
原神,2024/2/24,138131,30527,45407,104646,975322
原神,2024/2/25,138186,30534,45428,104687,975688
原神,2024/2/26,138228,30544,45440,104704,975956
原神,2024/2/27,138257,30550,45445,104721,976069
原神,2024/2/28,138272,30549,45450,104740,976185
原神,2024/2/29,138304,30552,45452,104754,976321
原神,2024/3/1,138327,30555,45456,104766,976400
原神,2024/3/2,138374,30554,45461,104778,976527
原神,2024/3/3,138432,30556,45474,104816,976955
原神,2024/3/4,138490,30563,45489,104836,977335
原神,2024/3/5,138502,30566,45490,104840,977470
原神,2024/3/6,138511,30568,45495,104853,977583
原神,2024/3/7,138537,30571,45500,104859,977662
原神,2024/3/8,138578,30575,45509,104872,977805
原神,2024/3/9,138617,30573,45518,104868,977985
原神,2024/3/10,138678,30575,45536,104907,978410
原神,2024/3/11,138710,30583,45546,104942,978783
原神,2024/3/12,138671,30577,45536,104909,978586
原神,2024/3/13,138692,30569,45525,104934,978436
原神,2024/3/14,139477,30669,45765,105480,982911
原神,2024/3/15,139525,30672,45773,105516,983094
原神,2024/3/16,139601,30696,45800,105617,983975
原神,2024/3/17,139704,30719,45839,105704,984967
原神,2024/3/18,139774,30738,45856,105773,985580
原神,2024/3/19,139819,30736,45868,105790,985737
原神,2024/3/20,139831,30736,45861,105776,985639
原神,2024/3/21,139862,30738,45871,105788,985785
原神,2024/3/22,139893,30746,45874,105794,985864
原神,2024/3/23,139906,30747,45866,105811,986003
原神,2024/3/24,139958,30761,45882,105843,986442
原神,2024/3/25,139977,30776,45897,105872,986832
原神,2024/3/26,140013,30779,45903,105879,986999
原神,2024/3/27,140046,30784,45908,105889,987071
原神,2024/3/28,140088,30794,45909,105904,987274
原神,2024/3/29,140112,30795,45917,105920,987419
原神,2024/3/30,140128,30798,45916,105933,987523
原神,2024/3/31,140174,30800,45929,105968,987937
原神,2024/4/1,140208,30799,45945,105997,988284
原神,2024/4/2,140229,30799,45953,106004,988369
原神,2024/4/3,140305,30817,45969,106023,988504
原神,2024/4/4,140388,30824,45973,106043,988706
原神,2024/4/5,140484,30833,46005,106090,989185
原神,2024/4/6,140547,30845,46018,106116,989622
原神,2024/4/7,140618,30847,46030,106152,989969
原神,2024/4/8,140637,30848,46031,106157,990028
原神,2024/4/9,140692,30851,46034,106181,990185
原神,2024/4/10,140736,30854,46042,106189,990266
原神,2024/4/11,140736,30854,46042,106189,990266
