应用名称,日期,一星,二星,三星,四星,五星
和平精英,2024/1/8,1395375,428477,568577,1014992,10958063
和平精英,2024/1/9,1395538,428507,568612,1014944,10958010
和平精英,2024/1/10,1395668,428531,568652,1014991,10958209
和平精英,2024/1/11,1395796,428561,568691,1014946,10957985
和平精英,2024/1/12,1395976,428597,568737,1015016,10958205
和平精英,2024/1/13,1396157,428647,568797,1015095,10958492
和平精英,2024/1/14,1396458,428710,568878,1015255,10959154
和平精英,2024/1/15,1396698,428783,568948,1015364,10959778
和平精英,2024/1/16,1396822,428813,568986,1015426,10960007
和平精英,2024/1/17,1397030,428840,569036,1015489,10960261
和平精英,2024/1/18,1397243,428874,569100,1015569,10960541
和平精英,2024/1/19,1397440,428910,569174,1015634,10960885
和平精英,2024/1/20,1397659,428946,569236,1015760,10961326
和平精英,2024/1/21,1397907,429011,569335,1015910,10961935
和平精英,2024/1/22,1398158,429070,569421,1016043,10962468
和平精英,2024/1/23,1398307,429111,569460,1016107,10962777
和平精英,2024/1/24,1398451,429129,569462,1016168,10963096
和平精英,2024/1/25,1398755,429199,569555,1016318,10963737
和平精英,2024/1/26,1398941,429244,569601,1016412,10964099
和平精英,2024/1/27,1399227,429296,569690,1016569,10964703
和平精英,2024/1/28,1399531,429353,569823,1016723,10965428
和平精英,2024/1/29,1399826,429423,569891,1016879,10965957
和平精英,2024/1/30,1400084,429481,569958,1016996,10966414
和平精英,2024/1/31,1400391,429530,570042,1017123,10966911
和平精英,2024/2/1,1400691,429598,570149,1017252,10967388
和平精英,2024/2/2,1401005,429666,570247,1017393,10967986
和平精英,2024/2/3,1401450,429755,570370,1017552,10968617
和平精英,2024/2/4,1401857,429849,570503,1017732,10969265
和平精英,2024/2/5,1402196,429946,570615,1017871,10969875
和平精英,2024/2/6,1402957,430045,570699,1018035,10970503
和平精英,2024/2/7,1403621,430156,570827,1018218,10971199
和平精英,2024/2/8,1404060,430233,570948,1018351,10971717
和平精英,2024/2/9,1404525,430323,571059,1018494,10972266
和平精英,2024/2/10,1404937,430426,571196,1018703,10972990
和平精英,2024/2/11,1405204,430479,571268,1018815,10973404
和平精英,2024/2/12,1405564,430576,571388,1018990,10973976
和平精英,2024/2/13,1406019,430688,571467,1019155,10974496
和平精英,2024/2/14,1406331,430768,571573,1019285,10974898
和平精英,2024/2/15,1406637,430842,571661,1019409,10975336
和平精英,2024/2/16,1406361,430737,571554,1019219,10974421
和平精英,2024/2/17,1406909,430877,571712,1019432,10975255
和平精英,2024/2/18,1407199,430956,571785,1019535,10975694
和平精英,2024/2/19,1407491,431021,571885,1019666,10976162
和平精英,2024/2/20,1407776,431078,571959,1019790,10976599
和平精英,2024/2/21,1408060,431147,572044,1019911,10976998
和平精英,2024/2/22,1408358,431184,572102,1019977,10977500
和平精英,2024/2/23,1408527,431207,572149,1020027,10977861
和平精英,2024/2/24,1408807,431240,572202,1020089,10978318
和平精英,2024/2/25,1409196,431310,572286,1020211,10979018
和平精英,2024/2/26,1409395,431342,572335,1020276,10979444
和平精英,2024/2/27,1409522,431364,572361,1020308,10979673
和平精英,2024/2/28,1409638,431387,572381,1020337,10979837
和平精英,2024/2/29,1409783,431409,572401,1020353,10979990
和平精英,2024/3/1,1409873,431424,572430,1020382,10979786
和平精英,2024/3/2,1410063,431462,572471,1020426,10980120
和平精英,2024/3/3,1410359,431498,572529,1020532,10980915
和平精英,2024/3/4,1410627,431543,572584,1020622,10981514
和平精英,2024/3/5,1410760,431559,572610,1020650,10981685
和平精英,2024/3/6,1410851,431572,572628,1020675,10981891
和平精英,2024/3/7,1411009,431592,572644,1020697,10982116
和平精英,2024/3/8,1411140,431606,572656,1020715,10982264
和平精英,2024/3/9,1411372,431619,572683,1020747,10982721
和平精英,2024/3/10,1411660,431680,572762,1020819,10983483
和平精英,2024/3/11,1411893,431730,572812,1020890,10984056
和平精英,2024/3/12,1411753,431684,572772,1020782,10983514
和平精英,2024/3/13,1411879,431689,572797,1020802,10983687
和平精英,2024/3/14,1412033,431722,572812,1020842,10983814
和平精英,2024/3/15,1412166,431738,572817,1020869,10983996
和平精英,2024/3/16,1412328,431755,572831,1020920,10984317
和平精英,2024/3/17,1412633,431813,572904,1021031,10985039
和平精英,2024/3/18,1412820,431847,572952,1021111,10985600
和平精英,2024/3/19,1413077,431836,572954,1021071,10985777
和平精英,2024/3/20,1417066,432669,574042,1022491,10994916
和平精英,2024/3/21,1417913,432860,574241,1022789,10997108
和平精英,2024/3/22,1418662,432983,574430,1022997,10998419
和平精英,2024/3/23,1419333,433118,574619,1023550,11001015
和平精英,2024/3/24,1420253,433369,574930,1024075,11004058
和平精英,2024/3/25,1420887,433505,575089,1024304,11005450
和平精英,2024/3/26,1421206,433542,575135,1024354,11005820
和平精英,2024/3/27,1421455,433575,575169,1024411,11006171
和平精英,2024/3/28,1421718,433607,575198,1024448,11006408
和平精英,2024/3/29,1422128,433649,575237,1024514,11006820
和平精英,2024/3/30,1422400,433683,575288,1024596,11007279
和平精英,2024/3/31,1422766,433763,575355,1024729,11008248
和平精英,2024/4/1,1423042,433825,575424,1024832,11008965
和平精英,2024/4/2,1423221,433841,575461,1024865,11009207
和平精英,2024/4/3,1423375,433885,575486,1024916,11009485
和平精英,2024/4/4,1423688,433933,575573,1025010,11010060
和平精英,2024/4/5,1424101,434034,575694,1025205,11011224
和平精英,2024/4/6,1424451,434114,575776,1025370,11012087
和平精英,2024/4/7,1424584,434154,575806,1025425,11012471
和平精英,2024/4/8,1424722,434174,575834,1025444,11012676
