应用名称,日期,一星,二星,三星,四星,五星
哔哩哔哩,2024/1/10,190252,35403,72281,254491,4349744
哔哩哔哩,2024/1/11,190285,35411,72298,254583,4351360
哔哩哔哩,2024/1/12,190313,35423,72314,254701,4353099
哔哩哔哩,2024/1/13,190338,35437,72342,254789,4355068
哔哩哔哩,2024/1/14,190370,35443,72388,254959,4357901
哔哩哔哩,2024/1/15,190411,35456,72425,255133,4360612
哔哩哔哩,2024/1/16,190421,35464,72449,255222,4361969
哔哩哔哩,2024/1/17,190454,35477,72480,255356,4364074
哔哩哔哩,2024/1/18,190496,35483,72514,255489,4366022
哔哩哔哩,2024/1/19,190547,35494,72550,255604,4367979
哔哩哔哩,2024/1/20,190596,35504,72585,255737,4370183
哔哩哔哩,2024/1/21,190640,35518,72619,255900,4372998
哔哩哔哩,2024/1/22,190657,35530,72653,255992,4374265
哔哩哔哩,2024/1/23,190719,35551,72720,256221,4377800
哔哩哔哩,2024/1/24,190743,35558,72738,256317,4379079
哔哩哔哩,2024/1/25,190801,35570,72804,256514,4382391
哔哩哔哩,2024/1/26,190841,35587,72839,256675,4384816
哔哩哔哩,2024/1/27,190867,35595,72866,256787,4386291
哔哩哔哩,2024/1/28,190911,35616,72922,257015,4389576
哔哩哔哩,2024/1/29,190944,35629,72972,257187,4392539
哔哩哔哩,2024/1/30,190978,35640,73011,257369,4395098
哔哩哔哩,2024/1/31,191016,35650,73055,257532,4397886
哔哩哔哩,2024/2/1,191053,35663,73103,257722,4400553
哔哩哔哩,2024/2/2,191087,35675,73156,257916,4403225
哔哩哔哩,2024/2/3,191126,35690,73209,258139,4406252
哔哩哔哩,2024/2/4,191161,35711,73256,258353,4409403
哔哩哔哩,2024/2/5,191201,35730,73311,258555,4412552
哔哩哔哩,2024/2/6,191241,35744,73367,258752,4415459
哔哩哔哩,2024/2/7,191302,35770,73416,258976,4418776
哔哩哔哩,2024/2/8,191333,35790,73466,259190,4421734
哔哩哔哩,2024/2/9,191381,35806,73522,259403,4425211
哔哩哔哩,2024/2/10,191416,35826,73553,259587,4428174
哔哩哔哩,2024/2/11,191432,35834,73579,259706,4429929
哔哩哔哩,2024/2/12,191477,35851,73618,259899,4432827
哔哩哔哩,2024/2/13,191540,35874,73695,260173,4436999
哔哩哔哩,2024/2/14,191571,35889,73750,260408,4440343
哔哩哔哩,2024/2/15,191610,35908,73817,260657,4443640
哔哩哔哩,2024/2/16,191613,35909,73839,260780,4445235
哔哩哔哩,2024/2/17,191654,35923,73890,260973,4448642
哔哩哔哩,2024/2/18,191699,35932,73948,261184,4451621
哔哩哔哩,2024/2/19,191745,35949,74006,261404,4454736
哔哩哔哩,2024/2/20,191786,35965,74057,261600,4457899
哔哩哔哩,2024/2/21,191831,35994,74114,261850,4461480
哔哩哔哩,2024/2/22,191863,36006,74158,262033,4464645
哔哩哔哩,2024/2/23,191881,36024,74182,262164,4466577
哔哩哔哩,2024/2/24,191942,36048,74241,262463,4471110
哔哩哔哩,2024/2/25,191990,36056,74288,262666,4474451
哔哩哔哩,2024/2/26,192029,36071,74338,262814,4477308
哔哩哔哩,2024/2/27,192056,36080,74367,262918,4479276
哔哩哔哩,2024/2/28,192089,36088,74391,263041,4481293
哔哩哔哩,2024/2/29,192112,36096,74419,263167,4483405
哔哩哔哩,2024/3/1,192134,36108,74451,263292,4485369
哔哩哔哩,2024/3/2,192164,36120,74471,263417,4487588
哔哩哔哩,2024/3/3,192190,36135,74525,263631,4490876
哔哩哔哩,2024/3/4,192242,36156,74569,263825,4493927
哔哩哔哩,2024/3/5,192289,36163,74602,263942,4495884
哔哩哔哩,2024/3/6,192323,36170,74624,264027,4497436
哔哩哔哩,2024/3/7,192373,36179,74657,264170,4499692
哔哩哔哩,2024/3/8,192412,36187,74682,264297,4501457
哔哩哔哩,2024/3/9,192451,36200,74719,264442,4503886
哔哩哔哩,2024/3/10,192489,36215,74778,264668,4507169
哔哩哔哩,2024/3/11,192530,36232,74827,264853,4510294
哔哩哔哩,2024/3/12,192477,36241,74840,264861,4511127
哔哩哔哩,2024/3/13,192499,36250,74862,264953,4512826
哔哩哔哩,2024/3/14,192542,36257,74902,265058,4514914
哔哩哔哩,2024/3/15,192557,36267,74913,265143,4516269
哔哩哔哩,2024/3/16,192581,36276,74927,265226,4517524
哔哩哔哩,2024/3/17,192611,36292,74953,265349,4519415
哔哩哔哩,2024/3/18,192647,36304,74980,265450,4521172
哔哩哔哩,2024/3/19,192678,36309,74995,265509,4522264
哔哩哔哩,2024/3/20,192709,36321,75012,265581,4523355
哔哩哔哩,2024/3/21,192727,36330,75024,265643,4524305
哔哩哔哩,2024/3/22,192736,36342,75039,265713,4525322
哔哩哔哩,2024/3/23,192764,36344,75059,265771,4526598
哔哩哔哩,2024/3/24,192795,36354,75085,265894,4528521
哔哩哔哩,2024/3/25,192831,36364,75103,265994,4530366
哔哩哔哩,2024/3/26,192855,36367,75127,266054,4531486
哔哩哔哩,2024/3/27,192870,36380,75145,266141,4532573
哔哩哔哩,2024/3/28,192904,36383,75164,266195,4533694
哔哩哔哩,2024/3/29,192929,36388,75178,266277,4534872
哔哩哔哩,2024/3/30,192954,36390,75191,266345,4536144
哔哩哔哩,2024/3/31,192987,36397,75222,266453,4537989
哔哩哔哩,2024/4/1,193017,36412,75255,266558,4539648
哔哩哔哩,2024/4/2,193050,36417,75269,266621,4540747
哔哩哔哩,2024/4/3,193073,36423,75280,266682,4541795
哔哩哔哩,2024/4/4,193084,36431,75307,266757,4543110
哔哩哔哩,2024/4/5,193118,36439,75329,266882,4545143
哔哩哔哩,2024/4/6,193147,36454,75363,267007,4547185
哔哩哔哩,2024/4/7,193181,36465,75386,267131,4548965
哔哩哔哩,2024/4/8,193189,36471,75393,267167,4549552
哔哩哔哩,2024/4/9,193214,36481,75411,267246,4551144
哔哩哔哩,2024/4/10,193214,36481,75411,267246,4551144
