应用名称,日期,一星,二星,三星,四星,五星
崩坏：星穹铁道,2024/1/11,15380,2882,4047,8126,94044
崩坏：星穹铁道,2024/1/12,15395,2884,4051,8128,94078
崩坏：星穹铁道,2024/1/13,15403,2887,4050,8129,94107
崩坏：星穹铁道,2024/1/14,15419,2889,4057,8138,94247
崩坏：星穹铁道,2024/1/15,15435,2893,4062,8156,94339
崩坏：星穹铁道,2024/1/16,15443,2892,4061,8158,94370
崩坏：星穹铁道,2024/1/17,15444,2892,4063,8168,94412
崩坏：星穹铁道,2024/1/18,15457,2893,4070,8179,94512
崩坏：星穹铁道,2024/1/19,15465,2895,4072,8187,94619
崩坏：星穹铁道,2024/1/20,15478,2900,4074,8199,94688
崩坏：星穹铁道,2024/1/21,15492,2904,4077,8211,94798
崩坏：星穹铁道,2024/1/22,15506,2902,4080,8217,94913
崩坏：星穹铁道,2024/1/23,15517,2903,4081,8223,94970
崩坏：星穹铁道,2024/1/24,15537,2908,4087,8228,95052
崩坏：星穹铁道,2024/1/25,15553,2908,4088,8236,95125
崩坏：星穹铁道,2024/1/26,15562,2909,4092,8252,95212
崩坏：星穹铁道,2024/1/27,15565,2910,4092,8262,95276
崩坏：星穹铁道,2024/1/28,15577,2914,4099,8273,95448
崩坏：星穹铁道,2024/1/29,15590,2913,4100,8284,95590
崩坏：星穹铁道,2024/1/30,15599,2919,4100,8292,95709
崩坏：星穹铁道,2024/1/31,15610,2920,4109,8298,95804
崩坏：星穹铁道,2024/2/1,15621,2923,4111,8309,95952
崩坏：星穹铁道,2024/2/2,15627,2923,4116,8322,96054
崩坏：星穹铁道,2024/2/3,15651,2925,4120,8336,96221
崩坏：星穹铁道,2024/2/4,15661,2928,4122,8348,96337
崩坏：星穹铁道,2024/2/5,15674,2927,4125,8360,96460
崩坏：星穹铁道,2024/2/6,15662,2918,4110,8391,96594
崩坏：星穹铁道,2024/2/7,15856,3002,4226,8764,100737
崩坏：星穹铁道,2024/2/8,15927,3012,4238,8799,101005
崩坏：星穹铁道,2024/2/9,15982,3020,4245,8826,101266
崩坏：星穹铁道,2024/2/10,15996,3029,4249,8852,101421
崩坏：星穹铁道,2024/2/11,16009,3033,4254,8867,101526
崩坏：星穹铁道,2024/2/12,16019,3036,4254,8877,101609
崩坏：星穹铁道,2024/2/13,16032,3039,4258,8873,101653
崩坏：星穹铁道,2024/2/14,16042,3041,4260,8877,101698
崩坏：星穹铁道,2024/2/15,16052,3045,4264,8889,101798
崩坏：星穹铁道,2024/2/16,16058,3044,4257,8886,101700
崩坏：星穹铁道,2024/2/17,16069,3046,4268,8897,101816
崩坏：星穹铁道,2024/2/18,16077,3047,4271,8905,101913
崩坏：星穹铁道,2024/2/19,16091,3047,4274,8913,102008
崩坏：星穹铁道,2024/2/20,16100,3051,4278,8913,102006
崩坏：星穹铁道,2024/2/21,16113,3049,4283,8917,102037
崩坏：星穹铁道,2024/2/22,16120,3050,4283,8914,102034
崩坏：星穹铁道,2024/2/23,16121,3052,4286,8914,102090
崩坏：星穹铁道,2024/2/24,16122,3051,4287,8911,102113
崩坏：星穹铁道,2024/2/25,16144,3055,4290,8926,102257
崩坏：星穹铁道,2024/2/26,16153,3058,4291,8936,102345
崩坏：星穹铁道,2024/2/27,16159,3058,4292,8942,102396
崩坏：星穹铁道,2024/2/28,16170,3057,4296,8944,102455
崩坏：星穹铁道,2024/2/29,16174,3058,4296,8949,102524
崩坏：星穹铁道,2024/3/1,16190,3059,4300,8956,102590
崩坏：星穹铁道,2024/3/2,16207,3062,4306,8957,102660
崩坏：星穹铁道,2024/3/3,16228,3064,4311,8971,102797
崩坏：星穹铁道,2024/3/4,16233,3067,4314,8975,102875
崩坏：星穹铁道,2024/3/5,16249,3069,4317,8976,103004
崩坏：星穹铁道,2024/3/6,16266,3070,4319,8980,103045
崩坏：星穹铁道,2024/3/7,16281,3073,4322,8987,103093
崩坏：星穹铁道,2024/3/8,16289,3078,4325,8994,103155
崩坏：星穹铁道,2024/3/9,16300,3080,4331,9010,103212
崩坏：星穹铁道,2024/3/10,16317,3081,4334,9018,103383
崩坏：星穹铁道,2024/3/11,16335,3083,4336,9023,103492
崩坏：星穹铁道,2024/3/12,16334,3081,4336,9021,103473
崩坏：星穹铁道,2024/3/13,16339,3082,4341,9023,103508
崩坏：星穹铁道,2024/3/14,16359,3085,4346,9026,103607
崩坏：星穹铁道,2024/3/15,16369,3087,4345,9029,103644
崩坏：星穹铁道,2024/3/16,16374,3088,4349,9030,103702
崩坏：星穹铁道,2024/3/17,16383,3091,4353,9042,103833
崩坏：星穹铁道,2024/3/18,16398,3093,4359,9047,103947
崩坏：星穹铁道,2024/3/19,16406,3095,4361,9051,103986
崩坏：星穹铁道,2024/3/20,16409,3098,4361,9054,104014
崩坏：星穹铁道,2024/3/21,16415,3099,4363,9061,104053
崩坏：星穹铁道,2024/3/22,16424,3100,4368,9063,104101
崩坏：星穹铁道,2024/3/23,16431,3102,4366,9068,104144
崩坏：星穹铁道,2024/3/24,16433,3102,4370,9071,104249
崩坏：星穹铁道,2024/3/25,16444,3103,4371,9073,104345
崩坏：星穹铁道,2024/3/26,16450,3103,4375,9072,104406
崩坏：星穹铁道,2024/3/27,16436,3101,4368,9076,104469
崩坏：星穹铁道,2024/3/28,16682,3152,4461,9345,108620
崩坏：星穹铁道,2024/3/29,16741,3159,4470,9372,108929
崩坏：星穹铁道,2024/3/30,16775,3164,4473,9397,109435
崩坏：星穹铁道,2024/3/31,16825,3173,4487,9427,109955
崩坏：星穹铁道,2024/4/1,16854,3179,4494,9441,110163
崩坏：星穹铁道,2024/4/2,16873,3179,4498,9447,110244
崩坏：星穹铁道,2024/4/3,16896,3182,4499,9450,110313
崩坏：星穹铁道,2024/4/4,16918,3186,4502,9459,110460
崩坏：星穹铁道,2024/4/5,16942,3190,4507,9470,110662
崩坏：星穹铁道,2024/4/6,16967,3190,4509,9484,110822
崩坏：星穹铁道,2024/4/7,16974,3193,4511,9485,110894
崩坏：星穹铁道,2024/4/8,16989,3194,4513,9492,110965
崩坏：星穹铁道,2024/4/9,17013,3194,4518,9497,111039
崩坏：星穹铁道,2024/4/10,17018,3195,4521,9497,111078
崩坏：星穹铁道,2024/4/11,17018,3195,4521,9497,111078
