应用名称,日期,一星,二星,三星,四星,五星
幻唐志,2024/1/11,5522,1046,2234,5227,173929
幻唐志,2024/1/12,5522,1046,2236,5226,173958
幻唐志,2024/1/13,5525,1047,2237,5228,173970
幻唐志,2024/1/14,5531,1045,2237,5227,173989
幻唐志,2024/1/15,5533,1045,2240,5229,174020
幻唐志,2024/1/16,5536,1045,2240,5227,174061
幻唐志,2024/1/17,5541,1046,2240,5229,174128
幻唐志,2024/1/18,5542,1047,2241,5230,174154
幻唐志,2024/1/19,5544,1047,2242,5230,174193
幻唐志,2024/1/20,5543,1047,2243,5229,174215
幻唐志,2024/1/21,5544,1047,2243,5230,174244
幻唐志,2024/1/22,5546,1046,2244,5229,174286
幻唐志,2024/1/23,5547,1046,2245,5229,174326
幻唐志,2024/1/24,5550,1045,2243,5231,174376
幻唐志,2024/1/25,5550,1047,2243,5231,174399
幻唐志,2024/1/26,5551,1047,2243,5232,174424
幻唐志,2024/1/27,5552,1047,2243,5232,174436
幻唐志,2024/1/28,5552,1047,2242,5236,174466
幻唐志,2024/1/29,5553,1046,2244,5236,174488
幻唐志,2024/1/30,5555,1046,2244,5235,174505
幻唐志,2024/1/31,5555,1046,2244,5237,174546
幻唐志,2024/2/1,5556,1046,2244,5238,174577
幻唐志,2024/2/2,5557,1046,2245,5237,174607
幻唐志,2024/2/3,5559,1046,2246,5235,174641
幻唐志,2024/2/4,5562,1046,2247,5238,174670
幻唐志,2024/2/5,5562,1046,2247,5240,174695
幻唐志,2024/2/6,5563,1046,2249,5240,174730
幻唐志,2024/2/7,5565,1045,2250,5241,174769
幻唐志,2024/2/8,5567,1045,2249,5245,174791
幻唐志,2024/2/9,5566,1044,2252,5246,174809
幻唐志,2024/2/10,5567,1044,2252,5248,174826
幻唐志,2024/2/11,5568,1044,2252,5247,174841
幻唐志,2024/2/12,5570,1045,2252,5248,174862
幻唐志,2024/2/13,5571,1046,2254,5248,174909
幻唐志,2024/2/14,5575,1046,2255,5249,174956
幻唐志,2024/2/15,5575,1048,2255,5249,174996
幻唐志,2024/2/16,5575,1048,2254,5250,175020
幻唐志,2024/2/17,5577,1048,2256,5250,175038
幻唐志,2024/2/18,5581,1048,2256,5253,175067
幻唐志,2024/2/19,5580,1048,2256,5252,175090
幻唐志,2024/2/20,5582,1048,2256,5253,175132
幻唐志,2024/2/21,5581,1047,2256,5255,175176
幻唐志,2024/2/22,5582,1047,2257,5254,175209
幻唐志,2024/2/23,5586,1047,2258,5254,175224
幻唐志,2024/2/24,5586,1047,2258,5256,175253
幻唐志,2024/2/25,5587,1047,2260,5258,175285
幻唐志,2024/2/26,5592,1047,2260,5259,175313
幻唐志,2024/2/27,5595,1047,2260,5259,175343
幻唐志,2024/2/28,5598,1050,2260,5260,175383
幻唐志,2024/2/29,5603,1051,2260,5260,175419
幻唐志,2024/3/1,5607,1051,2260,5265,175448
幻唐志,2024/3/2,5607,1051,2261,5267,175459
幻唐志,2024/3/3,5609,1052,2262,5269,175482
幻唐志,2024/3/4,5611,1052,2261,5269,175508
幻唐志,2024/3/5,5611,1052,2262,5271,175544
幻唐志,2024/3/6,5612,1052,2262,5272,175574
幻唐志,2024/3/7,5612,1052,2264,5272,175603
幻唐志,2024/3/8,5611,1052,2264,5272,175621
幻唐志,2024/3/9,5612,1052,2264,5272,175648
幻唐志,2024/3/10,5614,1053,2265,5273,175677
幻唐志,2024/3/11,5614,1053,2265,5274,175700
幻唐志,2024/3/12,5612,1053,2265,5276,175699
幻唐志,2024/3/13,5612,1053,2266,5277,175738
幻唐志,2024/3/14,5613,1054,2268,5279,175756
幻唐志,2024/3/15,5614,1053,2269,5279,175786
幻唐志,2024/3/16,5616,1052,2270,5280,175818
幻唐志,2024/3/17,5616,1053,2270,5282,175858
幻唐志,2024/3/18,5617,1054,2272,5282,175880
幻唐志,2024/3/19,5620,1054,2272,5283,175940
幻唐志,2024/3/20,5619,1054,2272,5281,175986
幻唐志,2024/3/21,5621,1054,2272,5280,176016
幻唐志,2024/3/22,5622,1054,2272,5280,176049
幻唐志,2024/3/23,5623,1054,2272,5279,176074
幻唐志,2024/3/24,5625,1055,2272,5280,176113
幻唐志,2024/3/25,5630,1055,2273,5282,176143
幻唐志,2024/3/26,5633,1056,2273,5284,176177
幻唐志,2024/3/27,5634,1055,2273,5286,176248
幻唐志,2024/3/28,5637,1055,2274,5287,176277
幻唐志,2024/3/29,5637,1056,2275,5287,176315
幻唐志,2024/3/30,5641,1056,2276,5287,176335
幻唐志,2024/3/31,5644,1055,2276,5290,176372
幻唐志,2024/4/1,5646,1055,2276,5288,176395
幻唐志,2024/4/2,5646,1055,2275,5287,176436
幻唐志,2024/4/3,5654,1055,2275,5288,176480
幻唐志,2024/4/4,5655,1055,2276,5289,176522
幻唐志,2024/4/5,5655,1055,2277,5289,176579
幻唐志,2024/4/6,5656,1054,2278,5290,176591
幻唐志,2024/4/7,5658,1054,2279,5290,176637
幻唐志,2024/4/8,5659,1054,2279,5290,176643
幻唐志,2024/4/9,5663,1054,2279,5291,176715
幻唐志,2024/4/10,5663,1054,2279,5292,176770
幻唐志,2024/4/11,5663,1054,2279,5292,176770
