应用名称,日期,一星,二星,三星,四星,五星
心悦俱乐部,2024/1/11,12300,1055,1458,2490,58627
心悦俱乐部,2024/1/12,12300,1055,1458,2492,58647
心悦俱乐部,2024/1/13,12300,1055,1458,2492,58651
心悦俱乐部,2024/1/14,12301,1055,1458,2495,58659
心悦俱乐部,2024/1/15,12306,1054,1458,2495,58759
心悦俱乐部,2024/1/16,12308,1055,1460,2500,58912
心悦俱乐部,2024/1/17,12309,1055,1460,2502,58955
心悦俱乐部,2024/1/18,12309,1055,1460,2505,58977
心悦俱乐部,2024/1/19,12310,1055,1461,2505,58981
心悦俱乐部,2024/1/20,12312,1055,1461,2505,59001
心悦俱乐部,2024/1/21,12312,1055,1462,2505,59009
心悦俱乐部,2024/1/22,12314,1055,1463,2506,59104
心悦俱乐部,2024/1/23,12319,1055,1464,2512,59239
心悦俱乐部,2024/1/24,12318,1055,1464,2515,59296
心悦俱乐部,2024/1/25,12318,1056,1464,2517,59315
心悦俱乐部,2024/1/26,12319,1056,1464,2519,59326
心悦俱乐部,2024/1/27,12322,1058,1464,2519,59328
心悦俱乐部,2024/1/28,12323,1059,1465,2519,59339
心悦俱乐部,2024/1/29,12323,1059,1465,2521,59358
心悦俱乐部,2024/1/30,12322,1059,1466,2526,59589
心悦俱乐部,2024/1/31,12325,1059,1467,2526,59537
心悦俱乐部,2024/2/1,12326,1059,1467,2524,59532
心悦俱乐部,2024/2/2,12329,1061,1467,2524,59543
心悦俱乐部,2024/2/3,12330,1061,1468,2526,59553
心悦俱乐部,2024/2/4,12333,1063,1468,2526,59570
心悦俱乐部,2024/2/5,12334,1063,1468,2525,59558
心悦俱乐部,2024/2/6,12340,1064,1470,2529,59759
心悦俱乐部,2024/2/7,12343,1064,1470,2529,59810
心悦俱乐部,2024/2/8,12344,1065,1470,2529,59838
心悦俱乐部,2024/2/9,12346,1065,1470,2531,59861
心悦俱乐部,2024/2/10,12345,1065,1471,2531,59878
心悦俱乐部,2024/2/11,12345,1065,1471,2531,59883
心悦俱乐部,2024/2/12,12346,1065,1473,2532,59963
心悦俱乐部,2024/2/13,12349,1065,1476,2538,60084
心悦俱乐部,2024/2/14,12354,1065,1477,2539,60124
心悦俱乐部,2024/2/15,12357,1065,1478,2539,60152
心悦俱乐部,2024/2/16,12357,1065,1477,2541,60165
心悦俱乐部,2024/2/17,12358,1067,1477,2543,60179
心悦俱乐部,2024/2/18,12358,1067,1477,2543,60191
心悦俱乐部,2024/2/19,12357,1067,1477,2543,60187
心悦俱乐部,2024/2/20,12360,1068,1479,2550,60399
心悦俱乐部,2024/2/21,12360,1068,1479,2553,60455
心悦俱乐部,2024/2/22,12361,1069,1479,2555,60482
心悦俱乐部,2024/2/23,12360,1069,1479,2555,60492
心悦俱乐部,2024/2/24,12361,1069,1481,2555,60514
心悦俱乐部,2024/2/25,12361,1069,1482,2556,60535
心悦俱乐部,2024/2/26,12362,1069,1483,2560,60607
心悦俱乐部,2024/2/27,12365,1071,1483,2564,60753
心悦俱乐部,2024/2/28,12369,1070,1483,2565,60785
心悦俱乐部,2024/2/29,12370,1070,1483,2567,60802
心悦俱乐部,2024/3/1,12371,1070,1483,2568,60809
心悦俱乐部,2024/3/2,12373,1070,1484,2569,60833
心悦俱乐部,2024/3/3,12373,1070,1484,2570,60851
心悦俱乐部,2024/3/4,12378,1070,1485,2572,60937
心悦俱乐部,2024/3/5,12380,1070,1485,2578,61086
心悦俱乐部,2024/3/6,12381,1070,1485,2579,61120
心悦俱乐部,2024/3/7,12381,1070,1485,2579,61141
心悦俱乐部,2024/3/8,12381,1070,1486,2579,61151
心悦俱乐部,2024/3/9,12383,1070,1486,2579,61160
心悦俱乐部,2024/3/10,12384,1071,1486,2579,61168
心悦俱乐部,2024/3/11,12384,1071,1487,2580,61214
心悦俱乐部,2024/3/12,12379,1070,1489,2584,61317
心悦俱乐部,2024/3/13,12379,1070,1490,2584,61353
心悦俱乐部,2024/3/14,12379,1070,1490,2583,61374
心悦俱乐部,2024/3/15,12380,1070,1490,2583,61379
心悦俱乐部,2024/3/16,12380,1070,1492,2584,61386
心悦俱乐部,2024/3/17,12381,1070,1493,2584,61398
心悦俱乐部,2024/3/18,12384,1070,1494,2586,61444
心悦俱乐部,2024/3/19,12386,1070,1494,2590,61602
心悦俱乐部,2024/3/20,12384,1070,1493,2588,61616
心悦俱乐部,2024/3/21,12384,1070,1493,2588,61635
心悦俱乐部,2024/3/22,12383,1071,1493,2588,61652
心悦俱乐部,2024/3/23,12388,1071,1496,2589,61665
心悦俱乐部,2024/3/24,12393,1071,1497,2590,61679
心悦俱乐部,2024/3/25,12394,1071,1497,2596,61748
心悦俱乐部,2024/3/26,12395,1072,1497,2599,61906
心悦俱乐部,2024/3/27,12395,1072,1498,2601,61943
心悦俱乐部,2024/3/28,12395,1072,1498,2601,61957
心悦俱乐部,2024/3/29,12398,1072,1498,2601,61971
心悦俱乐部,2024/3/30,12399,1072,1498,2601,61986
心悦俱乐部,2024/3/31,12400,1072,1499,2601,61998
心悦俱乐部,2024/4/1,12401,1072,1499,2601,61987
心悦俱乐部,2024/4/2,12403,1073,1501,2606,62260
心悦俱乐部,2024/4/3,12405,1073,1501,2607,62294
心悦俱乐部,2024/4/4,12406,1073,1501,2607,62318
心悦俱乐部,2024/4/5,12406,1074,1501,2607,62327
心悦俱乐部,2024/4/6,12407,1074,1501,2608,62335
心悦俱乐部,2024/4/7,12407,1074,1501,2608,62338
心悦俱乐部,2024/4/8,12407,1073,1501,2608,62331
心悦俱乐部,2024/4/9,12408,1073,1503,2618,62560
心悦俱乐部,2024/4/10,12408,1073,1504,2619,62598
心悦俱乐部,2024/4/11,12408,1073,1504,2619,62598
