应用名称,日期,一星,二星,三星,四星,五星
快手,2024/1/10,297413,104814,134254,223172,11234529
快手,2024/1/11,297457,104822,134269,223208,11238200
快手,2024/1/12,297909,104831,134283,223233,11241186
快手,2024/1/13,300971,104865,134297,223266,11245186
快手,2024/1/14,301397,104895,134334,223324,11250096
快手,2024/1/15,301585,104919,134355,223373,11254677
快手,2024/1/16,301651,104938,134357,223407,11257300
快手,2024/1/17,301732,104948,134391,223439,11261809
快手,2024/1/18,301804,104968,134400,223490,11265827
快手,2024/1/19,301890,104989,134421,223526,11269771
快手,2024/1/20,301977,104997,134443,223580,11273942
快手,2024/1/21,302058,105018,134470,223635,11278031
快手,2024/1/22,302146,105043,134492,223673,11281901
快手,2024/1/23,302189,105050,134497,223697,11284421
快手,2024/1/24,302305,105065,134537,223769,11290485
快手,2024/1/25,302375,105085,134556,223817,11294485
快手,2024/1/26,302435,105099,134579,223865,11298742
快手,2024/1/27,302480,105111,134591,223898,11300964
快手,2024/1/28,302571,105130,134621,223936,11305793
快手,2024/1/29,302660,105148,134648,223992,11310454
快手,2024/1/30,302727,105175,134664,224045,11314368
快手,2024/1/31,302828,105200,134682,224111,11318951
快手,2024/2/1,302911,105235,134720,224172,11322485
快手,2024/2/2,302994,105247,134746,224226,11325086
快手,2024/2/3,303070,105277,134783,224295,11329267
快手,2024/2/4,303160,105299,134819,224330,11333821
快手,2024/2/5,303255,105324,134847,224400,11337802
快手,2024/2/6,303328,105341,134870,224454,11342071
快手,2024/2/7,303432,105364,134904,224519,11346805
快手,2024/2/8,303503,105381,134925,224557,11350718
快手,2024/2/9,303576,105407,134949,224609,11354836
快手,2024/2/10,303676,105425,134992,224646,11358971
快手,2024/2/11,303752,105444,135032,224670,11363270
快手,2024/2/12,303817,105463,135055,224715,11366869
快手,2024/2/13,303907,105490,135074,224772,11373035
快手,2024/2/14,303984,105514,135090,224815,11377178
快手,2024/2/15,304035,105526,135121,224854,11381367
快手,2024/2/16,304045,105509,135101,224809,11379947
快手,2024/2/17,304131,105521,135128,224851,11384561
快手,2024/2/18,304206,105534,135160,224888,11388215
快手,2024/2/19,304264,105549,135182,224948,11393136
快手,2024/2/20,304333,105568,135207,224984,11398049
快手,2024/2/21,304444,105598,135240,225039,11404136
快手,2024/2/22,304529,105614,135262,225089,11408833
快手,2024/2/23,304581,105619,135277,225124,11411784
快手,2024/2/24,304714,105645,135297,225179,11419666
快手,2024/2/25,304803,105665,135316,225214,11424765
快手,2024/2/26,304890,105682,135329,225243,11429702
快手,2024/2/27,304953,105692,135342,225262,11434010
快手,2024/2/28,305035,105712,135353,225284,11438466
快手,2024/2/29,305092,105713,135366,225323,11442951
快手,2024/3/1,305158,105723,135378,225339,11447012
快手,2024/3/2,305206,105729,135379,225381,11452224
快手,2024/3/3,305277,105756,135403,225427,11458026
快手,2024/3/4,305363,105774,135424,225471,11463410
快手,2024/3/5,305409,105786,135439,225490,11467802
快手,2024/3/6,305447,105790,135444,225510,11471139
快手,2024/3/7,305494,105807,135462,225528,11476445
快手,2024/3/8,305521,105812,135468,225552,11480674
快手,2024/3/9,305574,105814,135476,225586,11494695
快手,2024/3/10,305633,105836,135492,225622,11508849
快手,2024/3/11,305722,105862,135502,225606,11513505
快手,2024/3/12,305550,105806,135399,225436,11513519
快手,2024/3/13,305560,105802,135401,225442,11521730
快手,2024/3/14,305562,105801,135372,225439,11533349
快手,2024/3/15,305580,105796,135369,225470,11541797
快手,2024/3/16,305627,105804,135384,225497,11553634
快手,2024/3/17,305705,105821,135413,225539,11566999
快手,2024/3/18,305774,105838,135428,225572,11578970
快手,2024/3/19,305822,105846,135435,225592,11588484
快手,2024/3/20,305847,105846,135441,225601,11596681
快手,2024/3/21,305912,105861,135454,225627,11604516
快手,2024/3/22,305980,105870,135462,225653,11612028
快手,2024/3/23,305976,105876,135460,225675,11620718
快手,2024/3/24,306075,105897,135498,225721,11631789
快手,2024/3/25,306159,105919,135524,225762,11642237
快手,2024/3/26,306207,105920,135536,225790,11651536
快手,2024/3/27,306251,105930,135556,225819,11660564
快手,2024/3/28,306299,105932,135574,225845,11669372
快手,2024/3/29,306348,105931,135584,225876,11677408
快手,2024/3/30,306400,105944,135597,225914,11686735
快手,2024/3/31,306468,105955,135618,225965,11696301
快手,2024/4/1,306522,105964,135642,225994,11704327
快手,2024/4/2,306553,105970,135651,226024,11709759
快手,2024/4/3,306588,105985,135661,226061,11717776
快手,2024/4/4,306631,105994,135666,226092,11726551
快手,2024/4/5,306706,106002,135685,226118,11735551
快手,2024/4/6,306810,106013,135715,226155,11745173
快手,2024/4/7,306867,106022,135748,226201,11754615
快手,2024/4/8,306886,106028,135757,226219,11758735
快手,2024/4/9,306965,106040,135766,226254,11767864
快手,2024/4/10,306965,106040,135766,226254,11767864
