应用名称,日期,一星,二星,三星,四星,五星
恋与深空,2024/1/11,0,0,0,0,0
恋与深空,2024/1/12,0,0,0,0,0
恋与深空,2024/1/13,0,0,0,0,0
恋与深空,2024/1/14,0,0,0,0,0
恋与深空,2024/1/15,0,0,0,0,0
恋与深空,2024/1/16,147,43,68,137,1628
恋与深空,2024/1/17,266,76,106,206,2213
恋与深空,2024/1/18,391,94,140,237,2622
恋与深空,2024/1/19,660,157,228,402,3705
恋与深空,2024/1/20,832,189,284,480,4340
恋与深空,2024/1/21,987,234,341,580,4964
恋与深空,2024/1/22,1147,272,405,666,5692
恋与深空,2024/1/23,1250,298,443,721,6217
恋与深空,2024/1/24,1322,319,470,770,6612
恋与深空,2024/1/25,1375,327,491,815,6937
恋与深空,2024/1/26,1446,341,507,873,7246
恋与深空,2024/1/27,1493,346,519,911,7489
恋与深空,2024/1/28,1561,352,538,956,7848
恋与深空,2024/1/29,1619,363,548,990,8138
恋与深空,2024/1/30,1658,374,562,1019,8355
恋与深空,2024/1/31,1698,385,578,1045,8611
恋与深空,2024/2/1,1820,394,593,1079,8879
恋与深空,2024/2/2,1884,407,607,1110,9098
恋与深空,2024/2/3,2056,424,624,1145,9267
恋与深空,2024/2/4,2206,434,630,1166,9455
恋与深空,2024/2/5,2255,441,651,1203,9642
恋与深空,2024/2/6,2319,453,668,1236,9792
恋与深空,2024/2/7,2381,463,687,1274,9950
恋与深空,2024/2/8,2416,468,704,1291,10088
恋与深空,2024/2/9,2456,480,720,1329,10293
恋与深空,2024/2/10,2481,492,729,1353,10454
恋与深空,2024/2/11,2492,492,734,1361,10524
恋与深空,2024/2/12,2524,502,740,1386,10675
恋与深空,2024/2/13,2549,510,750,1408,10793
恋与深空,2024/2/14,2566,511,758,1431,10958
恋与深空,2024/2/15,2590,518,766,1455,11092
恋与深空,2024/2/16,2596,525,771,1473,11050
恋与深空,2024/2/17,2621,536,776,1495,11218
恋与深空,2024/2/18,2636,544,783,1513,11308
恋与深空,2024/2/19,2653,552,789,1535,11420
恋与深空,2024/2/20,2672,555,794,1558,11526
恋与深空,2024/2/21,2704,555,811,1578,11646
恋与深空,2024/2/22,2751,555,825,1590,11743
恋与深空,2024/2/23,2774,558,835,1602,11797
恋与深空,2024/2/24,2835,567,844,1619,11930
恋与深空,2024/2/25,2908,570,853,1631,12008
恋与深空,2024/2/26,2937,575,859,1647,12064
恋与深空,2024/2/27,2948,577,867,1656,12096
恋与深空,2024/2/28,2956,580,868,1668,12134
恋与深空,2024/2/29,2973,582,870,1678,12189
恋与深空,2024/3/1,2981,584,875,1678,12227
恋与深空,2024/3/2,3007,586,887,1692,12277
恋与深空,2024/3/3,3028,589,892,1706,12350
恋与深空,2024/3/4,3047,593,900,1717,12411
恋与深空,2024/3/5,3062,594,903,1726,12454
恋与深空,2024/3/6,3075,600,904,1731,12477
恋与深空,2024/3/7,3092,602,906,1736,12537
恋与深空,2024/3/8,3099,602,906,1746,12584
恋与深空,2024/3/9,3172,610,911,1751,12620
恋与深空,2024/3/10,3227,619,929,1759,12669
恋与深空,2024/3/11,3293,628,931,1769,12696
恋与深空,2024/3/12,3413,640,940,1782,12716
恋与深空,2024/3/13,3537,687,955,1792,12730
恋与深空,2024/3/14,3603,715,958,1800,12746
恋与深空,2024/3/15,3656,727,964,1812,12771
恋与深空,2024/3/16,3688,735,973,1818,12795
恋与深空,2024/3/17,3751,743,980,1825,12836
恋与深空,2024/3/18,3803,747,989,1836,12877
恋与深空,2024/3/19,3827,749,992,1837,12898
恋与深空,2024/3/20,3857,753,1000,1845,12926
恋与深空,2024/3/21,3878,758,1007,1853,12948
恋与深空,2024/3/22,3898,761,1011,1860,12978
恋与深空,2024/3/23,3919,767,1021,1863,13001
恋与深空,2024/3/24,3937,775,1025,1871,13055
恋与深空,2024/3/25,3959,780,1032,1882,13111
恋与深空,2024/3/26,3975,784,1038,1890,13143
恋与深空,2024/3/27,3996,787,1041,1897,13162
恋与深空,2024/3/28,4003,794,1047,1900,13179
恋与深空,2024/3/29,4015,795,1047,1904,13223
恋与深空,2024/3/30,4019,797,1049,1911,13251
恋与深空,2024/3/31,4035,800,1058,1920,13306
恋与深空,2024/4/1,4048,806,1061,1926,13354
恋与深空,2024/4/2,4051,811,1066,1937,13375
恋与深空,2024/4/3,4067,814,1074,1946,13479
恋与深空,2024/4/4,4094,821,1085,1966,13584
恋与深空,2024/4/5,4121,828,1087,1985,13664
恋与深空,2024/4/6,4146,834,1092,1997,13735
恋与深空,2024/4/7,4164,838,1096,2004,13782
恋与深空,2024/4/8,4169,839,1099,2008,13798
恋与深空,2024/4/9,4181,844,1102,2015,13841
恋与深空,2024/4/10,4199,847,1104,2020,13872
恋与深空,2024/4/11,4199,847,1104,2020,13872
