应用名称,日期,一星,二星,三星,四星,五星
抖音,2024/1/8,792875,218971,329766,1002968,47200063
抖音,2024/1/9,793008,219010,329844,1003105,47212342
抖音,2024/1/10,793101,219048,329920,1003309,47219221
抖音,2024/1/11,793254,219084,329983,1003327,47220733
抖音,2024/1/12,793391,219121,330073,1003576,47237445
抖音,2024/1/13,793592,219188,330176,1003872,47249546
抖音,2024/1/14,793713,219261,330288,1004205,47270581
抖音,2024/1/15,793865,219322,330363,1004514,47293095
抖音,2024/1/16,793905,219337,330413,1004749,47309824
抖音,2024/1/17,794034,219391,330513,1005009,47328866
抖音,2024/1/18,794134,219416,330597,1005298,47345679
抖音,2024/1/19,794261,219455,330672,1005530,47362993
抖音,2024/1/20,794349,219510,330765,1005824,47380723
抖音,2024/1/21,794493,219564,330879,1006110,47399212
抖音,2024/1/22,794631,219615,330951,1006439,47417372
抖音,2024/1/23,794704,219653,331001,1006652,47430533
抖音,2024/1/24,794776,219677,331044,1006990,47447200
抖音,2024/1/25,794864,219701,331095,1007180,47457950
抖音,2024/1/26,795118,219781,331225,1007525,47479167
抖音,2024/1/27,795258,219797,331282,1007715,47490365
抖音,2024/1/28,795426,219855,331394,1008030,47508479
抖音,2024/1/29,795615,219908,331487,1008326,47525645
抖音,2024/1/30,795752,219965,331566,1008633,47540046
抖音,2024/1/31,795905,220029,331676,1008918,47554394
抖音,2024/2/1,796067,220065,331760,1009186,47568195
抖音,2024/2/2,796221,220116,331837,1009487,47580562
抖音,2024/2/3,796470,220203,331970,1009837,47596668
抖音,2024/2/4,796667,220278,332075,1010200,47612939
抖音,2024/2/5,796769,220299,332121,1010405,47613523
抖音,2024/2/6,796896,220321,332192,1010681,47625298
抖音,2024/2/7,797105,220386,332300,1011322,47668180
抖音,2024/2/8,797231,220442,332354,1011450,47681834
抖音,2024/2/9,797338,220470,332464,1011819,47700643
抖音,2024/2/10,797491,220516,332599,1012273,47729065
抖音,2024/2/11,797564,220560,332670,1012601,47751032
抖音,2024/2/12,797660,220613,332764,1012983,47773658
抖音,2024/2/13,797658,220622,332842,1013290,47790730
抖音,2024/2/14,797756,220675,332832,1013402,47793342
抖音,2024/2/15,797875,220736,332909,1013743,47814187
抖音,2024/2/16,797868,220756,332932,1013916,47822968
抖音,2024/2/17,797971,220801,333030,1014191,47841376
抖音,2024/2/18,798066,220845,333131,1014513,47861657
抖音,2024/2/19,798176,220914,333234,1014855,47879893
抖音,2024/2/20,798308,220967,333330,1014657,47872171
抖音,2024/2/21,798454,221015,333433,1014894,47885684
抖音,2024/2/22,798496,221034,333416,1015004,47896236
抖音,2024/2/23,798571,221044,333437,1015083,47896530
抖音,2024/2/24,798557,221022,333507,1015327,47903863
抖音,2024/2/25,798751,221059,333649,1015966,47949405
抖音,2024/2/26,798926,221144,333770,1016443,47979348
抖音,2024/2/27,798988,221175,333864,1016639,47995344
抖音,2024/2/28,799077,221199,333932,1016909,48013959
抖音,2024/2/29,799156,221242,333989,1017191,48032923
抖音,2024/3/1,799214,221282,334085,1017368,48049775
抖音,2024/3/2,799299,221327,334145,1017699,48068571
抖音,2024/3/3,799448,221372,334213,1018051,48089014
抖音,2024/3/4,799572,221428,334298,1018387,48111085
抖音,2024/3/5,799667,221446,334356,1018658,48130858
抖音,2024/3/6,799763,221477,334406,1018844,48144643
抖音,2024/3/7,799846,221540,334470,1019131,48162489
抖音,2024/3/8,799912,221565,334546,1019287,48168159
抖音,2024/3/9,800020,221597,334621,1019561,48181450
抖音,2024/3/10,800133,221645,334749,1020023,48212040
抖音,2024/3/11,800283,221706,334858,1020455,48241056
抖音,2024/3/12,800165,221685,334900,1020667,48261832
抖音,2024/3/13,800289,221727,334980,1020927,48279475
抖音,2024/3/14,800423,221758,335066,1021135,48296296
抖音,2024/3/15,800526,221798,335141,1021385,48314939
抖音,2024/3/16,800624,221856,335224,1021650,48332952
抖音,2024/3/17,800745,221899,335327,1021992,48354357
抖音,2024/3/18,800903,221966,335441,1022336,48376282
抖音,2024/3/19,801024,221995,335527,1022683,48397208
抖音,2024/3/20,801296,222056,335661,1023083,48413270
抖音,2024/3/21,801665,222155,335840,1023554,48431615
抖音,2024/3/22,802219,222269,336051,1024105,48446229
抖音,2024/3/23,802475,222313,336178,1024439,48462366
抖音,2024/3/24,802621,222382,336269,1024788,48482739
抖音,2024/3/25,802811,222446,336401,1025237,48509632
抖音,2024/3/26,802968,222501,336494,1025530,48536311
抖音,2024/3/27,803072,222525,336574,1025743,48551257
抖音,2024/3/28,803191,222555,336665,1025941,48569198
抖音,2024/3/29,803315,222585,336747,1026212,48587246
抖音,2024/3/30,803416,222621,336823,1026485,48605628
抖音,2024/3/31,803577,222674,336927,1026848,48627076
抖音,2024/4/1,803738,222735,337033,1027220,48650361
抖音,2024/4/2,803840,222767,337089,1027486,48668946
抖音,2024/4/3,803938,222801,337161,1027703,48685968
抖音,2024/4/4,804032,222839,337223,1027973,48703608
抖音,2024/4/5,804142,222887,337330,1028280,48718871
抖音,2024/4/6,804234,222938,337432,1028634,48735234
抖音,2024/4/7,804317,222965,337476,1028778,48749672
抖音,2024/4/8,804377,222992,337498,1028965,48762245
