应用名称,日期,一星,二星,三星,四星,五星
捕鱼大作战,2024/1/10,29715,4844,6199,10613,218043
捕鱼大作战,2024/1/11,29736,4846,6207,10619,218153
捕鱼大作战,2024/1/12,29761,4848,6213,10625,218275
捕鱼大作战,2024/1/13,29775,4851,6219,10632,218396
捕鱼大作战,2024/1/14,29808,4853,6224,10641,218524
捕鱼大作战,2024/1/15,29833,4855,6229,10648,218675
捕鱼大作战,2024/1/16,29850,4856,6231,10652,218760
捕鱼大作战,2024/1/17,29877,4856,6235,10662,218908
捕鱼大作战,2024/1/18,29910,4860,6243,10668,219036
捕鱼大作战,2024/1/19,29929,4863,6245,10674,219142
捕鱼大作战,2024/1/20,29953,4865,6248,10678,219254
捕鱼大作战,2024/1/21,29983,4867,6254,10683,219369
捕鱼大作战,2024/1/22,30002,4870,6256,10692,219477
捕鱼大作战,2024/1/23,30018,4875,6260,10700,219589
捕鱼大作战,2024/1/24,30042,4876,6264,10706,219696
捕鱼大作战,2024/1/25,30061,4878,6268,10711,219783
捕鱼大作战,2024/1/26,30072,4877,6271,10718,219906
捕鱼大作战,2024/1/27,30077,4879,6272,10724,219957
捕鱼大作战,2024/1/28,30098,4882,6279,10730,220066
捕鱼大作战,2024/1/29,30117,4884,6283,10739,220193
捕鱼大作战,2024/1/30,30135,4886,6287,10745,220296
捕鱼大作战,2024/1/31,30145,4888,6288,10749,220416
捕鱼大作战,2024/2/1,30162,4892,6290,10754,220531
捕鱼大作战,2024/2/2,30225,4898,6296,10757,220595
捕鱼大作战,2024/2/3,30348,4908,6303,10761,220738
捕鱼大作战,2024/2/4,30378,4913,6307,10769,220845
捕鱼大作战,2024/2/5,30386,4913,6312,10777,220957
捕鱼大作战,2024/2/6,30410,4910,6316,10780,221056
捕鱼大作战,2024/2/7,30443,4914,6324,10790,221141
捕鱼大作战,2024/2/8,30462,4915,6327,10801,221254
捕鱼大作战,2024/2/9,30481,4918,6333,10811,221374
捕鱼大作战,2024/2/10,30501,4923,6337,10828,221522
捕鱼大作战,2024/2/11,30505,4924,6342,10832,221584
