应用名称,日期,一星,二星,三星,四星,五星
火影忍者,2024/1/12,125574,24587,46570,107852,1919239
火影忍者,2024/1/13,125650,24597,46609,107950,1921045
火影忍者,2024/1/14,125824,24636,46697,108087,1924215
火影忍者,2024/1/15,125918,24654,46731,108213,1926523
火影忍者,2024/1/16,125965,24665,46753,108278,1927286
火影忍者,2024/1/17,126054,24674,46775,108350,1928591
火影忍者,2024/1/18,126114,24686,46797,108417,1929893
火影忍者,2024/1/19,126205,24699,46822,108516,1931183
火影忍者,2024/1/20,126284,24720,46867,108619,1932867
火影忍者,2024/1/21,126406,24755,46930,108776,1935166
火影忍者,2024/1/22,126522,24768,46966,108899,1937086
火影忍者,2024/1/23,126575,24771,46982,108942,1937904
火影忍者,2024/1/24,126639,24770,47016,109008,1939309
火影忍者,2024/1/25,126727,24790,47050,109092,1940922
火影忍者,2024/1/26,126822,24805,47091,109194,1942907
火影忍者,2024/1/27,126910,24818,47133,109307,1944581
火影忍者,2024/1/28,127048,24834,47179,109473,1947556
火影忍者,2024/1/29,127158,24859,47231,109610,1949811
火影忍者,2024/1/30,127253,24881,47261,109726,1951749
火影忍者,2024/1/31,127357,24897,47313,109839,1953712
火影忍者,2024/2/1,127434,24910,47343,109958,1955579
火影忍者,2024/2/2,127539,24931,47372,110089,1957517
火影忍者,2024/2/3,127621,24945,47409,110194,1959660
火影忍者,2024/2/4,127729,24973,47449,110310,1961684
火影忍者,2024/2/5,127819,24990,47507,110424,1963580
火影忍者,2024/2/6,127913,25007,47540,110516,1965311
火影忍者,2024/2/7,128035,25021,47587,110633,1967274
火影忍者,2024/2/8,128154,25035,47629,110739,1968967
火影忍者,2024/2/9,128218,25048,47683,110853,1970786
火影忍者,2024/2/10,128355,25069,47731,110966,1973223
火影忍者,2024/2/11,128420,25081,47751,111049,1974566
火影忍者,2024/2/12,128508,25098,47809,111185,1976548
火影忍者,2024/2/13,128675,25122,47845,111308,1978886
火影忍者,2024/2/14,128821,25156,47906,111456,1981427
火影忍者,2024/2/15,128922,25182,47965,111574,1983088
火影忍者,2024/2/16,128929,25174,47991,111573,1983211
火影忍者,2024/2/17,129032,25188,48032,111653,1984738
火影忍者,2024/2/18,129123,25202,48065,111743,1986259
火影忍者,2024/2/19,129214,25221,48106,111842,1987773
火影忍者,2024/2/20,129302,25243,48144,111943,1989197
火影忍者,2024/2/21,129404,25253,48181,112022,1990835
火影忍者,2024/2/22,129530,25277,48219,112096,1992149
火影忍者,2024/2/23,129582,25285,48240,112150,1992934
火影忍者,2024/2/24,129685,25308,48290,112272,1994837
火影忍者,2024/2/25,129784,25324,48331,112371,1996400
火影忍者,2024/2/26,129876,25343,48368,112440,1997508
火影忍者,2024/2/27,129935,25351,48389,112478,1998166
火影忍者,2024/2/28,129979,25359,48405,112518,1998845
火影忍者,2024/2/29,130043,25365,48427,112552,1999556
火影忍者,2024/3/1,130096,25361,48439,112586,2000398
火影忍者,2024/3/2,130199,25379,48485,112668,2002054
火影忍者,2024/3/3,130336,25401,48543,112784,2004403
火影忍者,2024/3/4,130441,25419,48582,112895,2006157
火影忍者,2024/3/5,130505,25428,48603,112945,2006959
火影忍者,2024/3/6,130562,25435,48626,112980,2007529
火影忍者,2024/3/7,130621,25451,48663,113067,2008169
火影忍者,2024/3/8,131294,25555,48864,113403,2012148
火影忍者,2024/3/9,131609,25604,48941,113602,2015933
火影忍者,2024/3/10,131867,25656,49051,113903,2020558
火影忍者,2024/3/11,132061,25679,49098,113935,2021506
火影忍者,2024/3/12,131948,25651,49042,113853,2020161
火影忍者,2024/3/13,132001,25655,49057,113900,2020802
火影忍者,2024/3/14,132042,25663,49059,113940,2021553
火影忍者,2024/3/15,132063,25663,49060,113960,2021969
火影忍者,2024/3/16,132120,25677,49093,114084,2023690
火影忍者,2024/3/17,132265,25706,49175,114243,2026481
火影忍者,2024/3/18,132374,25732,49224,114344,2028440
火影忍者,2024/3/19,132444,25741,49236,114384,2029278
火影忍者,2024/3/20,132469,25753,49248,114407,2029741
火影忍者,2024/3/21,132535,25760,49265,114451,2030448
火影忍者,2024/3/22,132590,25771,49279,114492,2031120
火影忍者,2024/3/23,132569,25761,49285,114575,2032353
火影忍者,2024/3/24,132671,25769,49341,114725,2034867
火影忍者,2024/3/25,132766,25784,49402,114839,2036620
火影忍者,2024/3/26,132821,25791,49413,114877,2037403
火影忍者,2024/3/27,132883,25793,49425,114924,2038107
火影忍者,2024/3/28,132954,25798,49436,114957,2038843
火影忍者,2024/3/29,133018,25812,49457,115004,2039549
火影忍者,2024/3/30,133077,25829,49475,115070,2040698
火影忍者,2024/3/31,133183,25852,49538,115216,2042897
火影忍者,2024/4/1,133250,25874,49582,115345,2044603
火影忍者,2024/4/2,133304,25887,49599,115382,2045340
火影忍者,2024/4/3,133358,25892,49615,115413,2046079
火影忍者,2024/4/4,133431,25902,49646,115509,2047452
火影忍者,2024/4/5,133541,25926,49705,115658,2050193
火影忍者,2024/4/6,133636,25946,49744,115805,2052488
火影忍者,2024/4/7,133720,25966,49788,115905,2054135
火影忍者,2024/4/8,133752,25969,49802,115927,2054479
火影忍者,2024/4/9,133821,25975,49819,115973,2055525
火影忍者,2024/4/10,133878,25985,49839,116014,2056225
火影忍者,2024/4/11,133919,25993,49863,116050,2057009
火影忍者,2024/4/12,133975,25996,49881,116079,2057504
