应用名称,日期,一星,二星,三星,四星,五星
爱奇艺,2024/1/8,690451,261791,563289,1446564,20167022
爱奇艺,2024/1/9,690951,261949,563590,1447009,20176146
爱奇艺,2024/1/10,691315,262027,563801,1447599,20184505
爱奇艺,2024/1/11,691703,262137,564011,1447714,20187877
爱奇艺,2024/1/12,692068,262234,564197,1448251,20195735
爱奇艺,2024/1/13,692427,262350,564481,1448712,20202517
爱奇艺,2024/1/14,692960,262521,564838,1449638,20214156
爱奇艺,2024/1/15,693436,262667,565126,1450470,20224830
爱奇艺,2024/1/16,693684,262750,565304,1450956,20231091
爱奇艺,2024/1/17,693996,262834,565421,1451384,20237622
爱奇艺,2024/1/18,694364,262941,565615,1451882,20245614
爱奇艺,2024/1/19,694755,263049,565811,1452418,20253276
爱奇艺,2024/1/20,695138,263148,566033,1452979,20261160
爱奇艺,2024/1/21,695494,263239,566337,1453646,20269628
爱奇艺,2024/1/22,695845,263328,566574,1454293,20277526
爱奇艺,2024/1/23,696003,263377,566680,1454566,20281337
爱奇艺,2024/1/24,695902,263326,566652,1454804,20285200
爱奇艺,2024/1/25,696189,263436,566820,1455314,20291241
爱奇艺,2024/1/26,696601,263553,567114,1455963,20298859
爱奇艺,2024/1/27,696721,263612,567250,1456237,20301903
爱奇艺,2024/1/28,697028,263716,567487,1456825,20308593
爱奇艺,2024/1/29,697280,263821,567685,1457312,20314228
爱奇艺,2024/1/30,697513,263891,567835,1457763,20319058
爱奇艺,2024/1/31,697778,263962,568025,1458133,20324114
爱奇艺,2024/2/1,698066,264063,568207,1458539,20328844
爱奇艺,2024/2/2,699366,264761,569673,1462361,20363841
爱奇艺,2024/2/3,699755,264888,569950,1463459,20376094
爱奇艺,2024/2/4,700518,265246,570633,1465203,20395019
爱奇艺,2024/2/5,701211,265483,571146,1466603,20409975
爱奇艺,2024/2/6,701774,265694,571580,1467778,20422264
爱奇艺,2024/2/7,702393,265912,572005,1468847,20433665
爱奇艺,2024/2/8,702881,266106,572402,1469752,20443084
爱奇艺,2024/2/9,703464,266329,572798,1470744,20454021
爱奇艺,2024/2/10,704022,266564,573230,1471786,20465332
爱奇艺,2024/2/11,704369,266704,573521,1472442,20471952
爱奇艺,2024/2/12,704854,266919,573924,1473442,20481944
爱奇艺,2024/2/13,705373,267124,574209,1474240,20491016
爱奇艺,2024/2/14,705750,267275,574399,1474703,20495877
爱奇艺,2024/2/15,706121,267412,574744,1475468,20504123
爱奇艺,2024/2/16,706424,267512,574933,1476092,20510790
爱奇艺,2024/2/17,706770,267654,575216,1476735,20518414
爱奇艺,2024/2/18,707085,267756,575458,1477268,20525468
爱奇艺,2024/2/19,707404,267857,575668,1477829,20532356
爱奇艺,2024/2/20,707746,267961,575851,1478035,20534954
爱奇艺,2024/2/21,708077,268079,576036,1478490,20541320
爱奇艺,2024/2/22,708302,268103,576072,1478737,20547959
爱奇艺,2024/2/23,708494,268171,576219,1479062,20552224
爱奇艺,2024/2/24,708981,268311,576452,1479707,20561485
爱奇艺,2024/2/25,709271,268408,576616,1480210,20567879
爱奇艺,2024/2/26,709606,268503,576809,1480598,20574062
爱奇艺,2024/2/27,709820,268578,576923,1480897,20579065
爱奇艺,2024/2/28,710032,268636,577050,1481201,20584110
爱奇艺,2024/2/29,710247,268691,577162,1481521,20589063
爱奇艺,2024/3/1,710499,268734,577288,1481866,20594388
爱奇艺,2024/3/2,711337,269053,578007,1483723,20616657
爱奇艺,2024/3/3,712011,269317,578595,1485300,20633551
爱奇艺,2024/3/4,712527,269518,579012,1486399,20646590
爱奇艺,2024/3/5,712911,269636,579194,1487009,20655889
爱奇艺,2024/3/6,713210,269722,579351,1487488,20662415
爱奇艺,2024/3/7,713598,269829,579561,1488020,20670706
爱奇艺,2024/3/8,713845,269900,579707,1488441,20676682
爱奇艺,2024/3/9,714188,270013,579962,1489079,20684204
爱奇艺,2024/3/10,714591,270113,580254,1489749,20692722
爱奇艺,2024/3/11,714970,270227,580513,1490449,20700345
爱奇艺,2024/3/12,715111,270265,580590,1490634,20703565
爱奇艺,2024/3/13,715354,270311,580719,1490960,20708661
爱奇艺,2024/3/14,715594,270371,580849,1491285,20713294
爱奇艺,2024/3/15,715883,270426,580963,1491595,20718477
爱奇艺,2024/3/16,716169,270500,581128,1492006,20723777
爱奇艺,2024/3/17,716483,270613,581351,1492589,20730149
爱奇艺,2024/3/18,716735,270706,581529,1493053,20736101
爱奇艺,2024/3/19,716941,270750,581640,1493367,20740357
爱奇艺,2024/3/20,717138,270787,581750,1493657,20744315
爱奇艺,2024/3/21,717300,270836,581832,1493910,20747566
爱奇艺,2024/3/22,717493,270903,581935,1494162,20751487
爱奇艺,2024/3/23,717715,270946,582058,1494457,20756071
爱奇艺,2024/3/24,717996,271027,582268,1494887,20761383
爱奇艺,2024/3/25,718244,271112,582418,1495284,20766349
爱奇艺,2024/3/26,718409,271159,582487,1495553,20769811
爱奇艺,2024/3/27,718597,271204,582578,1495776,20773046
爱奇艺,2024/3/28,718765,271239,582652,1496012,20776525
爱奇艺,2024/3/29,718922,271272,582732,1496207,20779638
爱奇艺,2024/3/30,719104,271305,582829,1496457,20782901
爱奇艺,2024/3/31,719329,271378,582962,1496841,20786962
爱奇艺,2024/4/1,719572,271466,583061,1497243,20792522
爱奇艺,2024/4/2,720043,271649,583415,1498411,20807455
爱奇艺,2024/4/3,720405,271769,583639,1499143,20816789
爱奇艺,2024/4/4,720748,271921,583856,1499801,20824778
爱奇艺,2024/4/5,721167,272067,584137,1500562,20833405
爱奇艺,2024/4/6,721517,272197,584388,1501183,20840954
爱奇艺,2024/4/7,721837,272295,584581,1501685,20847426
爱奇艺,2024/4/8,721837,272295,584581,1501685,20847426
