应用名称,日期,一星,二星,三星,四星,五星
王者荣耀,2024/1/8,4193461,550091,614615,856334,6862354
王者荣耀,2024/1/9,4194908,550188,614710,856265,6862327
王者荣耀,2024/1/10,4195802,550250,614784,856342,6862575
王者荣耀,2024/1/11,4196886,550332,614850,856295,6862280
王者荣耀,2024/1/12,4198126,550414,614915,856309,6862383
王者荣耀,2024/1/13,4199322,550527,615035,856390,6862575
王者荣耀,2024/1/14,4200611,550614,615141,856491,6863072
王者荣耀,2024/1/15,4201754,550701,615250,856579,6863477
王者荣耀,2024/1/16,4202142,550740,615295,856624,6863645
王者荣耀,2024/1/17,4202955,550801,615335,856668,6863825
王者荣耀,2024/1/18,4203371,550824,615368,856724,6863900
王者荣耀,2024/1/19,4204962,550901,615455,856790,6864173
王者荣耀,2024/1/20,4205999,550952,615525,856872,6864445
王者荣耀,2024/1/21,4207168,551026,615611,856971,6864803
王者荣耀,2024/1/22,4208512,551016,615653,856916,6864308
王者荣耀,2024/1/23,4222616,552278,616792,857850,6868594
王者荣耀,2024/1/24,4228539,552856,617318,858297,6870545
王者荣耀,2024/1/25,4231581,553078,617628,858465,6871381
王者荣耀,2024/1/26,4236684,553615,618104,858932,6872987
王者荣耀,2024/1/27,4235801,553625,618080,858839,6872740
王者荣耀,2024/1/28,4238609,553879,618331,859123,6873856
王者荣耀,2024/1/29,4240770,554075,618519,859316,6874530
王者荣耀,2024/1/30,4242092,554183,618610,859403,6874980
王者荣耀,2024/1/31,4243438,554290,618265,859160,6873808
王者荣耀,2024/2/1,4245000,554388,617723,858736,6872650
王者荣耀,2024/2/2,4246583,554483,617725,858715,6872747
王者荣耀,2024/2/3,4245607,554279,617838,858802,6873072
王者荣耀,2024/2/4,4247105,554367,617927,858920,6873466
王者荣耀,2024/2/5,4248515,554453,618023,859029,6873820
王者荣耀,2024/2/6,4249670,554538,618086,859128,6874101
王者荣耀,2024/2/7,4251145,554639,618202,859235,6874461
王者荣耀,2024/2/8,4252558,554756,618294,859345,6874773
王者荣耀,2024/2/9,4254188,554845,618399,859462,6875099
王者荣耀,2024/2/10,4255364,554946,618490,859556,6875582
王者荣耀,2024/2/11,4256034,555006,618536,859615,6875813
王者荣耀,2024/2/12,4257082,555107,618615,859725,6876181
王者荣耀,2024/2/13,4257860,555149,618664,859797,6876375
王者荣耀,2024/2/14,4258808,555241,618685,859827,6876498
王者荣耀,2024/2/15,4259767,555326,618765,859894,6876751
王者荣耀,2024/2/16,4260033,555268,618708,859825,6876407
王者荣耀,2024/2/17,4260870,555326,618775,859889,6876637
王者荣耀,2024/2/18,4261710,555389,618834,859951,6876874
王者荣耀,2024/2/19,4262513,555441,618884,860007,6877106
王者荣耀,2024/2/20,4263368,555490,618921,860053,6877321
王者荣耀,2024/2/21,4264342,555553,618962,860100,6877518
王者荣耀,2024/2/22,4265233,555602,619002,860140,6877725
王者荣耀,2024/2/23,4265813,555634,619044,860171,6877911
王者荣耀,2024/2/24,4267083,555698,619096,860231,6878202
王者荣耀,2024/2/25,4267954,555742,619135,860284,6878515
王者荣耀,2024/2/26,4268667,555778,619158,860309,6878741
王者荣耀,2024/2/27,4269203,555805,619181,860329,6878887
王者荣耀,2024/2/28,4269708,555825,619203,860348,6878981
王者荣耀,2024/2/29,4270236,555855,619224,860353,6879075
王者荣耀,2024/3/1,4270792,555863,619239,860339,6878825
王者荣耀,2024/3/2,4271351,555890,619262,860363,6878948
王者荣耀,2024/3/3,4272117,555944,619302,860440,6879325
王者荣耀,2024/3/4,4272901,555977,619327,860489,6879568
王者荣耀,2024/3/5,4273364,555988,619341,860506,6879660
王者荣耀,2024/3/6,4273809,556014,619368,860520,6879772
王者荣耀,2024/3/7,4274410,556024,619384,860536,6879853
王者荣耀,2024/3/8,4274942,556041,619416,860547,6879939
王者荣耀,2024/3/9,4275652,556068,619443,860562,6880078
王者荣耀,2024/3/10,4276565,556108,619495,860629,6880452
王者荣耀,2024/3/11,4277334,556139,619541,860678,6880759
王者荣耀,2024/3/12,4276476,556054,619475,860599,6880352
王者荣耀,2024/3/13,4276852,556078,619495,860613,6880386
王者荣耀,2024/3/14,4277510,556089,619526,860636,6880455
王者荣耀,2024/3/15,4278109,556101,619538,860651,6880548
王者荣耀,2024/3/16,4278535,556126,619557,860680,6880709
王者荣耀,2024/3/17,4279254,556169,619603,860743,6881034
王者荣耀,2024/3/18,4279927,556211,619658,860777,6881284
王者荣耀,2024/3/19,4280328,556224,619671,860792,6881398
王者荣耀,2024/3/20,4281021,556249,619701,860810,6881559
王者荣耀,2024/3/21,4281477,556288,619716,860826,6881683
王者荣耀,2024/3/22,4282000,556313,619747,860849,6881849
王者荣耀,2024/3/23,4282741,556361,619781,860886,6882060
王者荣耀,2024/3/24,4283512,556424,619861,860952,6882441
王者荣耀,2024/3/25,4284370,556481,619919,861012,6882774
王者荣耀,2024/3/26,4284990,556507,619939,861041,6882930
王者荣耀,2024/3/27,4285609,556525,619963,861046,6883069
王者荣耀,2024/3/28,4286529,556515,620032,860885,6881939
王者荣耀,2024/3/29,4326993,560078,623875,864299,6898245
王者荣耀,2024/3/30,4332052,560648,624576,865054,6901999
王者荣耀,2024/3/31,4335047,560958,624961,865514,6904453
王者荣耀,2024/4/1,4336891,561126,625154,865761,6905538
王者荣耀,2024/4/2,4338000,561205,625237,865854,6905979
王者荣耀,2024/4/3,4339049,561294,625299,865921,6906378
王者荣耀,2024/4/4,4340446,561418,625427,866059,6907200
王者荣耀,2024/4/5,4341954,561592,625557,866241,6908149
王者荣耀,2024/4/6,4343195,561651,625663,866339,6908720
王者荣耀,2024/4/7,4343571,561675,625705,866375,6908975
王者荣耀,2024/4/8,4344123,561706,625740,866412,6909187
