应用名称,日期,一星,二星,三星,四星,五星
网易云音乐,2024/1/10,87297,20780,36870,109761,1224015
网易云音乐,2024/1/11,87414,20787,36878,109767,1224032
网易云音乐,2024/1/12,87490,20796,36887,109777,1224053
网易云音乐,2024/1/13,87615,20806,36900,109793,1224088
网易云音乐,2024/1/14,87741,20824,36914,109823,1224206
网易云音乐,2024/1/15,87835,20842,36924,109837,1224259
网易云音乐,2024/1/16,87870,20844,36929,109843,1224265
网易云音乐,2024/1/17,87922,20851,36936,109853,1224290
网易云音乐,2024/1/18,87984,20856,36941,109856,1224312
网易云音乐,2024/1/19,88034,20860,36947,109868,1224334
网易云音乐,2024/1/20,88089,20864,36954,109878,1224363
网易云音乐,2024/1/21,88131,20871,36961,109889,1224395
网易云音乐,2024/1/22,88176,20875,36963,109903,1224429
网易云音乐,2024/1/23,88195,20882,36964,109906,1224440
网易云音乐,2024/1/24,88249,20886,36972,109911,1224495
网易云音乐,2024/1/25,88284,20892,36979,109920,1224538
网易云音乐,2024/1/26,88353,20895,36983,109926,1224569
网易云音乐,2024/1/27,88390,20895,36984,109931,1224593
网易云音乐,2024/1/28,88451,20899,36987,109942,1224628
网易云音乐,2024/1/29,88497,20899,36996,109946,1224638
网易云音乐,2024/1/30,88534,20900,37003,109947,1224656
网易云音乐,2024/1/31,88586,20913,37013,109964,1224724
网易云音乐,2024/2/1,88632,20922,37027,109988,1224806
网易云音乐,2024/2/2,88705,20929,37037,110004,1224885
网易云音乐,2024/2/3,88748,20935,37046,110022,1224947
网易云音乐,2024/2/4,88797,20941,37056,110031,1224994
网易云音乐,2024/2/5,88830,20949,37063,110040,1225040
网易云音乐,2024/2/6,88865,20961,37069,110046,1225076
网易云音乐,2024/2/7,88906,20965,37080,110052,1225103
网易云音乐,2024/2/8,88954,20968,37088,110060,1225156
网易云音乐,2024/2/9,88990,20976,37098,110078,1225201
网易云音乐,2024/2/10,89004,20980,37100,110083,1225221
网易云音乐,2024/2/11,89026,20983,37103,110090,1225250
网易云音乐,2024/2/12,89053,20984,37106,110098,1225266
网易云音乐,2024/2/13,89095,20990,37113,110107,1225274
网易云音乐,2024/2/14,89119,20993,37118,110114,1225303
网易云音乐,2024/2/15,89154,20996,37120,110124,1225325
网易云音乐,2024/2/16,89187,21007,37134,110132,1225258
网易云音乐,2024/2/17,89222,21014,37140,110134,1225284
网易云音乐,2024/2/18,89236,21018,37144,110148,1225304
网易云音乐,2024/2/19,89264,21022,37153,110157,1225340
网易云音乐,2024/2/20,89292,21024,37160,110163,1225359
网易云音乐,2024/2/21,89335,21033,37167,110170,1225418
网易云音乐,2024/2/22,89370,21033,37168,110174,1225434
网易云音乐,2024/2/23,89392,21036,37169,110177,1225448
网易云音乐,2024/2/24,89440,21046,37182,110188,1225482
网易云音乐,2024/2/25,89466,21051,37184,110192,1225513
网易云音乐,2024/2/26,89479,21055,37185,110198,1225525
网易云音乐,2024/2/27,89528,21058,37189,110207,1225557
网易云音乐,2024/2/28,89553,21062,37188,110209,1225573
网易云音乐,2024/2/29,89588,21062,37190,110208,1225584
网易云音乐,2024/3/1,89634,21062,37199,110216,1225591
网易云音乐,2024/3/2,89682,21065,37205,110224,1225625
网易云音乐,2024/3/3,89710,21073,37215,110231,1225680
网易云音乐,2024/3/4,89748,21077,37222,110235,1225707
网易云音乐,2024/3/5,89778,21079,37222,110245,1225726
网易云音乐,2024/3/6,89801,21083,37222,110249,1225746
网易云音乐,2024/3/7,89842,21083,37228,110259,1225772
网易云音乐,2024/3/8,89885,21085,37233,110263,1225789
网易云音乐,2024/3/9,89919,21092,37235,110266,1225815
网易云音乐,2024/3/10,89954,21098,37240,110269,1225830
网易云音乐,2024/3/11,89996,21102,37244,110273,1225863
网易云音乐,2024/3/12,89992,21098,37243,110256,1225756
网易云音乐,2024/3/13,90018,21100,37244,110258,1225767
网易云音乐,2024/3/14,90078,21107,37252,110265,1225812
网易云音乐,2024/3/15,90131,21120,37258,110268,1225858
网易云音乐,2024/3/16,90171,21124,37267,110276,1225913
网易云音乐,2024/3/17,90207,21125,37274,110288,1225979
网易云音乐,2024/3/18,90241,21136,37281,110294,1226023
网易云音乐,2024/3/19,90292,21141,37289,110302,1226065
网易云音乐,2024/3/20,90352,21143,37296,110319,1226103
网易云音乐,2024/3/21,90419,21148,37302,110323,1226144
网易云音乐,2024/3/22,90479,21153,37313,110329,1226197
网易云音乐,2024/3/23,90522,21160,37322,110337,1226240
网易云音乐,2024/3/24,90553,21170,37329,110351,1226288
网易云音乐,2024/3/25,90602,21177,37335,110357,1226324
网易云音乐,2024/3/26,90654,21180,37341,110364,1226349
网易云音乐,2024/3/27,90708,21187,37343,110369,1226370
网易云音乐,2024/3/28,90742,21188,37343,110377,1226402
网易云音乐,2024/3/29,90782,21192,37347,110386,1226445
网易云音乐,2024/3/30,90811,21198,37354,110389,1226473
网易云音乐,2024/3/31,90842,21203,37360,110393,1226517
网易云音乐,2024/4/1,90878,21209,37369,110399,1226558
网易云音乐,2024/4/2,90923,21214,37371,110412,1226589
网易云音乐,2024/4/3,90964,21217,37375,110419,1226613
网易云音乐,2024/4/4,91021,21223,37382,110426,1226641
网易云音乐,2024/4/5,91062,21232,37388,110434,1226677
网易云音乐,2024/4/6,91099,21236,37398,110441,1226704
网易云音乐,2024/4/7,91140,21242,37403,110447,1226730
网易云音乐,2024/4/8,91162,21246,37409,110449,1226752
网易云音乐,2024/4/9,91251,21260,37418,110468,1226821
网易云音乐,2024/4/10,91251,21260,37418,110468,1226821
