应用名称,日期,一星,二星,三星,四星,五星
腾讯视频,2024/1/8,689193,310344,604981,1397968,18542674
腾讯视频,2024/1/9,689258,310346,604985,1397959,18542599
腾讯视频,2024/1/10,689322,310355,604989,1397974,18542611
腾讯视频,2024/1/11,689392,310360,604995,1397967,18542540
腾讯视频,2024/1/12,689464,310365,604992,1397973,18542519
腾讯视频,2024/1/13,689525,310369,604999,1397976,18542512
腾讯视频,2024/1/14,689589,310373,605008,1397985,18542553
腾讯视频,2024/1/15,689655,310381,605019,1397989,18542587
腾讯视频,2024/1/16,689684,310386,605022,1397994,18542581
腾讯视频,2024/1/17,689774,310396,605033,1397991,18542566
腾讯视频,2024/1/18,689855,310398,605045,1398001,18542557
腾讯视频,2024/1/19,689914,310403,605054,1398007,18542520
腾讯视频,2024/1/20,689970,310405,605057,1398002,18542514
腾讯视频,2024/1/21,690051,310425,605069,1398023,18542528
腾讯视频,2024/1/22,690122,310434,605076,1398032,18542560
腾讯视频,2024/1/23,690156,310440,605080,1398032,18542567
腾讯视频,2024/1/24,690187,310440,605077,1398028,18542514
腾讯视频,2024/1/25,690283,310448,605091,1398035,18542557
腾讯视频,2024/1/26,690322,310451,605100,1398041,18542584
腾讯视频,2024/1/27,690355,310456,605104,1398048,18542591
腾讯视频,2024/1/28,690412,310459,605108,1398056,18542627
腾讯视频,2024/1/29,690473,310465,605114,1398057,18542649
腾讯视频,2024/1/30,690526,310466,605124,1398068,18542657
腾讯视频,2024/1/31,690594,310471,605137,1398077,18542684
腾讯视频,2024/2/1,690655,310484,605152,1398096,18542703
腾讯视频,2024/2/2,690723,310491,605159,1398109,18542728
腾讯视频,2024/2/3,690805,310503,605173,1398121,18542751
腾讯视频,2024/2/4,690877,310520,605180,1398137,18542787
腾讯视频,2024/2/5,690934,310529,605186,1398155,18542803
腾讯视频,2024/2/6,691021,310553,605209,1398184,18542859
腾讯视频,2024/2/7,691097,310566,605230,1398189,18542872
腾讯视频,2024/2/8,691144,310569,605235,1398202,18542891
腾讯视频,2024/2/9,691188,310576,605250,1398219,18542938
腾讯视频,2024/2/10,691246,310580,605261,1398239,18543015
腾讯视频,2024/2/11,691266,310584,605268,1398245,18543057
腾讯视频,2024/2/12,691312,310591,605279,1398256,18543084
腾讯视频,2024/2/13,691366,310599,605293,1398278,18543126
腾讯视频,2024/2/14,691394,310609,605295,1398292,18543157
腾讯视频,2024/2/15,691452,310616,605305,1398307,18543203
腾讯视频,2024/2/16,691465,310609,605273,1398261,18542481
腾讯视频,2024/2/17,691505,310618,605277,1398275,18542535
腾讯视频,2024/2/18,691532,310629,605287,1398285,18542578
腾讯视频,2024/2/19,691570,310638,605300,1398293,18542606
腾讯视频,2024/2/20,691607,310645,605303,1398309,18542621
腾讯视频,2024/2/21,691657,310650,605306,1398314,18542648
腾讯视频,2024/2/22,691703,310659,605311,1398328,18542698
腾讯视频,2024/2/23,691735,310663,605319,1398330,18542726
腾讯视频,2024/2/24,691805,310670,605326,1398343,18542801
腾讯视频,2024/2/25,691858,310672,605337,1398349,18542854
腾讯视频,2024/2/26,691900,310673,605341,1398359,18542904
腾讯视频,2024/2/27,691925,310679,605345,1398366,18542947
腾讯视频,2024/2/28,691979,310686,605345,1398373,18542943
腾讯视频,2024/2/29,692000,310690,605346,1398377,18542965
腾讯视频,2024/3/1,692028,310692,605317,1398336,18542112
腾讯视频,2024/3/2,692091,310694,605326,1398341,18542097
腾讯视频,2024/3/3,692155,310712,605338,1398351,18542158
腾讯视频,2024/3/4,692195,310715,605338,1398355,18542158
腾讯视频,2024/3/5,692239,310719,605341,1398354,18542111
腾讯视频,2024/3/6,692276,310720,605341,1398360,18542131
腾讯视频,2024/3/7,692320,310723,605346,1398357,18542120
腾讯视频,2024/3/8,692347,310728,605345,1398356,18542038
腾讯视频,2024/3/9,692373,310726,605353,1398359,18542045
腾讯视频,2024/3/10,692411,310732,605358,1398364,18542019
腾讯视频,2024/3/11,692438,310738,605363,1398363,18542050
腾讯视频,2024/3/12,692391,310721,605330,1398277,18540899
腾讯视频,2024/3/13,692417,310724,605336,1398273,18540862
腾讯视频,2024/3/14,692455,310728,605339,1398269,18540798
腾讯视频,2024/3/15,692466,310730,605341,1398269,18540798
腾讯视频,2024/3/16,692530,310735,605345,1398274,18540769
腾讯视频,2024/3/17,692564,310742,605349,1398285,18540784
腾讯视频,2024/3/18,692613,310744,605352,1398294,18540799
腾讯视频,2024/3/19,692647,310745,605356,1398295,18540790
腾讯视频,2024/3/20,692684,310749,605360,1398298,18540805
腾讯视频,2024/3/21,692739,310751,605366,1398300,18540795
腾讯视频,2024/3/22,692783,310759,605370,1398312,18540817
腾讯视频,2024/3/23,692831,310765,605379,1398312,18540844
腾讯视频,2024/3/24,692890,310773,605385,1398324,18540883
腾讯视频,2024/3/25,692927,310781,605386,1398334,18540903
腾讯视频,2024/3/26,692971,310787,605391,1398338,18540911
腾讯视频,2024/3/27,693007,310791,605394,1398342,18540892
腾讯视频,2024/3/28,693058,310802,605403,1398349,18540921
腾讯视频,2024/3/29,693101,310806,605407,1398360,18540950
腾讯视频,2024/3/30,693145,310812,605412,1398368,18540960
腾讯视频,2024/3/31,693183,310819,605414,1398384,18541001
腾讯视频,2024/4/1,693220,310823,605418,1398396,18541032
腾讯视频,2024/4/2,693260,310830,605426,1398404,18541045
腾讯视频,2024/4/3,693314,310836,605433,1398412,18541078
腾讯视频,2024/4/4,693344,310840,605439,1398422,18541112
腾讯视频,2024/4/5,693397,310843,605445,1398434,18541166
腾讯视频,2024/4/6,693440,310845,605454,1398452,18541188
腾讯视频,2024/4/7,693494,310853,605462,1398463,18541215
腾讯视频,2024/4/8,693494,310853,605462,1398463,18541215
