应用名称,日期,一星,二星,三星,四星,五星
英雄联盟手游,2024/1/8,284614,44591,80542,179977,2845619
英雄联盟手游,2024/1/9,284681,44598,80559,180002,2846141
英雄联盟手游,2024/1/10,284734,44600,80573,180047,2846708
英雄联盟手游,2024/1/11,284808,44612,80584,180073,2847096
英雄联盟手游,2024/1/12,284880,44616,80598,180110,2847662
英雄联盟手游,2024/1/13,284948,44619,80613,180144,2848297
英雄联盟手游,2024/1/14,285000,44622,80624,180199,2849080
英雄联盟手游,2024/1/15,285085,44631,80661,180261,2849939
英雄联盟手游,2024/1/16,285114,44633,80674,180285,2850455
英雄联盟手游,2024/1/17,285170,44635,80689,180340,2851218
英雄联盟手游,2024/1/18,285130,44643,80705,180431,2851801
英雄联盟手游,2024/1/19,285473,44706,80815,180674,2853562
英雄联盟手游,2024/1/20,286008,44802,80989,181042,2856996
英雄联盟手游,2024/1/21,286113,44817,81035,181121,2858151
英雄联盟手游,2024/1/22,286201,44827,81064,181189,2859135
英雄联盟手游,2024/1/23,286230,44823,81078,181232,2859735
英雄联盟手游,2024/1/24,286298,44838,81090,181280,2860506
英雄联盟手游,2024/1/25,286361,44851,81114,181326,2861283
英雄联盟手游,2024/1/26,286429,44856,81125,181378,2862064
英雄联盟手游,2024/1/27,286448,44861,81133,181406,2862514
英雄联盟手游,2024/1/28,286523,44872,81164,181478,2863470
英雄联盟手游,2024/1/29,286593,44889,81184,181528,2864339
英雄联盟手游,2024/1/30,286645,44894,81209,181582,2865049
英雄联盟手游,2024/1/31,286723,44902,81229,181630,2865880
英雄联盟手游,2024/2/1,286796,44914,81243,181694,2866784
英雄联盟手游,2024/2/2,286856,44918,81260,181753,2867544
英雄联盟手游,2024/2/3,286939,44925,81278,181816,2868393
英雄联盟手游,2024/2/4,287016,44939,81299,181905,2869394
英雄联盟手游,2024/2/5,287075,44948,81319,181952,2870323
英雄联盟手游,2024/2/6,287122,44955,81331,182003,2871132
英雄联盟手游,2024/2/7,287203,44970,81357,182069,2872186
英雄联盟手游,2024/2/8,287262,44974,81387,182139,2873107
英雄联盟手游,2024/2/9,287330,44986,81420,182211,2873994
英雄联盟手游,2024/2/10,287407,44996,81441,182253,2874897
英雄联盟手游,2024/2/11,287486,45002,81460,182347,2876279
英雄联盟手游,2024/2/12,287557,45009,81476,182429,2877211
英雄联盟手游,2024/2/13,287592,45012,81499,182490,2878043
英雄联盟手游,2024/2/14,287667,45023,81521,182548,2878897
英雄联盟手游,2024/2/15,287726,45033,81551,182615,2879682
英雄联盟手游,2024/2/16,287754,45039,81549,182632,2880027
英雄联盟手游,2024/2/17,287794,45040,81569,182672,2880799
英雄联盟手游,2024/2/18,287835,45047,81591,182707,2881449
英雄联盟手游,2024/2/19,287887,45053,81604,182760,2882249
英雄联盟手游,2024/2/20,287950,45057,81626,182805,2882968
英雄联盟手游,2024/2/21,288020,45068,81652,182877,2883980
英雄联盟手游,2024/2/22,288083,45073,81673,182938,2884876
英雄联盟手游,2024/2/23,288122,45077,81687,182965,2885347
英雄联盟手游,2024/2/24,288195,45082,81701,183018,2886165
英雄联盟手游,2024/2/25,288265,45090,81744,183086,2887335
英雄联盟手游,2024/2/26,288310,45096,81759,183132,2887975
英雄联盟手游,2024/2/27,288359,45103,81767,183172,2888562
英雄联盟手游,2024/2/28,288404,45111,81788,183211,2889135
英雄联盟手游,2024/2/29,288464,45120,81803,183236,2889733
英雄联盟手游,2024/3/1,288508,45125,81811,183279,2890314
英雄联盟手游,2024/3/2,288550,45128,81820,183335,2890970
英雄联盟手游,2024/3/3,288605,45141,81840,183381,2891742
英雄联盟手游,2024/3/4,288785,45148,81858,183425,2892443
英雄联盟手游,2024/3/5,288888,45151,81870,183466,2893055
英雄联盟手游,2024/3/6,288921,45152,81879,183508,2893488
英雄联盟手游,2024/3/7,288982,45157,81903,183564,2894185
英雄联盟手游,2024/3/8,289039,45166,81918,183606,2894884
英雄联盟手游,2024/3/9,289103,45168,81933,183653,2895528
英雄联盟手游,2024/3/10,289151,45172,81958,183708,2896394
英雄联盟手游,2024/3/11,289207,45178,81975,183757,2897164
英雄联盟手游,2024/3/12,289150,45171,81962,183750,2897108
英雄联盟手游,2024/3/13,289201,45178,81976,183790,2897616
英雄联盟手游,2024/3/14,289261,45182,81997,183841,2898294
英雄联盟手游,2024/3/15,289318,45193,82011,183880,2898884
英雄联盟手游,2024/3/16,289365,45198,82030,183928,2899531
英雄联盟手游,2024/3/17,289421,45202,82049,183981,2900358
英雄联盟手游,2024/3/18,289477,45203,82069,184039,2901101
英雄联盟手游,2024/3/19,289543,45210,82083,184077,2901690
英雄联盟手游,2024/3/20,289595,45218,82093,184126,2902293
英雄联盟手游,2024/3/21,289638,45223,82117,184163,2902762
英雄联盟手游,2024/3/22,289682,45229,82135,184198,2903366
英雄联盟手游,2024/3/23,289721,45236,82160,184235,2904117
英雄联盟手游,2024/3/24,289769,45246,82182,184288,2904934
英雄联盟手游,2024/3/25,289817,45253,82195,184334,2905600
英雄联盟手游,2024/3/26,289878,45262,82217,184369,2906185
英雄联盟手游,2024/3/27,289932,45271,82233,184408,2906687
英雄联盟手游,2024/3/28,289979,45271,82247,184444,2907284
英雄联盟手游,2024/3/29,290015,45278,82260,184490,2907796
英雄联盟手游,2024/3/30,290066,45286,82268,184535,2908332
英雄联盟手游,2024/3/31,290115,45297,82283,184581,2908917
英雄联盟手游,2024/4/1,290162,45298,82309,184625,2909447
英雄联盟手游,2024/4/2,290208,45306,82322,184667,2909879
英雄联盟手游,2024/4/3,290239,45312,82333,184699,2910350
英雄联盟手游,2024/4/4,290299,45320,82345,184750,2910919
英雄联盟手游,2024/4/5,290332,45324,82361,184804,2911654
英雄联盟手游,2024/4/6,290369,45332,82377,184852,2912304
英雄联盟手游,2024/4/7,290392,45333,82389,184871,2912561
英雄联盟手游,2024/4/8,290438,45345,82403,184904,2913130
