应用名称,日期,一星,二星,三星,四星,五星
蛋仔派对,2024/1/8,119197,51779,68747,126985,760065
蛋仔派对,2024/1/9,119325,51827,68818,126936,760439
蛋仔派对,2024/1/10,119412,51846,68858,127035,761273
蛋仔派对,2024/1/11,119531,51882,68906,127081,761638
蛋仔派对,2024/1/12,119622,51918,68970,127173,762708
蛋仔派对,2024/1/13,119993,51973,69067,127323,764062
蛋仔派对,2024/1/14,120489,52105,69238,127671,767011
蛋仔派对,2024/1/15,120804,52198,69376,128037,769641
蛋仔派对,2024/1/16,120954,52244,69423,128160,770626
蛋仔派对,2024/1/17,121116,52302,69501,128317,772052
蛋仔派对,2024/1/18,121322,52337,69627,128482,773701
蛋仔派对,2024/1/19,121659,52503,69826,128949,776398
蛋仔派对,2024/1/20,121895,52616,69974,129351,778928
蛋仔派对,2024/1/21,122194,52752,70152,129772,781871
蛋仔派对,2024/1/22,122445,52856,70290,130076,784120
蛋仔派对,2024/1/23,122576,52901,70348,130250,785407
蛋仔派对,2024/1/24,122701,52934,70405,130413,787654
蛋仔派对,2024/1/25,122972,53021,70506,130693,789777
蛋仔派对,2024/1/26,123172,53112,70623,130960,792113
蛋仔派对,2024/1/27,123385,53178,70734,131216,793914
蛋仔派对,2024/1/28,123687,53277,70949,131584,796861
蛋仔派对,2024/1/29,123922,53361,71092,131877,799216
蛋仔派对,2024/1/30,124104,53419,71209,132185,801374
蛋仔派对,2024/1/31,124299,53528,71367,132433,803764
蛋仔派对,2024/2/1,124483,53636,71495,132719,805946
蛋仔派对,2024/2/2,124702,53735,71670,133078,808549
蛋仔派对,2024/2/3,125110,53847,71852,133448,811229
蛋仔派对,2024/2/4,125374,53954,72016,133777,813673
蛋仔派对,2024/2/5,125732,54071,72186,134089,815958
蛋仔派对,2024/2/6,126079,54155,72344,134354,818318
蛋仔派对,2024/2/7,126394,54264,72502,134684,820904
蛋仔派对,2024/2/8,126678,54355,72657,135073,823726
蛋仔派对,2024/2/9,126969,54480,72854,135479,826782
蛋仔派对,2024/2/10,127316,54646,73076,135960,830613
蛋仔派对,2024/2/11,127633,54778,73309,136452,834025
蛋仔派对,2024/2/12,127895,54887,73492,136793,836331
蛋仔派对,2024/2/13,128296,55064,73751,137241,839674
蛋仔派对,2024/2/14,128622,55196,73917,137615,842058
蛋仔派对,2024/2/15,128919,55332,74056,137939,844375
蛋仔派对,2024/2/16,128968,55333,74113,138051,845246
蛋仔派对,2024/2/17,129196,55445,74263,138296,847360
蛋仔派对,2024/2/18,129412,55528,74391,138571,849367
蛋仔派对,2024/2/19,129653,55629,74497,138848,851551
蛋仔派对,2024/2/20,129852,55745,74634,139099,853516
蛋仔派对,2024/2/21,130052,55814,74731,139321,855467
蛋仔派对,2024/2/22,130284,55859,74812,139482,857631
蛋仔派对,2024/2/23,130442,55896,74869,139632,859152
蛋仔派对,2024/2/24,130731,55962,74975,139839,862016
蛋仔派对,2024/2/25,131004,56020,75069,140036,864646
蛋仔派对,2024/2/26,131218,56057,75117,140180,866849
蛋仔派对,2024/2/27,131297,56077,75139,140244,867909
蛋仔派对,2024/2/28,131383,56103,75172,140327,868866
蛋仔派对,2024/2/29,131457,56122,75186,140361,869843
蛋仔派对,2024/3/1,131544,56134,75202,140418,870744
蛋仔派对,2024/3/2,131674,56151,75215,140499,872184
蛋仔派对,2024/3/3,131954,56209,75324,140736,875345
蛋仔派对,2024/3/4,132195,56274,75406,140926,877697
蛋仔派对,2024/3/5,132296,56299,75429,140990,878484
蛋仔派对,2024/3/6,132381,56313,75455,141039,879237
蛋仔派对,2024/3/7,132461,56332,75492,141090,879973
蛋仔派对,2024/3/8,132535,56355,75512,141126,880754
蛋仔派对,2024/3/9,132703,56387,75556,141203,882552
蛋仔派对,2024/3/10,133009,56469,75644,141444,885888
蛋仔派对,2024/3/11,133266,56529,75735,141630,888302
蛋仔派对,2024/3/12,133248,56511,75713,141602,888519
蛋仔派对,2024/3/13,133323,56516,75734,141658,889249
蛋仔派对,2024/3/14,133445,56530,75746,141716,890096
蛋仔派对,2024/3/15,133543,56538,75778,141732,890958
蛋仔派对,2024/3/16,133644,56552,75830,141831,892311
蛋仔派对,2024/3/17,133873,56619,75921,142036,894979
蛋仔派对,2024/3/18,134110,56698,76011,142213,897112
蛋仔派对,2024/3/19,134180,56717,76029,142261,897746
蛋仔派对,2024/3/20,134282,56735,76047,142304,898458
蛋仔派对,2024/3/21,134347,56755,76082,142371,899250
蛋仔派对,2024/3/22,134432,56779,76103,142425,900223
蛋仔派对,2024/3/23,134566,56821,76172,142585,901284
蛋仔派对,2024/3/24,134845,56925,76283,142816,903827
蛋仔派对,2024/3/25,135030,57011,76387,143026,905760
蛋仔派对,2024/3/26,135106,57016,76402,143091,906441
蛋仔派对,2024/3/27,135184,57029,76422,143139,907004
蛋仔派对,2024/3/28,135231,57042,76440,143180,907581
蛋仔派对,2024/3/29,135311,57053,76458,143227,908326
蛋仔派对,2024/3/30,135395,57083,76487,143290,909304
蛋仔派对,2024/3/31,135549,57141,76550,143442,911439
蛋仔派对,2024/4/1,135709,57191,76628,143566,913220
蛋仔派对,2024/4/2,135782,57197,76675,143599,913996
蛋仔派对,2024/4/3,135838,57202,76678,143628,914609
蛋仔派对,2024/4/4,135952,57210,76703,143701,915615
蛋仔派对,2024/4/5,136152,57248,76774,143865,918100
蛋仔派对,2024/4/6,136343,57298,76862,144016,920281
蛋仔派对,2024/4/7,136484,57335,76932,144162,921922
蛋仔派对,2024/4/8,136535,57343,76949,144187,922244
