应用名称,日期,一星,二星,三星,四星,五星
逆水寒,2024/1/10,20084,3054,4628,6323,43858
逆水寒,2024/1/11,20105,3057,4634,6322,43488
逆水寒,2024/1/12,20136,3061,4643,6328,43796
逆水寒,2024/1/13,20165,3065,4649,6335,43936
逆水寒,2024/1/14,20185,3072,4655,6346,44639
逆水寒,2024/1/15,20224,3075,4663,6354,46189
逆水寒,2024/1/16,20251,3078,4666,6358,45385
逆水寒,2024/1/17,20261,3076,4666,6363,44658
逆水寒,2024/1/18,20268,3079,4667,6363,44677
逆水寒,2024/1/19,20269,3082,4658,6351,44995
逆水寒,2024/1/20,20293,3089,4665,6361,45382
逆水寒,2024/1/21,20312,3096,4668,6375,45620
逆水寒,2024/1/22,20341,3101,4676,6380,45885
逆水寒,2024/1/23,20358,3102,4681,6383,46357
逆水寒,2024/1/24,20379,3107,4687,6390,46743
逆水寒,2024/1/25,20410,3111,4689,6395,47200
逆水寒,2024/1/26,20422,3112,4691,6402,47356
逆水寒,2024/1/27,20446,3113,4699,6408,47617
逆水寒,2024/1/28,20487,3119,4706,6423,48025
逆水寒,2024/1/29,20508,3122,4713,6438,48294
逆水寒,2024/1/30,20528,3125,4718,6443,48539
逆水寒,2024/1/31,20558,3132,4726,6452,48869
逆水寒,2024/2/1,20584,3136,4731,6465,49035
逆水寒,2024/2/2,20604,3142,4738,6467,49265
逆水寒,2024/2/3,20632,3149,4751,6481,49645
逆水寒,2024/2/4,20669,3152,4758,6491,49994
逆水寒,2024/2/5,20697,3157,4764,6503,50291
逆水寒,2024/2/6,20724,3161,4768,6513,50804
逆水寒,2024/2/7,20762,3168,4776,6520,50988
逆水寒,2024/2/8,20785,3174,4784,6524,51324
逆水寒,2024/2/9,20815,3178,4797,6540,51720
逆水寒,2024/2/10,20849,3181,4805,6550,52535
逆水寒,2024/2/11,20865,3181,4808,6555,53064
逆水寒,2024/2/12,20884,3185,4808,6562,53499
逆水寒,2024/2/13,20916,3192,4813,6581,54203
逆水寒,2024/2/14,20935,3201,4817,6582,55056
逆水寒,2024/2/15,20947,3203,4825,6592,55465
逆水寒,2024/2/16,20937,3197,4821,6585,51020
逆水寒,2024/2/17,20987,3206,4836,6602,38709
逆水寒,2024/2/18,20997,3210,4841,6613,38752
逆水寒,2024/2/19,21014,3211,4847,6619,38807
逆水寒,2024/2/20,21034,3215,4848,6634,38832
逆水寒,2024/2/21,21060,3218,4852,6641,38846
逆水寒,2024/2/22,21075,3223,4862,6645,38872
逆水寒,2024/2/23,21085,3225,4866,6651,38891
逆水寒,2024/2/24,21111,3230,4874,6658,38929
逆水寒,2024/2/25,21133,3237,4880,6673,38977
逆水寒,2024/2/26,21153,3240,4884,6681,38994
逆水寒,2024/2/27,21171,3240,4899,6692,39022
逆水寒,2024/2/28,21188,3241,4908,6703,39062
逆水寒,2024/2/29,21210,3244,4911,6710,39099
逆水寒,2024/3/1,21231,3246,4914,6718,39149
逆水寒,2024/3/2,21246,3247,4920,6726,39184
逆水寒,2024/3/3,21261,3253,4923,6734,39242
逆水寒,2024/3/4,21281,3258,4934,6740,39280
逆水寒,2024/3/5,21300,3264,4936,6745,39389
逆水寒,2024/3/6,21320,3263,4939,6747,39457
逆水寒,2024/3/7,21336,3266,4946,6750,39445
逆水寒,2024/3/8,21359,3267,4952,6754,39453
逆水寒,2024/3/9,21371,3269,4955,6762,39614
逆水寒,2024/3/10,21396,3274,4962,6771,39744
逆水寒,2024/3/11,21416,3277,4967,6779,39846
逆水寒,2024/3/12,21417,3281,4965,6792,39787
逆水寒,2024/3/13,21439,3284,4969,6814,39815
逆水寒,2024/3/14,21456,3288,4977,6843,39845
逆水寒,2024/3/15,21473,3288,4980,6859,39862
逆水寒,2024/3/16,22041,3313,4985,6889,39901
逆水寒,2024/3/17,22264,3337,4994,6923,39951
逆水寒,2024/3/18,22491,3355,4994,6954,39984
逆水寒,2024/3/19,22602,3362,4999,6963,40010
逆水寒,2024/3/20,22681,3368,5000,6971,40094
逆水寒,2024/3/21,22730,3370,5000,6976,40148
逆水寒,2024/3/22,22780,3381,5002,6983,40186
逆水寒,2024/3/23,23774,3497,5191,7268,41335
逆水寒,2024/3/24,23879,3513,5228,7296,41496
逆水寒,2024/3/25,23939,3530,5238,7314,41737
逆水寒,2024/3/26,23997,3538,5246,7317,41875
逆水寒,2024/3/27,24029,3543,5249,7322,41948
逆水寒,2024/3/28,24078,3545,5256,7326,41968
逆水寒,2024/3/29,24138,3551,5266,7334,42012
逆水寒,2024/3/30,24164,3555,5268,7344,42042
逆水寒,2024/3/31,24207,3563,5277,7357,42093
逆水寒,2024/4/1,24240,3567,5277,7367,42186
逆水寒,2024/4/2,24260,3571,5290,7375,42226
逆水寒,2024/4/3,24286,3576,5295,7382,42373
逆水寒,2024/4/4,24312,3581,5299,7391,42363
逆水寒,2024/4/5,24338,3589,5304,7406,42467
逆水寒,2024/4/6,24354,3596,5312,7420,42642
逆水寒,2024/4/7,24363,3599,5317,7426,42674
逆水寒,2024/4/8,24373,3600,5321,7425,42684
逆水寒,2024/4/9,24411,3604,5326,7440,42748
逆水寒,2024/4/10,24411,3604,5326,7440,42748
