应用名称,日期,一星,二星,三星,四星,五星
部落冲突,2024/1/12,55311,7484,15681,35562,560651
部落冲突,2024/1/13,55326,7487,15702,35590,561075
部落冲突,2024/1/14,55358,7496,15716,35614,561603
部落冲突,2024/1/15,55390,7501,15731,35651,562134
部落冲突,2024/1/16,55403,7504,15737,35672,562455
部落冲突,2024/1/17,55434,7515,15751,35694,562900
部落冲突,2024/1/18,55446,7516,15763,35730,563327
部落冲突,2024/1/19,55461,7520,15778,35769,563770
部落冲突,2024/1/20,55492,7525,15800,35798,564220
部落冲突,2024/1/21,55514,7527,15812,35846,564779
部落冲突,2024/1/22,55539,7532,15825,35900,565310
部落冲突,2024/1/23,55535,7535,15837,35933,565629
部落冲突,2024/1/24,55545,7539,15839,35948,565916
部落冲突,2024/1/25,55565,7543,15856,35981,566403
部落冲突,2024/1/26,55590,7548,15871,36028,567013
部落冲突,2024/1/27,55602,7550,15884,36047,567291
部落冲突,2024/1/28,55623,7558,15895,36084,567892
部落冲突,2024/1/29,55643,7567,15918,36125,568439
部落冲突,2024/1/30,55664,7571,15930,36159,568908
部落冲突,2024/1/31,55691,7574,15948,36188,569421
部落冲突,2024/2/1,55658,7582,15969,36200,569700
部落冲突,2024/2/2,56037,7639,16060,36351,570700
部落冲突,2024/2/3,56028,7633,16039,36326,570775
部落冲突,2024/2/4,56067,7640,16058,36385,571377
部落冲突,2024/2/5,56099,7649,16079,36423,571925
部落冲突,2024/2/6,56144,7658,16098,36460,572507
部落冲突,2024/2/7,56167,7661,16104,36504,573062
部落冲突,2024/2/8,56205,7668,16122,36537,573517
部落冲突,2024/2/9,56239,7671,16136,36583,574227
部落冲突,2024/2/10,56254,7679,16154,36626,574816
部落冲突,2024/2/11,56264,7683,16162,36646,575116
部落冲突,2024/2/12,56272,7686,16177,36687,575707
部落冲突,2024/2/13,56281,7691,16178,36712,576015
部落冲突,2024/2/14,56312,7698,16194,36740,576390
部落冲突,2024/2/15,56324,7707,16209,36779,576873
部落冲突,2024/2/16,56318,7704,16219,36781,577034
部落冲突,2024/2/17,56338,7708,16230,36808,577544
部落冲突,2024/2/18,56357,7711,16250,36837,578009
部落冲突,2024/2/19,56371,7714,16276,36881,578571
部落冲突,2024/2/20,56386,7721,16287,36884,578684
部落冲突,2024/2/21,56395,7723,16310,36895,579085
部落冲突,2024/2/22,56403,7723,16318,36905,579470
部落冲突,2024/2/23,56413,7727,16330,36927,579775
部落冲突,2024/2/24,56434,7731,16349,36967,580455
部落冲突,2024/2/25,56455,7736,16361,37023,580929
部落冲突,2024/2/26,56475,7739,16384,37058,581392
部落冲突,2024/2/27,56496,7748,16395,37089,581800
部落冲突,2024/2/28,56519,7753,16413,37128,582172
部落冲突,2024/2/29,56533,7756,16433,37153,582599
部落冲突,2024/3/1,56543,7757,16450,37179,583000
部落冲突,2024/3/2,56574,7758,16470,37215,583484
部落冲突,2024/3/3,56592,7758,16490,37252,584049
部落冲突,2024/3/4,56609,7758,16502,37271,584295
部落冲突,2024/3/5,56613,7758,16537,37318,584944
部落冲突,2024/3/6,56987,7819,16641,37485,586142
部落冲突,2024/3/7,57073,7832,16677,37554,586865
部落冲突,2024/3/8,57125,7836,16690,37612,587329
部落冲突,2024/3/9,57165,7847,16706,37665,587844
部落冲突,2024/3/10,57211,7853,16731,37722,588468
部落冲突,2024/3/11,57245,7859,16751,37731,588606
部落冲突,2024/3/12,57190,7844,16730,37707,588298
部落冲突,2024/3/13,57211,7852,16740,37736,588681
部落冲突,2024/3/14,57237,7856,16749,37768,589099
部落冲突,2024/3/15,57246,7862,16762,37788,589400
部落冲突,2024/3/16,57268,7864,16774,37815,589889
部落冲突,2024/3/17,57293,7876,16787,37859,590471
部落冲突,2024/3/18,57310,7879,16803,37897,591009
部落冲突,2024/3/19,57305,7876,16816,37969,591146
部落冲突,2024/3/20,58161,7999,16981,38254,592934
部落冲突,2024/3/21,58289,8015,17011,38306,593434
部落冲突,2024/3/22,58357,8030,17029,38344,593883
部落冲突,2024/3/23,58406,8034,17034,38367,594325
部落冲突,2024/3/24,58447,8043,17059,38406,594924
部落冲突,2024/3/25,58486,8054,17081,38453,595447
部落冲突,2024/3/26,58515,8057,17102,38484,595885
部落冲突,2024/3/27,58542,8062,17118,38513,596284
部落冲突,2024/3/28,58567,8068,17132,38540,596747
部落冲突,2024/3/29,58594,8076,17140,38575,597189
部落冲突,2024/3/30,58624,8082,17156,38598,597594
部落冲突,2024/3/31,58646,8086,17173,38624,598099
部落冲突,2024/4/1,58671,8093,17192,38662,598581
部落冲突,2024/4/2,58682,8099,17202,38683,598954
部落冲突,2024/4/3,58682,8101,17216,38696,599021
部落冲突,2024/4/4,59222,8170,17326,38907,600423
部落冲突,2024/4/5,59284,8185,17354,38967,601074
部落冲突,2024/4/6,59325,8196,17382,39014,601672
部落冲突,2024/4/7,59351,8201,17390,39041,602201
部落冲突,2024/4/8,59371,8206,17401,39066,602423
部落冲突,2024/4/9,59414,8210,17420,39107,602954
部落冲突,2024/4/10,59435,8219,17429,39142,603358
部落冲突,2024/4/11,59445,8220,17433,39152,603644
部落冲突,2024/4/12,59465,8223,17442,39175,604016
