应用名称,日期,一星,二星,三星,四星,五星
酷狗音乐,2024/1/10,180641,99153,216070,617034,12993825
酷狗音乐,2024/1/11,180660,99157,216072,617040,12993862
酷狗音乐,2024/1/12,180678,99159,216082,617051,12994139
酷狗音乐,2024/1/13,180695,99162,216093,617054,12994356
酷狗音乐,2024/1/14,180709,99164,216111,617093,12994790
酷狗音乐,2024/1/15,180740,99168,216121,617121,12995296
酷狗音乐,2024/1/16,180747,99171,216127,617139,12995523
酷狗音乐,2024/1/17,180761,99170,216136,617153,12995921
酷狗音乐,2024/1/18,180783,99171,216143,617163,12996285
酷狗音乐,2024/1/19,180803,99178,216145,617196,12996679
酷狗音乐,2024/1/20,180823,99186,216152,617236,12997168
酷狗音乐,2024/1/21,180853,99187,216163,617276,12997749
酷狗音乐,2024/1/22,180872,99194,216175,617319,12998287
酷狗音乐,2024/1/23,180887,99198,216181,617340,12998609
酷狗音乐,2024/1/24,180906,99211,216188,617368,12999048
酷狗音乐,2024/1/25,180918,99220,216192,617385,12999357
酷狗音乐,2024/1/26,180952,99218,216202,617421,13000111
酷狗音乐,2024/1/27,180970,99221,216208,617444,13000514
酷狗音乐,2024/1/28,180994,99224,216229,617486,13001229
酷狗音乐,2024/1/29,181022,99232,216236,617520,13001843
酷狗音乐,2024/1/30,181042,99231,216248,617555,13002308
酷狗音乐,2024/1/31,181069,99237,216266,617595,13002914
酷狗音乐,2024/2/1,181097,99247,216270,617620,13003394
酷狗音乐,2024/2/2,181112,99254,216282,617667,13003948
酷狗音乐,2024/2/3,181135,99263,216289,617708,13004520
酷狗音乐,2024/2/4,181168,99270,216300,617753,13005065
酷狗音乐,2024/2/5,181173,99278,216305,617784,13005585
酷狗音乐,2024/2/6,181196,99282,216318,617814,13006106
酷狗音乐,2024/2/7,181226,99285,216339,617852,13006675
酷狗音乐,2024/2/8,181244,99292,216352,617884,13007220
酷狗音乐,2024/2/9,181265,99300,216361,617911,13007746
酷狗音乐,2024/2/10,181283,99304,216370,617950,13008349
酷狗音乐,2024/2/11,181290,99309,216376,617971,13008695
酷狗音乐,2024/2/12,181311,99316,216386,618001,13009305
酷狗音乐,2024/2/13,181334,99320,216400,618015,13009735
酷狗音乐,2024/2/14,181338,99326,216406,618033,13010149
酷狗音乐,2024/2/15,181361,99332,216419,618060,13010650
酷狗音乐,2024/2/16,181346,99324,216398,618027,13009958
酷狗音乐,2024/2/17,181360,99325,216401,618055,13010471
酷狗音乐,2024/2/18,181377,99330,216413,618096,13010953
酷狗音乐,2024/2/19,181393,99331,216424,618133,13011458
酷狗音乐,2024/2/20,181406,99332,216436,618167,13011994
酷狗音乐,2024/2/21,181420,99337,216455,618193,13012529
酷狗音乐,2024/2/22,181443,99345,216466,618225,13012999
酷狗音乐,2024/2/23,181459,99347,216471,618241,13013421
酷狗音乐,2024/2/24,181478,99350,216485,618284,13014151
酷狗音乐,2024/2/25,181494,99354,216493,618314,13014792
酷狗音乐,2024/2/26,181511,99354,216502,618348,13015411
酷狗音乐,2024/2/27,181527,99361,216517,618382,13015988
酷狗音乐,2024/2/28,181538,99364,216527,618400,13016538
酷狗音乐,2024/2/29,181546,99369,216532,618427,13016998
