应用名称,日期,一星,二星,三星,四星,五星
金铲铲之战,2024/1/8,272852,35400,70540,182981,4142745
金铲铲之战,2024/1/9,273308,35441,70619,183112,4146025
金铲铲之战,2024/1/10,273718,35472,70684,183279,4149581
金铲铲之战,2024/1/11,274131,35526,70758,183385,4152058
金铲铲之战,2024/1/12,274566,35556,70825,183547,4155609
金铲铲之战,2024/1/13,274982,35593,70898,183683,4159541
金铲铲之战,2024/1/14,275456,35653,71023,183939,4164714
金铲铲之战,2024/1/15,275958,35703,71119,184189,4169434
金铲铲之战,2024/1/16,276210,35725,71170,184316,4172175
金铲铲之战,2024/1/17,276761,35763,71240,184527,4176842
金铲铲之战,2024/1/18,277221,35810,71322,184712,4180914
金铲铲之战,2024/1/19,277619,35852,71402,184906,4185092
金铲铲之战,2024/1/20,278020,35901,71507,185117,4189539
金铲铲之战,2024/1/21,278424,35963,71583,185363,4194546
金铲铲之战,2024/1/22,278850,36008,71659,185607,4199355
金铲铲之战,2024/1/23,279055,36041,71687,185710,4201511
金铲铲之战,2024/1/24,279581,36110,71783,185946,4207311
金铲铲之战,2024/1/25,279966,36171,71891,186197,4211532
金铲铲之战,2024/1/26,280115,36225,72003,186379,4213692
金铲铲之战,2024/1/27,281824,36687,72718,188235,4237778
金铲铲之战,2024/1/28,282745,36833,73110,189232,4259926
金铲铲之战,2024/1/29,283187,36915,73307,189742,4272476
金铲铲之战,2024/1/30,283452,36996,73452,190119,4281236
金铲铲之战,2024/1/31,283692,37038,73596,190476,4289456
金铲铲之战,2024/2/1,283937,37089,73693,190807,4296509
金铲铲之战,2024/2/2,284168,37121,73786,191127,4302905
金铲铲之战,2024/2/3,284409,37173,73887,191444,4310146
金铲铲之战,2024/2/4,284637,37221,73997,191725,4316889
金铲铲之战,2024/2/5,284878,37264,74104,192040,4323114
金铲铲之战,2024/2/6,285385,37323,74211,192288,4329327
金铲铲之战,2024/2/7,286080,37395,74344,192634,4336899
金铲铲之战,2024/2/8,286583,37459,74469,192942,4343337
金铲铲之战,2024/2/9,286950,37510,74577,193290,4349881
金铲铲之战,2024/2/10,287295,37574,74696,193658,4357816
金铲铲之战,2024/2/11,287460,37593,74756,193826,4361019
金铲铲之战,2024/2/12,287793,37643,74864,194095,4366695
