"日期","收入预估~iPhone"
"2024-04-22","53930"
"2024-04-21","56537"
"2024-04-20","54521"
"2024-04-19","48217"
"2024-04-18","48335"
"2024-04-17","43259"
"2024-04-16","47972"
"2024-04-15","53248"
"2024-04-14","47686"
"2024-04-13","47841"
"2024-04-12","46371"
"2024-04-11","47412"
"2024-04-10","47570"
"2024-04-09","46293"
"2024-04-08","47887"
"2024-04-07","47615"
"2024-04-06","46812"
"2024-04-05","51325"
"2024-04-04","58505"
"2024-04-03","59157"
"2024-04-02","62593"
"2024-04-01","72497"
"2024-03-31","72607"
"2024-03-30","51111"
"2024-03-29","55964"
"2024-03-28","55947"
"2024-03-27","44094"
"2024-03-26","46170"
"2024-03-25","48985"
"2024-03-24","54268"
"2024-03-23","47787"
"2024-03-22","48162"
"2024-03-21","51429"
"2024-03-20","58211"
"2024-03-19","52757"
"2024-03-18","52810"
"2024-03-17","52849"
"2024-03-16","58522"
"2024-03-15","58579"
"2024-03-14","58400"
"2024-03-13","58611"
"2024-03-12","58172"
"2024-03-11","58499"
"2024-03-10","58375"
"2024-03-09","54323"
"2024-03-08","53309"
"2024-03-07","53300"
"2024-03-06","58183"
"2024-03-05","58207"
"2024-03-04","58512"
"2024-03-03","58371"
"2024-03-02","54464"
"2024-03-01","44007"
"2024-02-29","52361"
"2024-02-28","57770"
"2024-02-27","58454"
"2024-02-26","52751"
"2024-02-25","63882"
"2024-02-24","64218"
"2024-02-23","62317"
"2024-02-22","58540"
"2024-02-21","58400"
"2024-02-20","58142"
"2024-02-19","62395"
"2024-02-18","58424"
"2024-02-17","59296"
"2024-02-16","68676"
"2024-02-15","73914"
"2024-02-14","80841"
"2024-02-13","91521"
"2024-02-12","98158"
"2024-02-11","89511"
"2024-02-10","89587"
"2024-02-09","93637"
"2024-02-08","113720"
"2024-02-07","101337"
"2024-02-06","101866"
"2024-02-05","101956"
"2024-02-04","95102"
"2024-02-03","113954"
"2024-02-02","65307"
"2024-02-01","58257"
"2024-01-31","54457"
"2024-01-30","43871"
"2024-01-29","53885"
"2024-01-28","46983"
"2024-01-27","44088"
"2024-01-26","48940"
"2024-01-25","58200"
"2024-01-24","52742"
"2024-01-23","53977"
"2024-01-22","58566"
"2024-01-21","45904"
"2024-01-20","53974"
"2024-01-19","54382"
"2024-01-18","58057"
"2024-01-17","46908"
"2024-01-16","54228"
"2024-01-15","54624"
"2024-01-14","54193"
"2024-01-13","43263"
"2024-01-12","44182"
"2024-01-11","74562"
"2024-01-10","50473"
"2024-01-09","58149"
"2024-01-08","64082"
"2024-01-07","75390"
"2024-01-06","75158"
"2024-01-05","72129"
"2024-01-04","72086"
"2024-01-03","71860"
"2024-01-02","80542"
"2024-01-01","71489"
"2023-12-31","63603"
"2023-12-30","53106"
"2023-12-29","53612"
"2023-12-28","54477"
"2023-12-27","43452"
"2023-12-26","48237"
"2023-12-25","53911"
"2023-12-24","54100"
"2023-12-23","48377"
"2023-12-22","51644"
"2023-12-21","48482"
"2023-12-20","52885"
"2023-12-19","54592"
"2023-12-18","47590"
"2023-12-17","47626"
"2023-12-16","47620"
"2023-12-15","47792"
"2023-12-14","47650"
"2023-12-13","47437"
"2023-12-12","47282"
"2023-12-11","51801"
"2023-12-10","47176"
"2023-12-09","43928"
"2023-12-08","47615"
"2023-12-07","54420"
"2023-12-06","44371"
"2023-12-05","56262"
"2023-12-04","56150"
"2023-12-03","53116"
"2023-12-02","53022"
"2023-12-01","54262"
"2023-11-30","49446"
"2023-11-29","58589"
"2023-11-28","60923"
"2023-11-27","78449"
"2023-11-26","89685"
"2023-11-25","93504"
"2023-11-24","92071"
"2023-11-23","58244"
"2023-11-22","52817"
"2023-11-21","56523"
"2023-11-20","58458"
"2023-11-19","58474"
"2023-11-18","63834"
"2023-11-17","62720"
"2023-11-16","62117"
"2023-11-15","54009"
"2023-11-14","54564"
"2023-11-13","47642"
"2023-11-12","47520"
"2023-11-11","47659"
"2023-11-10","47482"
"2023-11-09","51227"
"2023-11-08","52977"
"2023-11-07","58350"
"2023-11-06","65631"
"2023-11-05","72154"
"2023-11-04","101750"
"2023-11-03","62373"
"2023-11-02","58066"
"2023-11-01","58281"
"2023-10-31","54103"
"2023-10-30","48269"
"2023-10-29","47548"
"2023-10-28","40019"
"2023-10-27","46914"
"2023-10-26","43690"
"2023-10-25","47811"
"2023-10-24","48897"
"2023-10-23","58214"
"2023-10-22","58660"
"2023-10-21","57855"
"2023-10-20","53093"
"2023-10-19","46411"
"2023-10-18","58693"
"2023-10-17","53221"
"2023-10-16","47925"
"2023-10-15","57884"
"2023-10-14","58372"
"2023-10-13","58634"
"2023-10-12","58388"
"2023-10-11","61926"
"2023-10-10","58210"
"2023-10-09","58623"
"2023-10-08","58159"
"2023-10-07","58391"
"2023-10-06","53110"
"2023-10-05","58322"
"2023-10-04","54560"
"2023-10-03","53109"
"2023-10-02","54187"
"2023-10-01","57999"
"2023-09-30","57857"
"2023-09-29","58688"
"2023-09-28","69088"
"2023-09-27","62288"
"2023-09-26","53104"
"2023-09-25","58319"
"2023-09-24","58208"
"2023-09-23","56366"
"2023-09-22","55908"
"2023-09-21","53151"
"2023-09-20","57875"
"2023-09-19","55817"
"2023-09-18","58438"
"2023-09-17","58434"
"2023-09-16","58303"
"2023-09-15","54317"
"2023-09-14","58554"
"2023-09-13","58623"
"2023-09-12","58422"
"2023-09-11","58279"
"2023-09-10","52810"
"2023-09-09","50842"
"2023-09-08","58694"
"2023-09-07","54621"
"2023-09-06","51292"
"2023-09-05","58420"
"2023-09-04","59495"
"2023-09-03","68918"
"2023-09-02","72624"
"2023-09-01","72160"
"2023-08-31","72224"
"2023-08-30","72179"
"2023-08-29","69126"
"2023-08-28","69024"
"2023-08-27","61871"
"2023-08-26","63950"
"2023-08-25","58334"
"2023-08-24","57761"
"2023-08-23","58105"
"2023-08-22","62296"
"2023-08-21","58766"
"2023-08-20","54865"
"2023-08-19","49473"
"2023-08-18","53423"
"2023-08-17","58624"
"2023-08-16","58496"
"2023-08-15","58280"
"2023-08-14","58401"
"2023-08-13","56169"
"2023-08-12","58504"
"2023-08-11","58436"
"2023-08-10","64230"
"2023-08-09","68966"
"2023-08-08","72397"
"2023-08-07","68759"
"2023-08-06","64295"
"2023-08-05","57550"
"2023-08-04","58668"
"2023-08-03","81699"
"2023-08-02","90166"
"2023-08-01","95929"
"2023-07-31","95504"
"2023-07-30","87226"
"2023-07-29","88277"
"2023-07-28","89668"
"2023-07-27","86611"
"2023-07-26","98890"
"2023-07-25","97736"
"2023-07-24","94183"
"2023-07-23","93843"
"2023-07-22","97809"
"2023-07-21","98181"
"2023-07-20","94170"
"2023-07-19","111538"
"2023-07-18","163732"
"2023-07-17","98702"
"2023-07-16","94136"
"2023-07-15","101786"
"2023-07-14","104961"
"2023-07-13","101797"
"2023-07-12","100880"
"2023-07-11","99507"
"2023-07-10","84627"
"2023-07-09","84643"
"2023-07-08","89610"
"2023-07-07","84326"
"2023-07-06","72292"
"2023-07-05","72415"
"2023-07-04","74196"
"2023-07-03","90021"
"2023-07-02","89134"
"2023-07-01","82705"
"2023-06-30","83360"
"2023-06-29","81937"
"2023-06-28","89587"
"2023-06-27","94188"
"2023-06-26","99528"
"2023-06-25","87293"
"2023-06-24","111275"
"2023-06-23","93629"
"2023-06-22","113872"
"2023-06-21","96545"
"2023-06-20","97780"
"2023-06-19","97971"
"2023-06-18","94223"
"2023-06-17","93888"
"2023-06-16","96467"
"2023-06-15","72194"
"2023-06-14","72547"
"2023-06-13","73011"
"2023-06-12","84579"
"2023-06-11","84595"
"2023-06-10","68777"
"2023-06-09","72179"
"2023-06-08","82852"
"2023-06-07","83075"
"2023-06-06","84463"
"2023-06-05","83565"
"2023-06-04","84485"
"2023-06-03","87595"
"2023-06-02","113309"
"2023-06-01","130429"
"2023-05-31","113570"
"2023-05-30","113582"
"2023-05-29","116666"
"2023-05-28","162728"
"2023-05-27","147399"
"2023-05-26","127063"
"2023-05-25","83163"
"2023-05-24","72542"
"2023-05-23","69166"
"2023-05-22","62581"
"2023-05-21","62809"
"2023-05-20","62009"
"2023-05-19","72740"
"2023-05-18","74331"
"2023-05-17","83284"
"2023-05-16","81234"
"2023-05-15","80495"
"2023-05-14","72708"
"2023-05-13","72219"
"2023-05-12","72580"
"2023-05-11","72567"
"2023-05-10","72340"
"2023-05-09","72483"
"2023-05-08","72227"
"2023-05-07","73968"
"2023-05-06","81246"
"2023-05-05","80472"
"2023-05-04","80769"
"2023-05-03","81365"
"2023-05-02","83381"
"2023-05-01","81803"
"2023-04-30","77822"
"2023-04-29","62567"
"2023-04-28","58598"
"2023-04-27","58395"
"2023-04-26","147582"
"2023-04-25","151060"
"2023-04-24","58455"
"2023-04-23","58480"
