"日期","收入预估~iPhone"
"2024-04-22","617607"
"2024-04-21","617335"
"2024-04-20","617292"
"2024-04-19","616273"
"2024-04-18","614813"
"2024-04-17","618467"
"2024-04-16","619314"
"2024-04-15","619305"
"2024-04-14","618159"
"2024-04-13","618873"
"2024-04-12","615024"
"2024-04-11","616732"
"2024-04-10","619818"
"2024-04-09","615605"
"2024-04-08","498776"
"2024-04-07","500992"
"2024-04-06","498797"
"2024-04-05","501552"
"2024-04-04","618078"
"2024-04-03","615211"
"2024-04-02","615371"
"2024-04-01","616312"
"2024-03-31","615011"
"2024-03-30","616300"
"2024-03-29","616596"
"2024-03-28","615159"
"2024-03-27","618322"
"2024-03-26","615350"
"2024-03-25","618252"
"2024-03-24","620438"
"2024-03-23","616482"
"2024-03-22","615579"
"2024-03-21","617712"
"2024-03-20","618658"
"2024-03-19","617809"
"2024-03-18","619356"
"2024-03-17","615550"
"2024-03-16","615038"
"2024-03-15","618201"
"2024-03-14","618467"
"2024-03-13","614817"
"2024-03-12","615270"
"2024-03-11","500885"
"2024-03-10","617169"
"2024-03-09","617712"
"2024-03-08","618276"
"2024-03-07","503293"
"2024-03-06","498565"
"2024-03-05","500677"
"2024-03-04","503280"
"2024-03-03","498752"
"2024-03-02","615411"
"2024-03-01","502438"
"2024-02-29","499007"
"2024-02-28","502824"
"2024-02-27","498640"
"2024-02-26","498955"
"2024-02-25","499185"
"2024-02-24","405587"
"2024-02-23","373124"
"2024-02-22","354658"
"2024-02-21","426798"
"2024-02-20","353494"
"2024-02-19","428624"
"2024-02-18","380150"
"2024-02-17","399434"
"2024-02-16","499715"
"2024-02-15","500740"
"2024-02-14","499456"
"2024-02-13","499151"
"2024-02-12","501124"
"2024-02-11","499716"
"2024-02-10","501314"
"2024-02-09","503297"
"2024-02-08","500811"
"2024-02-07","501528"
"2024-02-06","500326"
"2024-02-05","498524"
"2024-02-04","503226"
"2024-02-03","499720"
"2024-02-02","500339"
"2024-02-01","502756"
"2024-01-31","499205"
"2024-01-30","501802"
"2024-01-29","503101"
"2024-01-28","502642"
"2024-01-27","499404"
"2024-01-26","500582"
"2024-01-25","498967"
"2024-01-24","498889"
"2024-01-23","498411"
"2024-01-22","501185"
"2024-01-21","502295"
"2024-01-20","499835"
"2024-01-19","502523"
"2024-01-18","615476"
"2024-01-17","620515"
"2024-01-16","502845"
"2024-01-15","499303"
"2024-01-14","617940"
"2024-01-13","620499"
"2024-01-12","615693"
"2024-01-11","446702"
"2024-01-10","614638"
"2024-01-09","617510"
"2024-01-08","498825"
"2024-01-07","444648"
"2024-01-06","445268"
"2024-01-05","444240"
"2024-01-04","445769"
"2024-01-03","444657"
"2024-01-02","445791"
"2024-01-01","445266"
"2023-12-31","619504"
"2023-12-30","614701"
"2023-12-29","614445"
"2023-12-28","617242"
"2023-12-27","615456"
"2023-12-26","615512"
"2023-12-25","615358"
"2023-12-24","619191"
"2023-12-23","616241"
"2023-12-22","615632"
"2023-12-21","500755"
"2023-12-20","499799"
"2023-12-19","502516"
"2023-12-18","501859"
"2023-12-17","500532"
"2023-12-16","498629"
"2023-12-15","501789"
"2023-12-14","501091"
"2023-12-13","501836"
"2023-12-12","501117"
"2023-12-11","501922"
"2023-12-10","501693"
"2023-12-09","499397"
"2023-12-08","502845"
"2023-12-07","500675"
"2023-12-06","502593"
"2023-12-05","500911"
"2023-12-04","499412"
"2023-12-03","500009"
"2023-12-02","502659"
"2023-12-01","501741"
"2023-11-30","499556"
"2023-11-29","501009"
"2023-11-28","500738"
"2023-11-27","502473"
"2023-11-26","499631"
"2023-11-25","503143"
"2023-11-24","474159"
"2023-11-23","441789"
"2023-11-22","502043"
"2023-11-21","502920"
"2023-11-20","502462"
"2023-11-19","501086"
"2023-11-18","502240"
"2023-11-17","501942"
"2023-11-16","502396"
"2023-11-15","499462"
"2023-11-14","502461"
"2023-11-13","501133"
"2023-11-12","501525"
"2023-11-11","502529"
"2023-11-10","498598"
"2023-11-09","500230"
"2023-11-08","499693"
"2023-11-07","500661"
"2023-11-06","499329"
"2023-11-05","498931"
"2023-11-04","614481"
"2023-11-03","615876"
"2023-11-02","619380"
"2023-11-01","614448"
"2023-10-31","615051"
"2023-10-30","502967"
"2023-10-29","615452"
"2023-10-28","616147"
"2023-10-27","502104"
"2023-10-26","614730"
"2023-10-25","616196"
"2023-10-24","614667"
"2023-10-23","498903"
"2023-10-22","500535"
"2023-10-21","502556"
"2023-10-20","499402"
"2023-10-19","618726"
"2023-10-18","620366"
"2023-10-17","618564"
"2023-10-16","617153"
"2023-10-15","615298"
"2023-10-14","615045"
"2023-10-13","618697"
"2023-10-12","620017"
"2023-10-11","500549"
"2023-10-10","616790"
"2023-10-09","500144"
"2023-10-08","501038"
"2023-10-07","499740"
"2023-10-06","501000"
"2023-10-05","502982"
"2023-10-04","499696"
"2023-10-03","502792"
"2023-10-02","500689"
"2023-10-01","502347"
"2023-09-30","499263"
"2023-09-29","499713"
"2023-09-28","502892"
"2023-09-27","501661"
"2023-09-26","502835"
"2023-09-25","501949"
"2023-09-24","498524"
"2023-09-23","500128"
"2023-09-22","503161"
"2023-09-21","502572"
"2023-09-20","499709"
"2023-09-19","500070"
"2023-09-18","498752"
"2023-09-17","498799"
"2023-09-16","499782"
"2023-09-15","498946"
"2023-09-14","500591"
"2023-09-13","502177"
"2023-09-12","499917"
"2023-09-11","500368"
"2023-09-10","503300"
"2023-09-09","499565"
"2023-09-08","501719"
"2023-09-07","502831"
"2023-09-06","503130"
"2023-09-05","499380"
"2023-09-04","498627"
"2023-09-03","502404"
"2023-09-02","502292"
"2023-09-01","498972"
"2023-08-31","499919"
"2023-08-30","501019"
"2023-08-29","499028"
"2023-08-28","501391"
"2023-08-27","499664"
"2023-08-26","503220"
"2023-08-25","499625"
"2023-08-24","502026"
"2023-08-23","500855"
"2023-08-22","500647"
"2023-08-21","501582"
"2023-08-20","499514"
"2023-08-19","501510"
"2023-08-18","499405"
"2023-08-17","502001"
"2023-08-16","500442"
"2023-08-15","501480"
"2023-08-14","501609"
"2023-08-13","500997"
"2023-08-12","502676"
"2023-08-11","501572"
"2023-08-10","500578"
"2023-08-09","500541"
"2023-08-08","353240"
"2023-08-07","354827"
"2023-08-06","397875"
"2023-08-05","502302"
"2023-08-04","500107"
"2023-08-03","500191"
"2023-08-02","501168"
"2023-08-01","501798"
"2023-07-31","503145"
"2023-07-30","498944"
"2023-07-29","498543"
"2023-07-28","501968"
"2023-07-27","501913"
"2023-07-26","498626"
"2023-07-25","502543"
"2023-07-24","500971"
"2023-07-23","501594"
"2023-07-22","499297"
"2023-07-21","502252"
"2023-07-20","499152"
"2023-07-19","502816"
"2023-07-18","500579"
"2023-07-17","502095"
"2023-07-16","499163"
"2023-07-15","502090"
"2023-07-14","502792"
"2023-07-13","501087"
"2023-07-12","503059"
"2023-07-11","498570"
"2023-07-10","502167"
"2023-07-09","498814"
"2023-07-08","503255"
"2023-07-07","501438"
"2023-07-06","500389"
"2023-07-05","501089"
"2023-07-04","502134"
"2023-07-03","499932"
"2023-07-02","503110"
"2023-07-01","500317"
"2023-06-30","501883"
"2023-06-29","501564"
"2023-06-28","503211"
"2023-06-27","502562"
"2023-06-26","503085"
"2023-06-25","503281"
"2023-06-24","500123"
"2023-06-23","500361"
"2023-06-22","503178"
"2023-06-21","500741"
"2023-06-20","501470"
"2023-06-19","501766"
"2023-06-18","498978"
"2023-06-17","498669"
"2023-06-16","501008"
"2023-06-15","501321"
"2023-06-14","499883"
"2023-06-13","498908"
"2023-06-12","499993"
"2023-06-11","499134"
"2023-06-10","501178"
"2023-06-09","501719"
"2023-06-08","502558"
"2023-06-07","502010"
"2023-06-06","500264"
"2023-06-05","502366"
"2023-06-04","503049"
"2023-06-03","502013"
"2023-06-02","501080"
"2023-06-01","502516"
"2023-05-31","500066"
"2023-05-30","500725"
"2023-05-29","500099"
"2023-05-28","501457"
"2023-05-27","498456"
"2023-05-26","502472"
"2023-05-25","502874"
"2023-05-24","499836"
"2023-05-23","499034"
"2023-05-22","501641"
"2023-05-21","498852"
"2023-05-20","501729"
"2023-05-19","499766"
"2023-05-18","502292"
"2023-05-17","502972"
"2023-05-16","501093"
"2023-05-15","501924"
"2023-05-14","499833"
"2023-05-13","501703"
"2023-05-12","500822"
"2023-05-11","500902"
"2023-05-10","498441"
"2023-05-09","502631"
"2023-05-08","501563"
"2023-05-07","503031"
"2023-05-06","503180"
"2023-05-05","499110"
"2023-05-04","499108"
"2023-05-03","502006"
"2023-05-02","500873"
"2023-05-01","500291"
"2023-04-30","502657"
"2023-04-29","500308"
"2023-04-28","501108"
"2023-04-27","501540"
"2023-04-26","906043"
"2023-04-25","932645"
"2023-04-24","501679"
"2023-04-23","498568"
