"日期","收入预估~iPhone"
"2024-04-13","145402"
"2024-04-12","53511"
"2024-04-11","60997"
"2024-04-10","89136"
"2024-04-09","108959"
"2024-04-08","127325"
"2024-04-07","188361"
"2024-04-06","194447"
"2024-04-05","254388"
"2024-04-04","128189"
"2024-04-03","50723"
"2024-04-02","86642"
"2024-04-01","109909"
"2024-03-31","151202"
"2024-03-30","118982"
"2024-03-29","53724"
"2024-03-28","50407"
"2024-03-27","65409"
"2024-03-26","101687"
"2024-03-25","169324"
"2024-03-24","164821"
"2024-03-23","140916"
"2024-03-22","362539"
"2024-03-21","90802"
"2024-03-20","113889"
"2024-03-19","155010"
"2024-03-18","200621"
"2024-03-17","233587"
"2024-03-16","517402"
"2024-03-15","87003"
"2024-03-14","80425"
"2024-03-13","92866"
"2024-03-12","107135"
"2024-03-11","131661"
"2024-03-10","150552"
"2024-03-09","179562"
"2024-03-08","64400"
"2024-03-07","80519"
"2024-03-06","107772"
"2024-03-05","127787"
"2024-03-04","168269"
"2024-03-03","196691"
"2024-03-02","231780"
"2024-03-01","151874"
"2024-02-29","188546"
"2024-02-28","190114"
"2024-02-27","227762"
"2024-02-26","311424"
"2024-02-25","297783"
"2024-02-24","147012"
"2024-02-23","116813"
"2024-02-22","114190"
"2024-02-21","126736"
"2024-02-20","163177"
"2024-02-19","184527"
"2024-02-18","233836"
"2024-02-17","229663"
"2024-02-16","180820"
"2024-02-15","174510"
"2024-02-14","229760"
"2024-02-13","256175"
"2024-02-12","297698"
"2024-02-11","342408"
"2024-02-10","328566"
"2024-02-09","207375"
"2024-02-08","177597"
"2024-02-07","212753"
"2024-02-06","265012"
"2024-02-05","314371"
"2024-02-04","336114"
"2024-02-03","311916"
"2024-02-02","145737"
"2024-02-01","147451"
"2024-01-31","313489"
"2024-01-30","312405"
"2024-01-29","339761"
"2024-01-28","391133"
"2024-01-27","480267"
"2024-01-26","346548"
"2024-01-25","187852"
"2024-01-24","189595"
"2024-01-23","216048"
"2024-01-22","266472"
"2024-01-21","247858"
"2024-01-20","263122"
"2024-01-19","182095"
"2024-01-18","209486"
"2024-01-17","246606"
"2024-01-16","263641"
"2024-01-15","322472"
"2024-01-14","339197"
"2024-01-13","341661"
"2024-01-12","355361"
"2024-01-11","290543"
"2024-01-10","299610"
"2024-01-09","386748"
"2024-01-08","349841"
"2024-01-07","489684"
"2024-01-06","490958"
"2024-01-05","493732"
"2024-01-04","491761"
"2024-01-03","489183"
"2024-01-02","491398"
"2024-01-01","493911"
"2023-12-31","1149704"
"2023-12-30","1253877"
"2023-12-29","1571264"
"2023-12-28","418160"
"2023-12-27","502063"
"2023-12-26","520454"
"2023-12-25","703856"
"2023-12-24","717327"
"2023-12-23","718931"
"2023-12-22","721997"
"2023-12-21","721503"
"2023-12-20","1170757"
"2023-12-19","1836019"
"2023-12-18","1842443"
"2023-12-17","1836694"
"2023-12-16","1843011"
"2023-12-15","1530566"
"2023-12-14","0"
"2023-12-13",""
"2023-12-12",""
"2023-12-11",""
"2023-12-10",""
"2023-12-09",""
"2023-12-08",""
"2023-12-07",""
"2023-12-06",""
"2023-12-05",""
"2023-12-04",""
"2023-12-03",""
"2023-12-02",""
"2023-12-01",""
"2023-11-30",""
"2023-11-29",""
"2023-11-28",""
"2023-11-27",""
"2023-11-26",""
"2023-11-25",""
"2023-11-24",""
"2023-11-23",""
"2023-11-22",""
"2023-11-21",""
"2023-11-20",""
"2023-11-19",""
"2023-11-18",""
"2023-11-17",""
"2023-11-16",""
"2023-11-15",""
"2023-11-14",""
"2023-11-13",""
"2023-11-12",""
"2023-11-11",""
"2023-11-10",""
"2023-11-09",""
"2023-11-08",""
"2023-11-07",""
"2023-11-06",""
"2023-11-05",""
"2023-11-04",""
"2023-11-03",""
"2023-11-02",""
"2023-11-01",""
"2023-10-31",""
"2023-10-30",""
"2023-10-29",""
"2023-10-28",""
"2023-10-27",""
"2023-10-26",""
"2023-10-25",""
"2023-10-24",""
"2023-10-23",""
"2023-10-22",""
"2023-10-21",""
"2023-10-20",""
"2023-10-19",""
"2023-10-18",""
"2023-10-17",""
"2023-10-16",""
"2023-10-15",""
"2023-10-14",""
"2023-10-13",""
"2023-10-12",""
"2023-10-11",""
"2023-10-10",""
"2023-10-09",""
"2023-10-08",""
"2023-10-07",""
"2023-10-06",""
"2023-10-05",""
"2023-10-04",""
"2023-10-03",""
"2023-10-02",""
"2023-10-01",""
"2023-09-30",""
"2023-09-29",""
"2023-09-28",""
"2023-09-27",""
"2023-09-26",""
"2023-09-25",""
"2023-09-24",""
"2023-09-23",""
"2023-09-22",""
"2023-09-21",""
"2023-09-20",""
"2023-09-19",""
"2023-09-18",""
"2023-09-17",""
"2023-09-16",""
"2023-09-15",""
"2023-09-14",""
"2023-09-13",""
"2023-09-12",""
"2023-09-11",""
"2023-09-10",""
"2023-09-09",""
"2023-09-08",""
"2023-09-07",""
"2023-09-06",""
"2023-09-05",""
"2023-09-04",""
"2023-09-03",""
"2023-09-02",""
"2023-09-01",""
"2023-08-31",""
"2023-08-30",""
"2023-08-29",""
"2023-08-28",""
"2023-08-27",""
"2023-08-26",""
"2023-08-25",""
"2023-08-24",""
"2023-08-23",""
"2023-08-22",""
"2023-08-21",""
"2023-08-20",""
"2023-08-19",""
"2023-08-18",""
"2023-08-17",""
"2023-08-16",""
"2023-08-15",""
"2023-08-14",""
"2023-08-13",""
"2023-08-12",""
"2023-08-11",""
"2023-08-10",""
"2023-08-09",""
"2023-08-08",""
"2023-08-07",""
"2023-08-06",""
"2023-08-05",""
"2023-08-04",""
"2023-08-03",""
"2023-08-02",""
"2023-08-01",""
"2023-07-31",""
"2023-07-30",""
"2023-07-29",""
"2023-07-28",""
"2023-07-27",""
"2023-07-26",""
"2023-07-25",""
"2023-07-24",""
"2023-07-23",""
"2023-07-22",""
"2023-07-21",""
"2023-07-20",""
"2023-07-19",""
"2023-07-18",""
"2023-07-17",""
"2023-07-16",""
"2023-07-15",""
"2023-07-14",""
"2023-07-13",""
"2023-07-12",""
"2023-07-11",""
"2023-07-10",""
"2023-07-09",""
"2023-07-08",""
"2023-07-07",""
"2023-07-06",""
"2023-07-05",""
"2023-07-04",""
"2023-07-03",""
"2023-07-02",""
"2023-07-01",""
"2023-06-30",""
"2023-06-29",""
"2023-06-28",""
"2023-06-27",""
"2023-06-26",""
"2023-06-25",""
"2023-06-24",""
"2023-06-23",""
"2023-06-22",""
"2023-06-21",""
"2023-06-20",""
"2023-06-19",""
"2023-06-18",""
"2023-06-17",""
"2023-06-16",""
"2023-06-15",""
"2023-06-14",""
"2023-06-13",""
"2023-06-12",""
"2023-06-11",""
"2023-06-10",""
"2023-06-09",""
"2023-06-08",""
"2023-06-07",""
"2023-06-06",""
"2023-06-05",""
"2023-06-04",""
"2023-06-03",""
"2023-06-02",""
"2023-06-01",""
"2023-05-31",""
"2023-05-30",""
"2023-05-29",""
"2023-05-28",""
"2023-05-27",""
"2023-05-26",""
"2023-05-25",""
"2023-05-24",""
"2023-05-23",""
"2023-05-22",""
"2023-05-21",""
"2023-05-20",""
"2023-05-19",""
"2023-05-18",""
"2023-05-17",""
"2023-05-16",""
"2023-05-15",""
"2023-05-14",""
"2023-05-13",""
"2023-05-12",""
"2023-05-11",""
"2023-05-10",""
"2023-05-09",""
"2023-05-08",""
"2023-05-07",""
"2023-05-06",""
"2023-05-05",""
"2023-05-04",""
"2023-05-03",""
"2023-05-02",""
"2023-05-01",""
"2023-04-30",""
"2023-04-29",""
"2023-04-28",""
"2023-04-27",""
"2023-04-26",""
"2023-04-25",""
"2023-04-24",""
"2023-04-23",""
"2023-04-22",""
"2023-04-21",""
"2023-04-20",""
"2023-04-19",""
"2023-04-18",""
"2023-04-17",""
"2023-04-16",""
"2023-04-15",""
"2023-04-14",""
