"日期","收入预估~iPhone"
"2024-04-13","1780749"
"2024-04-12","1805566"
"2024-04-11","1787262"
"2024-04-10","1827882"
"2024-04-09","1841727"
"2024-04-08","1832827"
"2024-04-07","1841988"
"2024-04-06","1841136"
"2024-04-05","1847351"
"2024-04-04","1807265"
"2024-04-03","1833025"
"2024-04-02","1843955"
"2024-04-01","1841572"
"2024-03-31","1809070"
"2024-03-30","1794873"
"2024-03-29","1516258"
"2024-03-28","1263804"
"2024-03-27","1831398"
"2024-03-26","1843186"
"2024-03-25","1839123"
"2024-03-24","1813260"
"2024-03-23","1793834"
"2024-03-22","1780792"
"2024-03-21","1839242"
"2024-03-20","1829149"
"2024-03-19","1841232"
"2024-03-18","1893696"
"2024-03-17","1826620"
"2024-03-16","1831677"
"2024-03-15","1846877"
"2024-03-14","1784991"
"2024-03-13","1842254"
"2024-03-12","1841423"
"2024-03-11","1839034"
"2024-03-10","1835981"
"2024-03-09","1832926"
"2024-03-08","1832842"
"2024-03-07","1833278"
"2024-03-06","1837875"
"2024-03-05","1837146"
"2024-03-04","1847977"
"2024-03-03","1838172"
"2024-03-02","1804281"
"2024-03-01","1805075"
"2024-02-29","1837485"
"2024-02-28","1836797"
"2024-02-27","1847487"
"2024-02-26","1830076"
"2024-02-25","1834532"
"2024-02-24","1844029"
"2024-02-23","1788140"
"2024-02-22","1847683"
"2024-02-21","1833238"
"2024-02-20","1835794"
"2024-02-19","1830482"
"2024-02-18","1839654"
"2024-02-17","1838415"
"2024-02-16","1836119"
"2024-02-15","1836364"
"2024-02-14","1843971"
"2024-02-13","1843301"
"2024-02-12","1837583"
"2024-02-11","1831935"
"2024-02-10","1843997"
"2024-02-09","1489236"
"2024-02-08","1818148"
"2024-02-07","1804813"
"2024-02-06","1819293"
"2024-02-05","1825832"
"2024-02-04","1840396"
"2024-02-03","1843507"
"2024-02-02","642941"
"2024-02-01","729700"
"2024-01-31","1263008"
"2024-01-30","1252667"
"2024-01-29","1516129"
"2024-01-28","784576"
"2024-01-27","1472474"
"2024-01-26","1840993"
"2024-01-25","1785106"
"2024-01-24","1819549"
"2024-01-23","1607323"
"2024-01-22","1253571"
"2024-01-21","1256818"
"2024-01-20","1490158"
"2024-01-19","1805869"
"2024-01-18","1783114"
"2024-01-17","1839138"
"2024-01-16","1834549"
"2024-01-15","1815896"
"2024-01-14","1819025"
"2024-01-13","1809596"
"2024-01-12","1260066"
"2024-01-11","1145849"
"2024-01-10","1810412"
"2024-01-09","1836099"
"2024-01-08","1842251"
"2024-01-07","1151232"
"2024-01-06","1152116"
"2024-01-05","914360"
"2024-01-04","1113965"
"2024-01-03","1117009"
"2024-01-02","1114488"
"2024-01-01","1180607"
"2023-12-31","1899807"
"2023-12-30","1889595"
"2023-12-29","1889155"
"2023-12-28","1837131"
"2023-12-27","1815581"
"2023-12-26","1899150"
"2023-12-25","1836604"
"2023-12-24","1839733"
"2023-12-23","1890867"
"2023-12-22","1890967"
"2023-12-21","1248305"
"2023-12-20","1485512"
"2023-12-19","1250159"
"2023-12-18","1476807"
"2023-12-17","1813586"
"2023-12-16","1528352"
"2023-12-15","1669300"
"2023-12-14","1816446"
"2023-12-13","1838590"
"2023-12-12","1829970"
"2023-12-11","1844946"
"2023-12-10","1828168"
"2023-12-09","1844556"
"2023-12-08","1811623"
"2023-12-07","1473180"
"2023-12-06","1161355"
"2023-12-05","1815304"
"2023-12-04","1780047"
