"日期","收入预估~iPhone"
"2024-04-12","521170"
"2024-04-11","713501"
"2024-04-10","1248440"
"2024-04-09","1241527"
"2024-04-08","1518740"
"2024-04-07","1490610"
"2024-04-06","720015"
"2024-04-05","862519"
"2024-04-04","517205"
"2024-04-03","1186216"
"2024-04-02","1635329"
"2024-04-01","1795464"
"2024-03-31","1844460"
"2024-03-30","1837745"
"2024-03-29","1894680"
"2024-03-28","1898032"
"2024-03-27","504454"
"2024-03-26","432107"
"2024-03-25","340538"
"2024-03-24","327537"
"2024-03-23","335878"
"2024-03-22","304002"
"2024-03-21","397707"
"2024-03-20","488029"
"2024-03-19","336754"
"2024-03-18","434635"
"2024-03-17","208246"
"2024-03-16","189794"
"2024-03-15","227259"
"2024-03-14","248204"
"2024-03-13","343024"
"2024-03-12","313668"
"2024-03-11","312184"
"2024-03-10","355189"
"2024-03-09","375287"
"2024-03-08","332977"
"2024-03-07","699611"
"2024-03-06","750363"
"2024-03-05","1816265"
"2024-03-04","1796219"
"2024-03-03","1813700"
"2024-03-02","1834879"
"2024-03-01","1845299"
"2024-02-29","410311"
"2024-02-28","312912"
"2024-02-27","265365"
"2024-02-26","227732"
"2024-02-25","215772"
"2024-02-24","180273"
"2024-02-23","215411"
"2024-02-22","248274"
"2024-02-21","264668"
"2024-02-20","312704"
"2024-02-19","271277"
"2024-02-18","313640"
"2024-02-17","232668"
"2024-02-16","312772"
"2024-02-15","339073"
"2024-02-14","473848"
"2024-02-13","482919"
"2024-02-12","518350"
"2024-02-11","568571"
"2024-02-10","749647"
"2024-02-09","1807561"
"2024-02-08","1845630"
"2024-02-07","1829501"
"2024-02-06","154502"
"2024-02-05","145276"
"2024-02-04","102487"
"2024-02-03","125189"
"2024-02-02","65854"
"2024-02-01","104720"
"2024-01-31","152864"
"2024-01-30","179839"
"2024-01-29","165354"
"2024-01-28","180660"
"2024-01-27","140154"
"2024-01-26","159672"
"2024-01-25","173744"
"2024-01-24","229215"
"2024-01-23","246555"
"2024-01-22","268271"
"2024-01-21","351235"
"2024-01-20","615738"
"2024-01-19","616547"
"2024-01-18","1436647"
"2024-01-17","270197"
"2024-01-16","227092"
"2024-01-15","245371"
"2024-01-14","245158"
"2024-01-13","255260"
"2024-01-12","307802"
"2024-01-11","360759"
"2024-01-10","281103"
"2024-01-09","312844"
"2024-01-08","312186"
"2024-01-07","314008"
"2024-01-06","494047"
"2024-01-05","496064"
"2024-01-04","632972"
"2024-01-03","631443"
"2024-01-02","902664"
"2024-01-01","927694"
"2023-12-31","1522328"
"2023-12-30","1514128"
"2023-12-29","1687780"
"2023-12-28","1883169"
"2023-12-27","1849485"
"2023-12-26","181295"
"2023-12-25","182449"
"2023-12-24","155171"
"2023-12-23","128138"
"2023-12-22","114733"
"2023-12-21","128347"
"2023-12-20","162716"
"2023-12-19","190920"
"2023-12-18","191505"
"2023-12-17","191357"
"2023-12-16","193249"
"2023-12-15","182671"
"2023-12-14","190320"
"2023-12-13","263785"
"2023-12-12","317144"
"2023-12-11","415073"
"2023-12-10","469297"
"2023-12-09","707854"
"2023-12-08","1250998"
"2023-12-07","1784699"
"2023-12-06","1484974"
"2023-12-05","151371"
"2023-12-04","150063"
"2023-12-03","151134"
"2023-12-02","126967"
"2023-12-01","150199"
"2023-11-30","130686"
"2023-11-29","127218"
"2023-11-28","130826"
"2023-11-27","127239"
"2023-11-26","132114"
"2023-11-25","116361"
"2023-11-24","144684"
"2023-11-23","194857"
"2023-11-22","229842"
"2023-11-21","271358"
"2023-11-20","333423"
"2023-11-19","475089"
"2023-11-18","546524"
"2023-11-17","748307"
"2023-11-16","1805470"
"2023-11-15","1607620"
"2023-11-14","183182"
"2023-11-13","148951"
"2023-11-12","113624"
"2023-11-11","96662"
"2023-11-10","103419"
"2023-11-09","103448"
"2023-11-08","135245"
"2023-11-07","161149"
"2023-11-06","180916"
"2023-11-05","212751"
"2023-11-04","225346"
"2023-11-03","208412"
"2023-11-02","264578"
"2023-11-01","377041"
"2023-10-31","475423"
"2023-10-30","1438910"
"2023-10-29","1783763"
"2023-10-28","1790386"
"2023-10-27","773227"
"2023-10-26","498776"
"2023-10-25","518611"
"2023-10-24","631860"
"2023-10-23","537551"
"2023-10-22","590607"
"2023-10-21","607967"
"2023-10-20","616778"
"2023-10-19","588061"
"2023-10-18","1494454"
"2023-10-17","1609688"
"2023-10-16","1815706"
"2023-10-15","1805840"
"2023-10-14","1806129"
"2023-10-13","1834163"
"2023-10-12","1886735"
"2023-10-11","1105579"
"2023-10-10","390207"
"2023-10-09","294441"
"2023-10-08","279790"
"2023-10-07","228371"
"2023-10-06","223188"
"2023-10-05","221192"
"2023-10-04","229419"
"2023-10-03","311090"
"2023-10-02","271134"
"2023-10-01","277454"
"2023-09-30","231070"
"2023-09-29","229439"
"2023-09-28","247118"
"2023-09-27","301197"
"2023-09-26","611735"
"2023-09-25","1194859"
"2023-09-24","1518058"
"2023-09-23","1807321"
"2023-09-22","1779851"
"2023-09-21","1848780"
"2023-09-20","1532051"
"2023-09-19","512053"
"2023-09-18","328602"
"2023-09-17","312044"
"2023-09-16","313628"
"2023-09-15","313231"
"2023-09-14","352643"
"2023-09-13","373456"
"2023-09-12","432690"
"2023-09-11","332754"
"2023-09-10","476550"
"2023-09-09","495601"
"2023-09-08","579932"
"2023-09-07","618637"
"2023-09-06","705931"
"2023-09-05","1559609"
"2023-09-04","1807425"
"2023-09-03","1813926"
"2023-09-02","1807436"
"2023-09-01","1840865"
"2023-08-31","1881336"
"2023-08-30","879990"
"2023-08-29","311360"
"2023-08-28","255396"
"2023-08-27","228633"
"2023-08-26","228625"
"2023-08-25","238169"
"2023-08-24","330258"
"2023-08-23","344239"
"2023-08-22","313109"
"2023-08-21","311489"
"2023-08-20","264985"
"2023-08-19","256128"
"2023-08-18","323451"
"2023-08-17","466104"
"2023-08-16","578641"
"2023-08-15","1189275"
"2023-08-14","1251536"
"2023-08-13","1498449"
"2023-08-12","1524769"
"2023-08-11","1847001"
"2023-08-10","1842617"
"2023-08-09","895844"
"2023-08-08","355645"
"2023-08-07","314203"
"2023-08-06","314236"
"2023-08-05","315586"
"2023-08-04","236892"
"2023-08-03","345375"
