"日期","收入预估~iPhone"
"2024-04-22","80949"
"2024-04-21","81178"
"2024-04-20","95782"
"2024-04-19","89734"
"2024-04-18","89499"
"2024-04-17","89522"
"2024-04-16","89710"
"2024-04-15","90232"
"2024-04-14","89663"
"2024-04-13","90079"
"2024-04-12","89813"
"2024-04-11","90076"
"2024-04-10","81111"
"2024-04-09","81193"
"2024-04-08","80898"
"2024-04-07","80707"
"2024-04-06","77893"
"2024-04-05","98465"
"2024-04-04","89771"
"2024-04-03","95896"
"2024-04-02","89546"
"2024-04-01","96145"
"2024-03-31","95699"
"2024-03-30","81085"
"2024-03-29","80836"
"2024-03-28","81146"
"2024-03-27","89575"
"2024-03-26","76812"
"2024-03-25","95803"
"2024-03-24","96048"
"2024-03-23","90212"
"2024-03-22","89678"
"2024-03-21","81102"
"2024-03-20","101657"
"2024-03-19","89566"
"2024-03-18","90011"
"2024-03-17","81259"
"2024-03-16","89959"
"2024-03-15","89971"
"2024-03-14","89878"
"2024-03-13","89585"
"2024-03-12","101199"
"2024-03-11","95402"
"2024-03-10","95888"
"2024-03-09","101928"
"2024-03-08","101974"
"2024-03-07","95484"
"2024-03-06","80909"
"2024-03-05","89999"
"2024-03-04","82615"
"2024-03-03","80389"
"2024-03-02","69244"
"2024-03-01","58519"
"2024-02-29","77394"
"2024-02-28","80940"
"2024-02-27","77338"
"2024-02-26","89399"
"2024-02-25","78459"
"2024-02-24","81332"
"2024-02-23","75971"
"2024-02-22","81886"
"2024-02-21","74202"
"2024-02-20","56752"
"2024-02-19","58956"
"2024-02-18","58237"
"2024-02-17","53115"
"2024-02-16","56357"
"2024-02-15","49629"
"2024-02-14","47489"
"2024-02-13","47291"
"2024-02-12","51320"
"2024-02-11","59318"
"2024-02-10","70181"
"2024-02-09","51625"
"2024-02-08","58923"
"2024-02-07","64234"
"2024-02-06","63494"
"2024-02-05","62753"
"2024-02-04","68990"
"2024-02-03","77841"
"2024-02-02","89820"
"2024-02-01","93810"
"2024-01-31","97691"
"2024-01-30","81547"
"2024-01-29","81311"
"2024-01-28","82814"
"2024-01-27","64995"
"2024-01-26","78027"
"2024-01-25","82447"
"2024-01-24","89699"
"2024-01-23","89851"
"2024-01-22","82835"
"2024-01-21","90206"
"2024-01-20","90016"
"2024-01-19","77735"
"2024-01-18","101329"
"2024-01-17","89449"
"2024-01-16","90013"
"2024-01-15","82170"
"2024-01-14","76590"
"2024-01-13","77956"
"2024-01-12","78123"
"2024-01-11","77013"
"2024-01-10","76789"
"2024-01-09","81298"
"2024-01-08","89495"
"2024-01-07","76671"
"2024-01-06","76940"
"2024-01-05","84606"
"2024-01-04","89229"
"2024-01-03","76864"
"2024-01-02","89377"
"2024-01-01","89914"
"2023-12-31","81465"
"2023-12-30","77812"
"2023-12-29","75363"
"2023-12-28","75008"
"2023-12-27","76076"
"2023-12-26","75079"
"2023-12-25","90114"
"2023-12-24","81051"
"2023-12-23","90223"
"2023-12-22","82813"
"2023-12-21","82271"
"2023-12-20","82246"
"2023-12-19","82309"
"2023-12-18","73702"
"2023-12-17","76506"
"2023-12-16","82539"
"2023-12-15","83095"
"2023-12-14","82867"
"2023-12-13","82385"
"2023-12-12","75342"
"2023-12-11","73511"
"2023-12-10","77505"
"2023-12-09","81028"
"2023-12-08","81426"
"2023-12-07","89457"
"2023-12-06","78226"
"2023-12-05","68742"
"2023-12-04","68774"
"2023-12-03","70113"
"2023-12-02","75091"
"2023-12-01","81059"
"2023-11-30","79204"
"2023-11-29","95920"
"2023-11-28","79081"
"2023-11-27","89377"
"2023-11-26","77886"
"2023-11-25","77801"
"2023-11-24","82333"
"2023-11-23","81213"
"2023-11-22","80730"
"2023-11-21","81454"
"2023-11-20","76569"
"2023-11-19","81785"
"2023-11-18","81435"
"2023-11-17","81435"
"2023-11-16","89962"
"2023-11-15","89664"
"2023-11-14","82438"
"2023-11-13","75083"
"2023-11-12","82736"
"2023-11-11","90060"
"2023-11-10","89593"
"2023-11-09","89414"
"2023-11-08","82432"
"2023-11-07","89930"
