"日期","收入预估~iPhone"
"2024-04-11","1053228"
"2024-04-10","1048688"
"2024-04-09","1051728"
"2024-04-08","1056351"
"2024-04-07","1048556"
"2024-04-06","1048905"
"2024-04-05","1048944"
"2024-04-04","1048119"
"2024-04-03","1052727"
"2024-04-02","1050945"
"2024-04-01","1048880"
"2024-03-31","1052855"
"2024-03-30","1051831"
"2024-03-29","1051156"
"2024-03-28","1052443"
"2024-03-27","1047577"
"2024-03-26","1048440"
"2024-03-25","1048910"
"2024-03-24","1052074"
"2024-03-23","1049143"
"2024-03-22","1048403"
"2024-03-21","1049153"
"2024-03-20","1051120"
"2024-03-19","1051998"
"2024-03-18","1045823"
"2024-03-17","1053316"
"2024-03-16","1052027"
"2024-03-15","1050926"
"2024-03-14","1051524"
"2024-03-13","1050927"
"2024-03-12","1046514"
"2024-03-11","1049411"
"2024-03-10","1055585"
"2024-03-09","1042664"
"2024-03-08","1050056"
"2024-03-07","1044169"
"2024-03-06","1055030"
"2024-03-05","1050938"
"2024-03-04","1047415"
"2024-03-03","1044496"
"2024-03-02","1055530"
"2024-03-01","1052120"
"2024-02-29","1051396"
"2024-02-28","1044144"
"2024-02-27","1049368"
"2024-02-26","1052517"
"2024-02-25","1048989"
"2024-02-24","1043140"
"2024-02-23","1054748"
"2024-02-22","1055557"
"2024-02-21","990498"
"2024-02-20","993129"
"2024-02-19","997556"
"2024-02-18","1049270"
"2024-02-17","1051479"
"2024-02-16","1044498"
"2024-02-15","1049022"
"2024-02-14","1047506"
"2024-02-13","1048798"
"2024-02-12","1043400"
"2024-02-11","1050922"
"2024-02-10","1051896"
"2024-02-09","1051199"
"2024-02-08","1043593"
"2024-02-07","1056886"
"2024-02-06","1054253"
"2024-02-05","1049983"
"2024-02-04","1051022"
"2024-02-03","1049726"
"2024-02-02","1050573"
"2024-02-01","1054717"
"2024-01-31","1048584"
"2024-01-30","1051604"
"2024-01-29","1046199"
"2024-01-28","1047319"
"2024-01-27","1048951"
"2024-01-26","1048797"
"2024-01-25","1049816"
"2024-01-24","1056890"
"2024-01-23","1043940"
"2024-01-22","1054645"
"2024-01-21","1049370"
"2024-01-20","1049360"
"2024-01-19","1047816"
"2024-01-18","1052241"
"2024-01-17","1052321"
"2024-01-16","1049587"
"2024-01-15","1048644"
"2024-01-14","1044584"
"2024-01-13","1042463"
"2024-01-12","1047086"
"2024-01-11","1219412"
"2024-01-10","1059476"
"2024-01-09","1047855"
"2024-01-08","1045960"
"2024-01-07","1226151"
"2024-01-06","1216825"
"2024-01-05","1221282"
"2024-01-04","1216407"
"2024-01-03","1219691"
"2024-01-02","1216937"
"2024-01-01","1220407"
"2023-12-31","1053777"
"2023-12-30","1046881"
"2023-12-29","1052506"
"2023-12-28","1051287"
"2023-12-27","1051421"
"2023-12-26","1048509"
"2023-12-25","1045929"
"2023-12-24","1052676"
"2023-12-23","1054602"
"2023-12-22","1043891"
"2023-12-21","1054292"
"2023-12-20","1047948"
"2023-12-19","1048852"
"2023-12-18","1052267"
"2023-12-17","1053323"
"2023-12-16","1054750"
"2023-12-15","1051150"
"2023-12-14","1046143"
"2023-12-13","1053157"
"2023-12-12","1049070"
"2023-12-11","1057727"
"2023-12-10","1051775"
"2023-12-09","1050368"
"2023-12-08","1059234"
"2023-12-07","1051443"
"2023-12-06","1049070"
"2023-12-05","1045173"
"2023-12-04","1059449"
"2023-12-03","1050929"
"2023-12-02","1053468"
"2023-12-01","1054193"
"2023-11-30","1053541"
"2023-11-29","1056647"
"2023-11-28","1054297"
"2023-11-27","1057877"
"2023-11-26","1044755"
"2023-11-25","1047987"
"2023-11-24","1045486"
"2023-11-23","1050518"
"2023-11-22","1050247"
"2023-11-21","1049295"
"2023-11-20","1052501"
"2023-11-19","1054803"
"2023-11-18","1046109"
"2023-11-17","1055053"
"2023-11-16","1048801"
"2023-11-15","1044927"
"2023-11-14","1058335"
"2023-11-13","1048412"
"2023-11-12","1046263"
"2023-11-11","1054948"
"2023-11-10","1058303"
"2023-11-09","1048353"
"2023-11-08","1051966"
"2023-11-07","1044903"
"2023-11-06","1054324"
"2023-11-05","1054363"
"2023-11-04","1055593"
"2023-11-03","1047335"
"2023-11-02","1042042"
"2023-11-01","1048955"
"2023-10-31","1047222"
"2023-10-30","1053390"
"2023-10-29","1054849"
"2023-10-28","1055754"
"2023-10-27","1051808"
"2023-10-26","1051356"
"2023-10-25","1043335"
"2023-10-24","1054066"
"2023-10-23","1045563"
"2023-10-22","1048128"
"2023-10-21","1055578"
"2023-10-20","1047058"
"2023-10-19","1047573"
"2023-10-18","1053929"
"2023-10-17","1051043"
"2023-10-16","1048391"
"2023-10-15","1045208"
"2023-10-14","1052040"
"2023-10-13","1043830"
"2023-10-12","1053099"
"2023-10-11","1050265"
"2023-10-10","1051049"
"2023-10-09","1051209"
"2023-10-08","1053822"
"2023-10-07","1049447"
"2023-10-06","1056583"
"2023-10-05","1047697"
"2023-10-04","1050559"
"2023-10-03","1050763"
"2023-10-02","1043279"
"2023-10-01","1055609"
"2023-09-30","1047523"
"2023-09-29","1055955"
"2023-09-28","1051658"
"2023-09-27","1042444"
"2023-09-26","1055250"
"2023-09-25","1047203"
"2023-09-24","1055826"
"2023-09-23","1054635"
"2023-09-22","1050813"
"2023-09-21","1042242"
"2023-09-20","1053611"
"2023-09-19","1051704"
"2023-09-18","1050412"
"2023-09-17","1049812"
"2023-09-16","1048164"
"2023-09-15","1051992"
"2023-09-14","1052527"
"2023-09-13","1045667"
"2023-09-12","1047678"
"2023-09-11","1051983"
"2023-09-10","1054097"
"2023-09-09","1053638"
"2023-09-08","1052390"
"2023-09-07","1047184"
"2023-09-06","1054466"
"2023-09-05","1049998"
"2023-09-04","1051543"
"2023-09-03","1048218"
"2023-09-02","1054103"
"2023-09-01","1054569"
"2023-08-31","1046007"
"2023-08-30","1055999"
"2023-08-29","1050634"
"2023-08-28","1049816"
"2023-08-27","1050873"
"2023-08-26","1042867"
"2023-08-25","1046979"
"2023-08-24","1056837"
"2023-08-23","1051265"
"2023-08-22","1051318"
"2023-08-21","1051469"
"2023-08-20","1044814"
"2023-08-19","1052202"
"2023-08-18","1045707"
"2023-08-17","1049900"
"2023-08-16","1049268"
"2023-08-15","1051446"
"2023-08-14","1049647"
"2023-08-13","1053405"
"2023-08-12","1046643"
"2023-08-11","1046476"
"2023-08-10","1056470"
"2023-08-09","1053705"
"2023-08-08","1054327"
"2023-08-07","1050576"
"2023-08-06","1049426"
"2023-08-05","1045101"
"2023-08-04","1051572"
"2023-08-03","1048798"
"2023-08-02","1052155"
"2023-08-01","1055158"
"2023-07-31","1052636"
"2023-07-30","1043548"
"2023-07-29","1053683"
"2023-07-28","1050572"
"2023-07-27","1049601"
"2023-07-26","1058137"
"2023-07-25","1052877"
"2023-07-24","1051541"
"2023-07-23","1056539"
"2023-07-22","1057831"
"2023-07-21","1047831"
"2023-07-20","1050497"
"2023-07-19","1049073"
"2023-07-18","1053584"
"2023-07-17","1053509"
"2023-07-16","1047875"
"2023-07-15","1048488"
"2023-07-14","1057224"
"2023-07-13","1051322"
"2023-07-12","1043815"
