"日期","收入预估~iPhone"
"2024-04-11","1892132"
"2024-04-10","1885744"
"2024-04-09","1883865"
"2024-04-08","1891389"
"2024-04-07","1890706"
"2024-04-06","1885969"
"2024-04-05","1898053"
"2024-04-04","1882773"
"2024-04-03","1885612"
"2024-04-02","1890873"
"2024-04-01","1890186"
"2024-03-31","1899770"
"2024-03-30","1885618"
"2024-03-29","1846889"
"2024-03-28","1841440"
"2024-03-27","1888728"
"2024-03-26","1879555"
"2024-03-25","1889819"
"2024-03-24","1896148"
"2024-03-23","1843265"
"2024-03-22","1882190"
"2024-03-21","1886476"
"2024-03-20","1891502"
"2024-03-19","1879320"
"2024-03-18","1842049"
"2024-03-17","1878668"
"2024-03-16","1890264"
"2024-03-15","1889921"
"2024-03-14","1883878"
"2024-03-13","1890649"
"2024-03-12","1881412"
"2024-03-11","1872455"
"2024-03-10","1882951"
"2024-03-09","1881141"
"2024-03-08","1887078"
"2024-03-07","1877543"
"2024-03-06","1876001"
"2024-03-05","1889999"
"2024-03-04","1896326"
"2024-03-03","1873702"
"2024-03-02","1883834"
"2024-03-01","1878415"
"2024-02-29","1885739"
"2024-02-28","1886749"
"2024-02-27","1889630"
"2024-02-26","1892487"
"2024-02-25","1874440"
"2024-02-24","1890205"
"2024-02-23","1884210"
"2024-02-22","1880542"
"2024-02-21","1883276"
"2024-02-20","1878912"
"2024-02-19","1879415"
"2024-02-18","1877498"
"2024-02-17","1901708"
"2024-02-16","1881847"
"2024-02-15","1890470"
"2024-02-14","1881088"
"2024-02-13","1900666"
"2024-02-12","1881093"
"2024-02-11","1888360"
"2024-02-10","1883488"
"2024-02-09","1873851"
"2024-02-08","1886664"
"2024-02-07","1878992"
"2024-02-06","1892698"
"2024-02-05","1884777"
"2024-02-04","1893246"
"2024-02-03","1889398"
"2024-02-02","1886535"
"2024-02-01","1893485"
"2024-01-31","1877085"
"2024-01-30","1891559"
"2024-01-29","1886238"
"2024-01-28","1836622"
"2024-01-27","1840734"
"2024-01-26","1885979"
"2024-01-25","1898302"
"2024-01-24","1884493"
"2024-01-23","1896139"
"2024-01-22","1882357"
"2024-01-21","1890479"
"2024-01-20","1901032"
"2024-01-19","1884387"
"2024-01-18","1885577"
"2024-01-17","1895581"
"2024-01-16","1880234"
"2024-01-15","1897452"
"2024-01-14","1890384"
"2024-01-13","1882386"
"2024-01-12","1877548"
"2024-01-11","1176662"
"2024-01-10","1890606"
"2024-01-09","1888614"
"2024-01-08","1902802"
"2024-01-07","1188112"
"2024-01-06","1180180"
"2024-01-05","1182995"
"2024-01-04","1176691"
"2024-01-03","1182129"
"2024-01-02","1189172"
"2024-01-01","1117823"
"2023-12-31","1833676"
"2023-12-30","1831401"
"2023-12-29","1781276"
"2023-12-28","1791908"
"2023-12-27","1807965"
"2023-12-26","1832932"
"2023-12-25","1887430"
"2023-12-24","1887962"
"2023-12-23","1835189"
"2023-12-22","1849160"
"2023-12-21","1886395"
"2023-12-20","1678560"
"2023-12-19","1872333"
"2023-12-18","1889550"
"2023-12-17","1886501"
"2023-12-16","1894791"
"2023-12-15","1875181"
"2023-12-14","1879468"
"2023-12-13","1889672"
"2023-12-12","1878942"
"2023-12-11","1882090"
"2023-12-10","1883367"
"2023-12-09","1882980"
"2023-12-08","1887761"
"2023-12-07","1889039"
"2023-12-06","1889669"
"2023-12-05","1903420"
"2023-12-04","1846744"
"2023-12-03","1533672"
"2023-12-02","1899351"
"2023-12-01","1884390"
"2023-11-30","1888551"
"2023-11-29","1894209"
"2023-11-28","1886415"
"2023-11-27","1886980"
"2023-11-26","1891866"
"2023-11-25","1889690"
"2023-11-24","1892285"
"2023-11-23","1878138"
"2023-11-22","1885160"
"2023-11-21","1882936"
"2023-11-20","1902366"
"2023-11-19","1881670"
"2023-11-18","1890489"
"2023-11-17","1890955"
"2023-11-16","1848943"
"2023-11-15","1705507"
"2023-11-14","1874389"
"2023-11-13","1826655"
"2023-11-12","1812259"
"2023-11-11","1848222"
"2023-11-10","1789396"
"2023-11-09","1846534"
"2023-11-08","1370192"
"2023-11-07","1897830"
"2023-11-06","1881013"
"2023-11-05","1884430"
"2023-11-04","1878904"
"2023-11-03","1886607"
"2023-11-02","1889941"
"2023-11-01","1877592"
"2023-10-31","1897925"
"2023-10-30","1888968"
"2023-10-29","1886735"
"2023-10-28","1885219"
"2023-10-27","1285089"
"2023-10-26","1889201"
"2023-10-25","1334731"
"2023-10-24","1873620"
"2023-10-23","1882756"
"2023-10-22","1883380"
"2023-10-21","1891950"
"2023-10-20","1883873"
"2023-10-19","1889681"
"2023-10-18","1883953"
"2023-10-17","1786704"
"2023-10-16","1895826"
"2023-10-15","1899737"
"2023-10-14","1883058"
"2023-10-13","1874597"
"2023-10-12","1843548"
"2023-10-11","1446981"
"2023-10-10","1892056"
"2023-10-09","1879579"
"2023-10-08","1882433"
"2023-10-07","1887065"
"2023-10-06","1878390"
"2023-10-05","1890930"
"2023-10-04","1898660"
"2023-10-03","1874643"
"2023-10-02","1877831"
"2023-10-01","1884183"
"2023-09-30","1882858"
"2023-09-29","1886485"
"2023-09-28","1902399"
"2023-09-27","1792781"
"2023-09-26","1890822"
"2023-09-25","1883566"
"2023-09-24","1883685"
"2023-09-23","1887359"
"2023-09-22","1888192"
"2023-09-21","1895661"
"2023-09-20","1791573"
"2023-09-19","1899181"
"2023-09-18","1886506"
"2023-09-17","1890955"
"2023-09-16","1888953"
"2023-09-15","1886105"
"2023-09-14","1839442"
"2023-09-13","1880398"
"2023-09-12","1875615"
"2023-09-11","1898171"
"2023-09-10","1879739"
"2023-09-09","1894218"
"2023-09-08","1892270"
"2023-09-07","1883037"
"2023-09-06","1882859"
"2023-09-05","1882766"
"2023-09-04","1898046"
"2023-09-03","1889062"
"2023-09-02","1899662"
"2023-09-01","1880794"
"2023-08-31","1845356"
"2023-08-30","1335778"
"2023-08-29","1901313"
"2023-08-28","1890830"
"2023-08-27","1884879"
"2023-08-26","1897834"
"2023-08-25","1882366"
"2023-08-24","1887633"
"2023-08-23","1890923"
"2023-08-22","1884465"
"2023-08-21","1889894"
"2023-08-20","1896759"
"2023-08-19","1890591"
"2023-08-18","1881998"
"2023-08-17","1848155"
"2023-08-16","1889716"
"2023-08-15","1884153"
"2023-08-14","1876981"
"2023-08-13","1900339"
"2023-08-12","1886652"
"2023-08-11","1885025"
"2023-08-10","1898251"
"2023-08-09","1341660"
"2023-08-08","1880088"
"2023-08-07","1890298"
"2023-08-06","1891999"
"2023-08-05","1873633"
"2023-08-04","1791764"
"2023-08-03","1885518"
"2023-08-02","1881841"
"2023-08-01","1780635"
"2023-07-31","1890166"
"2023-07-30","1891358"
"2023-07-29","1893773"
"2023-07-28","1885492"
"2023-07-27","1896883"
"2023-07-26","1883885"
"2023-07-25","1881789"
"2023-07-24","1876460"
"2023-07-23","1882632"
"2023-07-22","1892558"
"2023-07-21","1884078"
"2023-07-20","1842776"
"2023-07-19","1339343"
"2023-07-18","1886949"
"2023-07-17","1876748"
"2023-07-16","1878820"
"2023-07-15","1892472"
"2023-07-14","1885390"
"2023-07-13","1833101"
"2023-07-12","1887183"
"2023-07-11","1881323"
"2023-07-10","1891560"
"2023-07-09","1893652"
"2023-07-08","1888296"
"2023-07-07","1819274"
"2023-07-06","1828046"
"2023-07-05","1833409"
"2023-07-04","1843603"
"2023-07-03","1896921"
"2023-07-02","1886246"
"2023-07-01","1893234"
"2023-06-30","1781116"
"2023-06-29","1884385"
"2023-06-28","1786237"
"2023-06-27","1894434"
"2023-06-26","1892052"
"2023-06-25","1898116"
"2023-06-24","1877547"
"2023-06-23","1889920"
"2023-06-22","1898098"
"2023-06-21","1888626"
"2023-06-20","1879086"
"2023-06-19","1888452"
"2023-06-18","1890480"
"2023-06-17","1874603"
"2023-06-16","1791435"
"2023-06-15","1882106"
"2023-06-14","1786569"
"2023-06-13","1131889"
"2023-06-12","1885572"
"2023-06-11","1886952"
"2023-06-10","1893244"
"2023-06-09","1885080"
"2023-06-08","1830032"
"2023-06-07","1303818"
"2023-06-06","1891092"
"2023-06-05","1895343"
"2023-06-04","1886691"
"2023-06-03","1900198"
"2023-06-02","1795068"
