"日期","收入预估~iPhone"
"2024-04-23","409599"
"2024-04-22","350897"
"2024-04-21","290706"
"2024-04-20","251496"
"2024-04-19","251529"
"2024-04-18","344408"
"2024-04-17","363543"
"2024-04-16","333619"
"2024-04-15","700416"
"2024-04-14","720772"
"2024-04-13","558582"
"2024-04-12","703031"
"2024-04-11","349989"
"2024-04-10","347295"
"2024-04-09","374404"
"2024-04-08","518620"
"2024-04-07","544934"
"2024-04-06","620544"
"2024-04-05","594077"
"2024-04-04","722558"
"2024-04-03","434892"
"2024-04-02","432376"
"2024-04-01","517371"
"2024-03-31","589691"
"2024-03-30","1434273"
"2024-03-29","1257916"
"2024-03-28","131610"
"2024-03-27","151629"
"2024-03-26","164386"
"2024-03-25","190395"
"2024-03-24","243701"
"2024-03-23","227385"
"2024-03-22","333994"
"2024-03-21","180860"
"2024-03-20","190491"
"2024-03-19","229144"
"2024-03-18","313450"
"2024-03-17","262794"
"2024-03-16","211921"
"2024-03-15","160589"
"2024-03-14","161742"
"2024-03-13","133402"
"2024-03-12","159172"
"2024-03-11","188265"
"2024-03-10","197778"
"2024-03-09","136228"
"2024-03-08","118706"
"2024-03-07","134726"
"2024-03-06","172033"
"2024-03-05","162512"
"2024-03-04","190538"
"2024-03-03","206032"
"2024-03-02","173847"
"2024-03-01","611804"
"2024-02-29","197650"
"2024-02-28","228496"
"2024-02-27","241905"
"2024-02-26","314333"
"2024-02-25","361987"
"2024-02-24","352998"
"2024-02-23","746107"
"2024-02-22","130932"
"2024-02-21","134614"
"2024-02-20","157111"
"2024-02-19","183091"
"2024-02-18","180356"
"2024-02-17","168095"
"2024-02-16","214534"
"2024-02-15","288922"
"2024-02-14","203567"
"2024-02-13","216711"
"2024-02-12","228305"
"2024-02-11","228234"
"2024-02-10","181399"
"2024-02-09","178934"
"2024-02-08","238133"
"2024-02-07","136206"
"2024-02-06","110661"
"2024-02-05","127355"
"2024-02-04","150160"
"2024-02-03","155359"
"2024-02-02","201367"
"2024-02-01","95539"
"2024-01-31","91565"
"2024-01-30","106712"
"2024-01-29","113940"
"2024-01-28","128107"
"2024-01-27","154200"
"2024-01-26","263212"
"2024-01-25","101601"
"2024-01-24","71893"
"2024-01-23","78020"
"2024-01-22","98649"
"2024-01-21","71296"
"2024-01-20","69159"
"2024-01-19","63662"
"2024-01-18","67424"
"2024-01-17","78962"
"2024-01-16","94737"
"2024-01-15","107344"
"2024-01-14","128044"
"2024-01-13","127513"
"2024-01-12","152308"
"2024-01-11","58866"
"2024-01-10","60842"
"2024-01-09","67708"
"2024-01-08","69161"
"2024-01-07","77278"
"2024-01-06","99430"
"2024-01-05","104210"
"2024-01-04","112881"
"2024-01-03","136968"
"2024-01-02","176664"
"2024-01-01","175434"
"2023-12-31","128001"
"2023-12-30","127076"
"2023-12-29","166547"
"2023-12-28","220074"
"2023-12-27","35849"
"2023-12-26","35883"
"2023-12-25","35813"
"2023-12-24","44057"
"2023-12-23","40960"
"2023-12-22","36143"
"2023-12-21","40398"
"2023-12-20","36240"
"2023-12-19","40566"
"2023-12-18","44414"
"2023-12-17","60253"
"2023-12-16","61568"
"2023-12-15","67680"
"2023-12-14","100059"
"2023-12-13","65806"
"2023-12-12","59584"
"2023-12-11","66822"
"2023-12-10","67354"
"2023-12-09","66210"
"2023-12-08","50317"
"2023-12-07","48239"
"2023-12-06","48838"
"2023-12-05","49864"
"2023-12-04","59779"
"2023-12-03","89735"
"2023-12-02","81492"
"2023-12-01","53421"
"2023-11-30","61764"
"2023-11-29","67403"
"2023-11-28","82498"
"2023-11-27","101110"
"2023-11-26","151038"
"2023-11-25","187457"
"2023-11-24","225287"
"2023-11-23","504071"
"2023-11-22","28601"
"2023-11-21","29767"
"2023-11-20","40557"
"2023-11-19","48404"
"2023-11-18","44498"
"2023-11-17","40485"
"2023-11-16","36180"
"2023-11-15","20014"
"2023-11-14","22744"
"2023-11-13","24557"
"2023-11-12","30818"
"2023-11-11","28111"
"2023-11-10","24557"
"2023-11-09","29709"
"2023-11-08","33730"
"2023-11-07","37718"
"2023-11-06","45036"
"2023-11-05","59426"
"2023-11-04","61215"
"2023-11-03","65968"
"2023-11-02","94249"
"2023-11-01","41086"
"2023-10-31","41172"
"2023-10-30","44609"
"2023-10-29","49534"
"2023-10-28","44211"
"2023-10-27","30540"
"2023-10-26","33397"
"2023-10-25","30755"
"2023-10-24","40652"
"2023-10-23","44237"
"2023-10-22","54237"
"2023-10-21","52218"
"2023-10-20","49330"
"2023-10-19","53042"
"2023-10-18","41069"
"2023-10-17","47988"
"2023-10-16","54339"
"2023-10-15","78445"
"2023-10-14","76460"
"2023-10-13","76606"
"2023-10-12","93503"
"2023-10-11","30199"
"2023-10-10","30393"
"2023-10-09","31052"
"2023-10-08","35940"
"2023-10-07","39274"
"2023-10-06","41651"
"2023-10-05","44629"
"2023-10-04","48623"
"2023-10-03","50462"
"2023-10-02","54515"
"2023-10-01","61508"
"2023-09-30","76066"
"2023-09-29","95301"
"2023-09-28","127109"
"2023-09-27","21107"
"2023-09-26","23886"
"2023-09-25","31694"
"2023-09-24","44110"
"2023-09-23","41531"
"2023-09-22","31298"
"2023-09-21","36376"
"2023-09-20","23712"
"2023-09-19","29532"
"2023-09-18","34562"
"2023-09-17","44312"
"2023-09-16","40651"
"2023-09-15","30912"
"2023-09-14","35900"
"2023-09-13","40658"
"2023-09-12","36392"
"2023-09-11","45320"
"2023-09-10","60103"
"2023-09-09","60004"
"2023-09-08","50506"
"2023-09-07","49555"
"2023-09-06","41331"
"2023-09-05","44810"
"2023-09-04","60442"
"2023-09-03","72117"
"2023-09-02","78625"
"2023-09-01","98247"
"2023-08-31","157653"
"2023-08-30","90511"
"2023-08-29","89121"
"2023-08-28","89370"
"2023-08-27","85679"
"2023-08-26","74960"
"2023-08-25","75716"
"2023-08-24","75130"
"2023-08-23","67743"
"2023-08-22","73891"
"2023-08-21","81225"
"2023-08-20","87168"
"2023-08-19","83933"
"2023-08-18","100941"
"2023-08-17","155472"
"2023-08-16","78227"
"2023-08-15","90670"
"2023-08-14","89129"
"2023-08-13","94025"
"2023-08-12","91083"
"2023-08-11","96964"
"2023-08-10","127051"
"2023-08-09","132404"
"2023-08-08","186460"
"2023-08-07","190934"
"2023-08-06","273707"
"2023-08-05","326115"
"2023-08-04","335147"
"2023-08-03","532854"
"2023-08-02","84998"
"2023-08-01","74846"
"2023-07-31","76048"
"2023-07-30","84741"
"2023-07-29","90643"
"2023-07-28","95193"
"2023-07-27","126723"
"2023-07-26","67518"
"2023-07-25","67201"
"2023-07-24","64339"
"2023-07-23","78177"
"2023-07-22","78203"
"2023-07-21","97097"
"2023-07-20","132940"
"2023-07-19","67076"
"2023-07-18","66275"
"2023-07-17","61254"
"2023-07-16","76546"
"2023-07-15","92083"
"2023-07-14","127014"
"2023-07-13","203684"
"2023-07-12","58915"
"2023-07-11","51911"
"2023-07-10","49657"
"2023-07-09","58412"
"2023-07-08","48044"
"2023-07-07","48200"
"2023-07-06","49236"
"2023-07-05","48992"
"2023-07-04","49754"
"2023-07-03","52071"
"2023-07-02","61610"
"2023-07-01","64477"
"2023-06-30","81684"
"2023-06-29","92328"
"2023-06-28","48932"
"2023-06-27","49078"
"2023-06-26","45671"
"2023-06-25","51048"
"2023-06-24","61568"
"2023-06-23","82362"
"2023-06-22","111919"
"2023-06-21","131232"
"2023-06-20","61181"
"2023-06-19","61309"
"2023-06-18","66200"
"2023-06-17","53882"
"2023-06-16","49120"
"2023-06-15","49138"
"2023-06-14","50796"
"2023-06-13","49938"
"2023-06-12","51846"
"2023-06-11","62208"
"2023-06-10","52094"
"2023-06-09","49612"
"2023-06-08","56062"
"2023-06-07","66198"
"2023-06-06","68071"
"2023-06-05","75609"
"2023-06-04","102886"
"2023-06-03","108118"
"2023-06-02","130192"
"2023-06-01","206639"
"2023-05-31","341948"
"2023-05-30","30991"
"2023-05-29","33547"
"2023-05-28","40503"
"2023-05-27","32721"
"2023-05-26","30059"
"2023-05-25","30385"
"2023-05-24","27493"
"2023-05-23","28963"
"2023-05-22","29840"
"2023-05-21","36096"
"2023-05-20","35554"
"2023-05-19","30293"
"2023-05-18","33717"
"2023-05-17","41165"
"2023-05-16","41385"
"2023-05-15","49305"
"2023-05-14","67522"
"2023-05-13","75633"
"2023-05-12","86389"
"2023-05-11","104392"
"2023-05-10","31858"
"2023-05-09","35828"
"2023-05-08","41315"
"2023-05-07","48492"
"2023-05-06","40754"
"2023-05-05","44115"
"2023-05-04","46568"
"2023-05-03","44289"
"2023-05-02","46637"
"2023-05-01","50667"
"2023-04-30","66377"
"2023-04-29","57579"
"2023-04-28","60609"
"2023-04-27","81491"
"2023-04-26","30115"
"2023-04-25","33944"
"2023-04-24","51854"
