"日期","收入预估~iPhone"
"2024-04-13","210414"
"2024-04-12","186976"
"2024-04-11","194046"
"2024-04-10","233913"
"2024-04-09","310927"
"2024-04-08","313549"
"2024-04-07","421607"
"2024-04-06","496406"
"2024-04-05","605958"
"2024-04-04","409361"
"2024-04-03","239075"
"2024-04-02","346486"
"2024-04-01","353695"
"2024-03-31","475925"
"2024-03-30","435270"
"2024-03-29","245503"
"2024-03-28","330673"
"2024-03-27","452371"
"2024-03-26","698839"
"2024-03-25","1375764"
"2024-03-24","1258741"
"2024-03-23","1273915"
"2024-03-22","221439"
"2024-03-21","247311"
"2024-03-20","286039"
"2024-03-19","353051"
"2024-03-18","519696"
"2024-03-17","399615"
"2024-03-16","477875"
"2024-03-15","274362"
"2024-03-14","296233"
"2024-03-13","312402"
"2024-03-12","421642"
"2024-03-11","670542"
"2024-03-10","1504026"
"2024-03-09","502113"
"2024-03-08","264598"
"2024-03-07","306755"
"2024-03-06","348725"
"2024-03-05","388956"
"2024-03-04","594763"
"2024-03-03","678357"
"2024-03-02","484841"
"2024-03-01","498516"
"2024-02-29","517217"
"2024-02-28","644106"
"2024-02-27","977659"
"2024-02-26","732394"
"2024-02-25","1180897"
"2024-02-24","722126"
"2024-02-23","654909"
"2024-02-22","482151"
"2024-02-21","550017"
"2024-02-20","581873"
"2024-02-19","722768"
"2024-02-18","1690283"
"2024-02-17","1510878"
"2024-02-16","1180221"
"2024-02-15","1188539"
"2024-02-14","1805673"
"2024-02-13","1819753"
"2024-02-12","1805503"
"2024-02-11","1521861"
"2024-02-10","1613335"
"2024-02-09","367782"
"2024-02-08","282101"
"2024-02-07","314263"
"2024-02-06","476293"
"2024-02-05","484681"
"2024-02-04","432852"
"2024-02-03","397749"
"2024-02-02","451160"
"2024-02-01","424653"
"2024-01-31","550308"
"2024-01-30","568745"
"2024-01-29","619475"
"2024-01-28","972305"
"2024-01-27","1157526"
"2024-01-26","426028"
"2024-01-25","312656"
"2024-01-24","332052"
"2024-01-23","362444"
"2024-01-22","344278"
"2024-01-21","323555"
"2024-01-20","297196"
"2024-01-19","314099"
"2024-01-18","347912"
"2024-01-17","336768"
"2024-01-16","374964"
"2024-01-15","334135"
"2024-01-14","471966"
"2024-01-13","352323"
"2024-01-12","290860"
"2024-01-11","38507"
"2024-01-10","248989"
"2024-01-09","346625"
"2024-01-08","390193"
"2024-01-07","40023"
"2024-01-06","38882"
"2024-01-05","38857"
"2024-01-04","38960"
"2024-01-03","38860"
"2024-01-02","38920"
"2024-01-01","40140"
"2023-12-31","1257798"
"2023-12-30","618981"
"2023-12-29","446225"
"2023-12-28","228403"
"2023-12-27","240000"
"2023-12-26","286012"
"2023-12-25","263937"
"2023-12-24","312972"
"2023-12-23","295536"
"2023-12-22","187508"
"2023-12-21","236838"
"2023-12-20","362500"
"2023-12-19","434376"
"2023-12-18","496361"
"2023-12-17","617750"
"2023-12-16","545108"
"2023-12-15","980554"
"2023-12-14","354547"
"2023-12-13","312124"
"2023-12-12","353575"
"2023-12-11","435169"
"2023-12-10","518650"
"2023-12-09","483790"
"2023-12-08","410737"
"2023-12-07","288638"
"2023-12-06","311421"
"2023-12-05","513377"
"2023-12-04","734676"
"2023-12-03","1610882"
"2023-12-02","1817060"
"2023-12-01","1807985"
"2023-11-30","231899"
"2023-11-29","239268"
"2023-11-28","313069"
"2023-11-27","317412"
"2023-11-26","487317"
"2023-11-25","313638"
"2023-11-24","314150"
"2023-11-23","360988"
"2023-11-22","348571"
"2023-11-21","599111"
"2023-11-20","1150746"
"2023-11-19","1816094"
"2023-11-18","1834244"
"2023-11-17","1070140"
"2023-11-16","183633"
"2023-11-15","163561"
"2023-11-14","187084"
"2023-11-13","237092"
"2023-11-12","313060"
"2023-11-11","257912"
"2023-11-10","196491"
"2023-11-09","170327"
"2023-11-08","249083"
"2023-11-07","330332"
"2023-11-06","520681"
"2023-11-05","624341"
"2023-11-04","679386"
"2023-11-03","1240355"
"2023-11-02","182640"
"2023-11-01","187882"
"2023-10-31","227026"
