"日期","收入预估~iPhone"
"2024-04-23","314473"
"2024-04-22","313992"
"2024-04-21","434375"
"2024-04-20","572359"
"2024-04-19","1612900"
"2024-04-18","473319"
"2024-04-17","495046"
"2024-04-16","426075"
"2024-04-15","586100"
"2024-04-14","617316"
"2024-04-13","684251"
"2024-04-12","1512211"
"2024-04-11","435105"
"2024-04-10","499241"
"2024-04-09","497497"
"2024-04-08","434836"
"2024-04-07","354083"
"2024-04-06","427386"
"2024-04-05","687368"
"2024-04-04","618185"
"2024-04-03","579625"
"2024-04-02","1476729"
"2024-04-01","1613782"
"2024-03-31","1186487"
"2024-03-30","787587"
"2024-03-29","716547"
"2024-03-28","756600"
"2024-03-27","693370"
"2024-03-26","1510939"
"2024-03-25","965304"
"2024-03-24","1514100"
"2024-03-23","1371248"
"2024-03-22","449546"
"2024-03-21","538645"
"2024-03-20","713007"
"2024-03-19","1812186"
"2024-03-18","995771"
"2024-03-17","1611719"
"2024-03-16","1249376"
"2024-03-15","1611101"
"2024-03-14","520343"
"2024-03-13","650919"
"2024-03-12","1291426"
"2024-03-11","516323"
"2024-03-10","595254"
"2024-03-09","571512"
"2024-03-08","1512451"
"2024-03-07","1259517"
"2024-03-06","519905"
"2024-03-05","616466"
"2024-03-04","611368"
"2024-03-03","560006"
"2024-03-02","571095"
"2024-03-01","638360"
"2024-02-29","1180919"
"2024-02-28","1185601"
"2024-02-27","788437"
"2024-02-26","716639"
"2024-02-25","825514"
"2024-02-24","618892"
"2024-02-23","397974"
"2024-02-22","620176"
"2024-02-21","575272"
"2024-02-20","713253"
"2024-02-19","621549"
"2024-02-18","868331"
"2024-02-17","699404"
"2024-02-16","1487380"
"2024-02-15","1492865"
"2024-02-14","717552"
"2024-02-13","1257757"
"2024-02-12","1256645"
"2024-02-11","1257641"
"2024-02-10","1428769"
"2024-02-09","560294"
"2024-02-08","639566"
"2024-02-07","617891"
"2024-02-06","577174"
"2024-02-05","710987"
"2024-02-04","718383"
"2024-02-03","1253112"
"2024-02-02","771021"
"2024-02-01","549362"
"2024-01-31","731452"
"2024-01-30","1519114"
"2024-01-29","1254740"
"2024-01-28","1290305"
"2024-01-27","1635136"
"2024-01-26","584321"
"2024-01-25","534298"
"2024-01-24","569714"
"2024-01-23","519669"
"2024-01-22","569082"
"2024-01-21","568833"
"2024-01-20","571930"
"2024-01-19","1526632"
"2024-01-18","717692"
"2024-01-17","721488"
"2024-01-16","720699"
"2024-01-15","1183782"
"2024-01-14","1528766"
"2024-01-13","1517557"
"2024-01-12","1816956"
"2024-01-11","926224"
"2024-01-10","1520353"
"2024-01-09","1819946"
"2024-01-08","718837"
"2024-01-07","633151"
"2024-01-06","930285"
"2024-01-05","926323"
"2024-01-04","937125"
"2024-01-03","956270"
"2024-01-02","954999"
"2024-01-01","958471"
"2023-12-31","1821282"
"2023-12-30","1816664"
"2023-12-29","1842149"
"2023-12-28","1426344"
"2023-12-27","1243669"
"2023-12-26","1240373"
"2023-12-25","1296144"
"2023-12-24","1249212"
"2023-12-23","1250169"
"2023-12-22","1515986"
"2023-12-21","1821813"
"2023-12-20","1793515"
"2023-12-19","1808892"
"2023-12-18","1811199"
"2023-12-17","1255922"
"2023-12-16","1284900"
"2023-12-15","1504812"
"2023-12-14","1836835"
"2023-12-13","1520682"
"2023-12-12","1808380"
"2023-12-11","1787227"
"2023-12-10","1513713"
"2023-12-09","1272649"
"2023-12-08","1839566"
"2023-12-07","1833672"
"2023-12-06","1067692"
"2023-12-05","1226585"
"2023-12-04","1538733"
"2023-12-03","1690352"
"2023-12-02","1349335"
"2023-12-01","1542158"
"2023-11-30","1828261"
"2023-11-29","1258384"
"2023-11-28","1255427"
"2023-11-27","1542082"
"2023-11-26","1605162"
"2023-11-25","1530793"
"2023-11-24","1805818"
"2023-11-23","1804600"
"2023-11-22","1810502"
"2023-11-21","1828445"
"2023-11-20","1838743"
"2023-11-19","1254085"
"2023-11-18","1813114"
"2023-11-17","1786857"
"2023-11-16","1887652"
"2023-11-15","1669719"
"2023-11-14","1249817"
"2023-11-13","786617"
"2023-11-12","1255805"
"2023-11-11","1286266"
"2023-11-10","1389216"
"2023-11-09","1795626"
"2023-11-08","1643427"
"2023-11-07","1812767"
"2023-11-06","1843373"
"2023-11-05","1806594"
"2023-11-04","1334903"
"2023-11-03","1848100"
"2023-11-02","1829213"
"2023-11-01","1787728"
"2023-10-31","1848198"
"2023-10-30","1845648"
"2023-10-29","1168244"
"2023-10-28","1432186"
"2023-10-27","1241921"
"2023-10-26","1809114"
"2023-10-25","1483840"
"2023-10-24","1793878"
"2023-10-23","1812981"
"2023-10-22","1819714"
"2023-10-21","1387387"
"2023-10-20","1815391"
"2023-10-19","1850914"
"2023-10-18","1789672"
"2023-10-17","1475610"
"2023-10-16","1524258"
"2023-10-15","1285332"
"2023-10-14","1496146"
"2023-10-13","1695131"
"2023-10-12","1812196"
"2023-10-11","1614441"
"2023-10-10","1832069"
"2023-10-09","1845606"
"2023-10-08","1827476"
"2023-10-07","1838998"
"2023-10-06","1839926"
"2023-10-05","1828620"
"2023-10-04","1208968"
"2023-10-03","1583201"
"2023-10-02","1535628"
"2023-10-01","1411430"
"2023-09-30","1229679"
"2023-09-29","1781203"
"2023-09-28","1821261"
"2023-09-27","693110"
"2023-09-26","1781457"
"2023-09-25","1807905"
"2023-09-24","1803139"
"2023-09-23","1281023"
"2023-09-22","1391176"
"2023-09-21","1784866"
"2023-09-20","1417734"
"2023-09-19","1835844"
"2023-09-18","1841990"
"2023-09-17","1815121"
"2023-09-16","1834661"
"2023-09-15","1837581"
"2023-09-14","1895452"
"2023-09-13","1812067"
"2023-09-12","1831246"
"2023-09-11","1817613"
"2023-09-10","1808349"
"2023-09-09","1821979"
"2023-09-08","1796865"
"2023-09-07","1843248"
"2023-09-06","1794884"
"2023-09-05","1810126"
"2023-09-04","1835819"
"2023-09-03","1828493"
"2023-09-02","1850678"
"2023-09-01","1811149"
"2023-08-31","1805606"
"2023-08-30","1559090"
"2023-08-29","1835520"
"2023-08-28","1834655"
"2023-08-27","1834589"
"2023-08-26","1836601"
"2023-08-25","1837552"
"2023-08-24","1843543"
"2023-08-23","1832033"
"2023-08-22","1843622"
"2023-08-21","1835081"
