日期,排名,应用ID,应用名称,开发商,相比昨日,分类,公司名称,昨日下载量
2024/3/29,1,989673964,王者荣耀,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,动作,-,-
2024/3/29,2,1523037824,崩坏,miHoYo Games,相比昨日总榜 - 下降1,角色扮演,上海米哈游网络科技股份有限公司,-
2024/3/29,3,1142110895,抖音,"Beijing Microlive Vision Technology Co., Ltd",相比昨日总榜 - 无变化,娱乐,北京字节跳动科技有限公司,-
2024/3/29,4,1321803705,和平精英,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,动作,-,-
2024/3/29,5,1478101301,金铲铲之战,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降1,卡牌,-,-
2024/3/29,6,458318329,腾讯视频,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 无变化,娱乐,深圳市腾讯计算机系统有限公司,-
2024/3/29,7,414603431,QQ音乐 ,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 上升1,音乐,深圳市腾讯计算机系统有限公司,-
2024/3/29,8,393765873,爱奇艺,QIYI,相比昨日总榜 - 上升2,娱乐,北京爱奇艺科技有限公司,-
2024/3/29,9,1541570980,逆水寒,网易移动游戏,相比昨日总榜 - 无变化,角色扮演,杭州网易雷火科技有限公司,-
2024/3/29,10,1330863325,第五人格,网易移动游戏,相比昨日总榜 - 下降3,冒险,杭州网易雷火科技有限公司,-
2024/3/29,11,1455054000,英雄联盟手游,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升5,动作,-,-
2024/3/29,12,940547441,梦幻西游,网易移动游戏,相比昨日总榜 - 无变化,动作,杭州网易雷火科技有限公司,-
2024/3/29,13,1042545880,穿越火线,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 下降2,策略,-,-
2024/3/29,14,887314963,BOSS直聘,北京华品博睿网络技术有限公司,相比昨日总榜 - 下降1,商务,北京华品博睿网络技术有限公司,-
2024/3/29,15,590338362,网易云音乐,杭州网易云音乐科技有限公司,相比昨日总榜 - 下降1,音乐,广州网易计算机系统有限公司,-
2024/3/29,16,472208016,酷狗音乐,"KuGou Technology CO. , LTD",相比昨日总榜 - 下降1,音乐,广州酷狗计算机科技有限公司,-
2024/3/29,17,1525863146,捕鱼大作战,Tuyoo Online HK Limited,相比昨日总榜 - 上升1,模拟,在线途游(北京）科技有限公司,-
2024/3/29,18,336141475,优酷视频,Youku.com Inc.,相比昨日总榜 - 上升2,娱乐,优酷网络技术（北京）有限公司,-
2024/3/29,19,1474572440,三国志·战略版,Lingxi Games Inc.,相比昨日总榜 - 下降2,模拟,广州灵犀互动娱乐有限公司,-
2024/3/29,20,440948110,快手,"Beijing Kwai Technology Co., Ltd.",相比昨日总榜 - 下降1,摄影与录像,北京快手科技有限公司,-
2024/3/29,21,1458072671,剪映 ,深圳市脸萌科技有限公司,相比昨日总榜 - 无变化,摄影与录像,深圳市脸萌科技有限公司,-
2024/3/29,22,1544884479,蛋仔派对,网易移动游戏,相比昨日总榜 - 上升9,家庭聚会,杭州网易雷火科技有限公司,-
2024/3/29,23,547166701,百度网盘,"Beijing Duyou Science and Technology Co.,Ltd.",相比昨日总榜 - 下降1,效率,-,-
2024/3/29,24,736536022,哔哩哔哩,bilibili,相比昨日总榜 - 下降1,娱乐,上海幻电信息科技有限公司,-
2024/3/29,25,6449214722,次神,Ark Game Limited,相比昨日总榜 - 上升165,角色扮演,-,-
2024/3/29,26,1156439976,心悦俱乐部,Tencent Technology (Shenzhen) Company Limited,相比昨日总榜 - 下降2,娱乐,深圳市腾讯计算机系统有限公司,-
2024/3/29,27,1282917929,幻唐志,"Guangzhou Duoyi Network Technology Co.,Ltd.",相比昨日总榜 - 上升22,策略,广州多益网络股份有限公司,-
2024/3/29,28,955396648,火影忍者,Shenzhen Tencent Tianyou Technology Ltd,相比昨日总榜 - 上升1,动作,-,-
2024/3/29,29,414478124,微信,WeChat,相比昨日总榜 - 下降1,社交,深圳市腾讯计算机系统有限公司,-
2024/3/29,30,791532221,开心消消乐®,乐元素,相比昨日总榜 - 下降3,休闲,乐元素科技（北京）股份有限公司,-
2024/3/29,31,909211092,率土之滨,网易移动游戏,相比昨日总榜 - 下降6,策略,杭州网易雷火科技有限公司,-
2024/3/29,32,6468898329,仙境传说,"Beijing Ruyi JIngxiu Network Technology Co., Ltd.",相比昨日总榜 - 下降6,角色扮演,-,-
2024/3/29,33,6474127167,世界之外,网易移动游戏,相比昨日总榜 - 上升1,卡牌,杭州网易雷火科技有限公司,-
2024/3/29,34,472885640,JJ斗地主,JJWorld(Beijing) Network Technology Company Limited,相比昨日总榜 - 下降4,桌面,竞技世界（北京）网络技术有限公司,-
2024/3/29,35,432274380,知乎,"Beijing Zhizhetianxia Technology Co., Ltd.",相比昨日总榜 - 下降3,社交,北京智者天下科技有限公司,-
